[monitor_start] Monitoring PID 2853140 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773921800538,15884,2261,2261,65536,,
[monitor_data] 1773921801808,88716,2384,2384,114688,,
[monitor_data] 1773921802441,151696,2659,2659,239616,Phase 2,Iteration 1
[monitor_data] 1773921803082,273776,2681,2681,475136,Phase 3,Iteration 1
[monitor_data] 1773921803719,508780,18807,18807,475136,Phase 5,Iteration 1
[monitor_data] 1773921804357,527476,14821,14821,321536,Phase 5,Iteration 1
[monitor_data] 1773921804991,536276,76099,76099,321536,Phase 5,Iteration 1
[monitor_data] 1773921805639,696552,216887,216887,323584,Phase 5,Iteration 1
[monitor_data] 1773921806280,593116,20190,20190,323584,Phase 5,Iteration 1
[monitor_data] 1773921806913,593116,20190,20190,323584,Phase 5,Iteration 1
[monitor_data] 1773921807551,593116,20190,20190,323584,Phase 6,Iteration 1
[monitor_data] 1773921808186,593116,20191,20191,0,Phase 6,Iteration 1
[monitor_data] 1773921808855,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 2853140 terminated
