[monitor_start] Monitoring PID 3864961 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773934957987,15880,2265,2265,67584,,
[monitor_data] 1773934959230,97848,2398,2398,118784,,Iteration 1
[monitor_data] 1773934959860,192076,2659,2659,251904,Phase 2,Iteration 1
[monitor_data] 1773934960500,322704,2694,2694,888832,Phase 2,Iteration 1
[monitor_data] 1773934961135,974336,20713,20713,944128,Phase 5,Iteration 1
[monitor_data] 1773934961771,1000164,20709,20709,944128,Phase 5,Iteration 1
[monitor_data] 1773934962410,1000164,20713,20713,833536,Phase 5,Iteration 1
[monitor_data] 1773934963055,1012648,29543,29543,833536,Phase 5,Iteration 1
[monitor_data] 1773934963691,1014632,29000,29000,833536,Phase 5,Iteration 1
[monitor_data] 1773934964332,1014788,29348,29348,833536,Phase 5,Iteration 1
[monitor_data] 1773934964969,1015016,27970,27970,792576,Phase 5,Iteration 1
[monitor_data] 1773934965603,1035748,49717,49717,792576,Phase 5,Iteration 1
[monitor_data] 1773934966242,1141792,153349,153349,792576,Phase 5,Iteration 1
[monitor_data] 1773934966883,1225860,249357,249357,792576,Phase 5,Iteration 1
[monitor_data] 1773934967533,1311344,445289,445289,792576,Phase 5,Iteration 1
[monitor_data] 1773934968185,1401808,49663,49663,794624,Phase 5,Iteration 1
[monitor_data] 1773934968828,1107208,49663,49663,794624,Phase 5,Iteration 1
[monitor_data] 1773934969464,1107208,49663,49663,794624,Phase 5,Iteration 1
[monitor_data] 1773934970100,1107208,49663,49663,794624,Phase 6,Iteration 1
[monitor_data] 1773934970738,1107208,49664,49664,794624,Phase 6,Iteration 1
[monitor_data] 1773934971374,1107208,0,0,0,Phase 6,Iteration 1
[monitor_data] 1773934972002,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 3864961 terminated
