[monitor_start] Monitoring PID 2452741 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773916517179,15888,2263,2263,67584,,
[monitor_data] 1773916518405,96264,2394,2394,118784,,
[monitor_data] 1773916519039,157196,2652,2652,241664,Phase 2,Iteration 1
[monitor_data] 1773916519678,281952,2685,2685,950272,Phase 3,Iteration 1
[monitor_data] 1773916520321,998968,20900,20900,950272,Phase 5,Iteration 1
[monitor_data] 1773916520958,998968,20899,20899,950272,Phase 5,Iteration 1
[monitor_data] 1773916521593,998968,20899,20899,950272,Phase 5,Iteration 1
[monitor_data] 1773916522236,998968,20895,20895,950272,Phase 5,Iteration 1
[monitor_data] 1773916522871,998968,26728,26728,835584,Phase 5,Iteration 1
[monitor_data] 1773916523511,1011080,26736,26736,835584,Phase 5,Iteration 1
[monitor_data] 1773916524151,1011080,26728,26728,835584,Phase 5,Iteration 1
[monitor_data] 1773916524795,1011080,26728,26728,835584,Phase 5,Iteration 1
[monitor_data] 1773916525430,1011080,26725,26725,835584,Phase 5,Iteration 1
[monitor_data] 1773916526070,1011080,26725,26725,835584,Phase 5,Iteration 1
[monitor_data] 1773916526707,1011080,26729,26729,835584,Phase 5,Iteration 1
[monitor_data] 1773916527351,1011080,26724,26724,835584,Phase 5,Iteration 1
[monitor_data] 1773916527995,1011080,50499,50499,794624,Phase 5,Iteration 1
[monitor_data] 1773916528626,1035212,80537,80537,794624,Phase 5,Iteration 1
[monitor_data] 1773916529271,1208960,295577,295577,794624,Phase 5,Iteration 1
[monitor_data] 1773916529917,1319848,623256,623256,794624,Phase 5,Iteration 1
[monitor_data] 1773916530563,1427756,541332,541332,794624,Phase 5,Iteration 1
[monitor_data] 1773916531206,1509616,50484,50484,796672,Phase 5,Iteration 1
[monitor_data] 1773916531845,1118936,50484,50484,796672,Phase 5,Iteration 1
[monitor_data] 1773916532488,1118936,50484,50484,796672,Phase 5,Iteration 1
[monitor_data] 1773916533131,1118936,50486,50486,796672,Phase 6,Iteration 1
[monitor_data] 1773916533769,1118936,50486,50486,0,Phase 6,Iteration 1
[monitor_data] 1773916534442,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 2452741 terminated
