[monitor_start] Monitoring PID 3074042 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773924727221,15868,2260,2260,61440,,
[monitor_data] 1773924728473,89500,2377,2377,110592,,
[monitor_data] 1773924729108,150504,2654,2654,237568,Phase 2,Iteration 1
[monitor_data] 1773924729747,274312,2681,2681,874496,Phase 2,Iteration 1
[monitor_data] 1773924730383,956604,20838,20838,944128,Phase 5,Iteration 1
[monitor_data] 1773924731025,996856,20838,20838,944128,Phase 5,Iteration 1
[monitor_data] 1773924731663,996856,20834,20834,833536,Phase 5,Iteration 1
[monitor_data] 1773924732296,1008412,29454,29454,833536,Phase 5,Iteration 1
[monitor_data] 1773924732935,1011928,28981,28981,833536,Phase 5,Iteration 1
[monitor_data] 1773924733576,1011928,27415,27415,833536,Phase 5,Iteration 1
[monitor_data] 1773924734209,1011928,27398,27398,792576,Phase 5,Iteration 1
[monitor_data] 1773924734850,1032952,49720,49720,792576,Phase 5,Iteration 1
[monitor_data] 1773924735482,1057268,53011,53011,792576,Phase 5,Iteration 1
[monitor_data] 1773924736128,1059156,51722,51722,792576,Phase 5,Iteration 1
[monitor_data] 1773924736768,1059156,51191,51191,792576,Phase 5,Iteration 1
[monitor_data] 1773924737410,1059156,49663,49663,792576,Phase 5,Iteration 1
[monitor_data] 1773924738048,1061124,51970,51970,794624,Phase 5,Iteration 1
[monitor_data] 1773924738687,1061124,51970,51970,794624,Phase 5,Iteration 1
[monitor_data] 1773924739323,1061124,51970,51970,794624,Phase 5,Iteration 1
[monitor_data] 1773924739958,1061124,51971,51971,794624,Phase 6,Iteration 1
[monitor_data] 1773924740594,1061124,51971,51971,0,Phase 6,Iteration 1
[monitor_data] 1773924741233,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 3074042 terminated
