[monitor_start] Monitoring PID 2828823 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773921481129,15864,2261,2261,63488,,
[monitor_data] 1773921482346,90648,2384,2384,114688,,
[monitor_data] 1773921482985,154280,2655,2655,237568,Phase 2,Iteration 1
[monitor_data] 1773921483626,275592,2686,2686,860160,Phase 2,Iteration 1
[monitor_data] 1773921484265,933680,20838,20838,944128,Phase 5,Iteration 1
[monitor_data] 1773921484901,996608,20838,20838,944128,Phase 5,Iteration 1
[monitor_data] 1773921485538,996608,20834,20834,833536,Phase 5,Iteration 1
[monitor_data] 1773921486174,1008428,31109,31109,833536,Phase 5,Iteration 1
[monitor_data] 1773921486815,1012652,29843,29843,833536,Phase 5,Iteration 1
[monitor_data] 1773921487456,1012652,29410,29410,833536,Phase 5,Iteration 1
[monitor_data] 1773921488097,1012652,27897,27897,792576,Phase 5,Iteration 1
[monitor_data] 1773921488738,1032148,49719,49719,792576,Phase 5,Iteration 1
[monitor_data] 1773921489374,1057392,56080,56080,792576,Phase 5,Iteration 1
[monitor_data] 1773921490012,1061548,52289,52289,792576,Phase 5,Iteration 1
[monitor_data] 1773921490660,1061548,53302,53302,792576,Phase 5,Iteration 1
[monitor_data] 1773921491309,1061548,49663,49663,794624,Phase 5,Iteration 1
[monitor_data] 1773921491951,1061548,49665,49665,794624,Phase 5,Iteration 1
[monitor_data] 1773921492591,1061548,49665,49665,794624,Phase 5,Iteration 1
[monitor_data] 1773921493229,1061548,49665,49665,794624,Phase 5,Iteration 1
[monitor_data] 1773921493866,1061548,49666,49666,794624,Phase 6,Iteration 1
[monitor_data] 1773921494500,1061548,49666,49666,0,Phase 6,Iteration 1
[monitor_data] 1773921495135,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 2828823 terminated
