[monitor_start] Monitoring PID 4095946 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773937909544,15884,2256,2256,63488,,
[monitor_data] 1773937910808,88240,2373,2373,110592,,
[monitor_data] 1773937911445,142620,2655,2655,239616,Phase 2,Iteration 1
[monitor_data] 1773937912085,271340,2673,2673,776192,Phase 2,Iteration 1
[monitor_data] 1773937912721,854820,20771,20771,944128,Phase 3,Iteration 1
[monitor_data] 1773937913360,993884,20774,20774,944128,Phase 5,Iteration 1
[monitor_data] 1773937914002,993888,20774,20774,833536,Phase 5,Iteration 1
[monitor_data] 1773937914644,1005516,27457,27457,833536,Phase 5,Iteration 1
[monitor_data] 1773937915278,1006860,28705,28705,833536,Phase 5,Iteration 1
[monitor_data] 1773937915918,1007616,29320,29320,833536,Phase 5,Iteration 1
[monitor_data] 1773937916556,1008232,26638,26638,792576,Phase 5,Iteration 1
[monitor_data] 1773937917195,1029572,49723,49723,792576,Phase 5,Iteration 1
[monitor_data] 1773937917825,1072240,78422,78422,792576,Phase 5,Iteration 1
[monitor_data] 1773937918476,1132380,102695,102695,792576,Phase 5,Iteration 1
[monitor_data] 1773937919119,1155384,150145,150145,792576,Phase 5,Iteration 1
[monitor_data] 1773937919768,1178904,147970,147970,794624,Phase 5,Iteration 1
[monitor_data] 1773937920414,1101044,49678,49678,794624,Phase 5,Iteration 1
[monitor_data] 1773937921053,1101044,49678,49678,794624,Phase 5,Iteration 1
[monitor_data] 1773937921687,1101044,49678,49678,794624,Phase 6,Iteration 1
[monitor_data] 1773937922317,1101044,49680,49680,794624,Phase 6,Iteration 1
[monitor_data] 1773937922958,1101044,0,0,0,Phase 6,Iteration 1
[monitor_data] 1773937923588,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 4095946 terminated
