[monitor_start] Monitoring PID 3843996 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773934691244,15884,2263,2263,61440,,
[monitor_data] 1773934692481,88244,2375,2375,106496,,
[monitor_data] 1773934693119,143964,2657,2657,237568,Phase 2,Iteration 1
[monitor_data] 1773934693765,283496,2686,2686,780288,Phase 2,Iteration 1
[monitor_data] 1773934694403,863076,20785,20785,944128,Phase 3,Iteration 1
[monitor_data] 1773934695043,1006008,20785,20785,944128,Phase 5,Iteration 1
[monitor_data] 1773934695690,1006008,20785,20785,835584,Phase 5,Iteration 1
[monitor_data] 1773934696327,1020804,31430,31430,835584,Phase 5,Iteration 1
[monitor_data] 1773934696965,1026900,33535,33535,835584,Phase 5,Iteration 1
[monitor_data] 1773934697609,1027360,29419,29419,835584,Phase 5,Iteration 1
[monitor_data] 1773934698244,1027360,27876,27876,794624,Phase 5,Iteration 1
[monitor_data] 1773934698892,1044096,50691,50691,794624,Phase 5,Iteration 1
[monitor_data] 1773934699535,1069528,55734,55734,794624,Phase 5,Iteration 1
[monitor_data] 1773934700177,1073180,55308,55308,794624,Phase 5,Iteration 1
[monitor_data] 1773934700815,1073180,52075,52075,794624,Phase 5,Iteration 1
[monitor_data] 1773934701450,1073180,49802,49802,794624,Phase 5,Iteration 1
[monitor_data] 1773934702091,1073552,50637,50637,796672,Phase 5,Iteration 1
[monitor_data] 1773934702731,1073552,50637,50637,796672,Phase 5,Iteration 1
[monitor_data] 1773934703373,1073552,50637,50637,796672,Phase 5,Iteration 1
[monitor_data] 1773934704015,1073552,50638,50638,796672,Phase 6,Iteration 1
[monitor_data] 1773934704649,1073556,50638,50638,0,Phase 6,Iteration 1
[monitor_data] 1773934705291,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 3843996 terminated
