[monitor_start] Monitoring PID 2904718 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773922484653,15872,2264,2264,67584,,
[monitor_data] 1773922485865,93036,2393,2393,116736,,
[monitor_data] 1773922486493,160608,2664,2664,239616,Phase 2,Iteration 1
[monitor_data] 1773922487130,302640,2698,2698,944128,Phase 3,Iteration 1
[monitor_data] 1773922487770,1007744,20783,20783,944128,Phase 5,Iteration 1
[monitor_data] 1773922488405,1007744,20783,20783,944128,Phase 5,Iteration 1
[monitor_data] 1773922489044,1007744,20779,20779,833536,Phase 5,Iteration 1
[monitor_data] 1773922489676,1023120,35273,35273,833536,Phase 5,Iteration 1
[monitor_data] 1773922490317,1029296,33334,33334,833536,Phase 5,Iteration 1
[monitor_data] 1773922490960,1029696,31073,31073,833536,Phase 5,Iteration 1
[monitor_data] 1773922491597,1029696,49730,49730,792576,Phase 5,Iteration 1
[monitor_data] 1773922492236,1043500,53402,53402,792576,Phase 5,Iteration 1
[monitor_data] 1773922492872,1104484,84396,84396,792576,Phase 5,Iteration 1
[monitor_data] 1773922493513,1151440,117503,117503,792576,Phase 5,Iteration 1
[monitor_data] 1773922494157,1223108,148856,148856,792576,Phase 5,Iteration 1
[monitor_data] 1773922494796,1242256,51463,51463,794624,Phase 5,Iteration 1
[monitor_data] 1773922495434,1165652,51463,51463,794624,Phase 5,Iteration 1
[monitor_data] 1773922496071,1165652,51463,51463,794624,Phase 5,Iteration 1
[monitor_data] 1773922496707,1165652,51463,51463,794624,Phase 6,Iteration 1
[monitor_data] 1773922497343,1165656,51465,51465,794624,Phase 6,Iteration 1
[monitor_data] 1773922497978,1165656,0,0,0,Phase 6,Iteration 1
[monitor_data] 1773922498603,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 2904718 terminated
