[monitor_start] Monitoring PID 4055653 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773937399316,15876,2259,2259,65536,,
[monitor_data] 1773937400586,89640,2380,2380,114688,,
[monitor_data] 1773937401222,153212,2664,2664,239616,Phase 2,Iteration 1
[monitor_data] 1773937401864,284708,2689,2689,851968,Phase 2,Iteration 1
[monitor_data] 1773937402502,946224,25754,25754,944128,Phase 5,Iteration 1
[monitor_data] 1773937403144,1013428,21852,21852,944128,Phase 5,Iteration 1
[monitor_data] 1773937403787,1013428,20778,20778,833536,Phase 5,Iteration 1
[monitor_data] 1773937404430,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937405060,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937405691,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937406327,1022540,26509,26509,833536,Phase 5,Iteration 1
[monitor_data] 1773937406964,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937407602,1022540,26509,26509,833536,Phase 5,Iteration 1
[monitor_data] 1773937408236,1022540,26509,26509,833536,Phase 5,Iteration 1
[monitor_data] 1773937408875,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937409513,1022540,26505,26505,833536,Phase 5,Iteration 1
[monitor_data] 1773937410148,1022540,49730,49730,792576,Phase 5,Iteration 1
[monitor_data] 1773937410786,1042880,49683,49683,792576,Phase 5,Iteration 1
[monitor_data] 1773937411419,1065188,49674,49674,792576,Phase 5,Iteration 1
[monitor_data] 1773937412053,1065188,49678,49678,792576,Phase 5,Iteration 1
[monitor_data] 1773937412690,1065188,49674,49674,792576,Phase 5,Iteration 1
[monitor_data] 1773937413325,1065188,49674,49674,792576,Phase 5,Iteration 1
[monitor_data] 1773937413963,1065188,49674,49674,792576,Phase 5,Iteration 1
[monitor_data] 1773937414600,1065188,49678,49678,792576,Phase 5,Iteration 1
[monitor_data] 1773937415232,1065188,49674,49674,792576,Phase 5,Iteration 1
[monitor_data] 1773937415870,1065188,49669,49669,792576,Phase 5,Iteration 1
[monitor_data] 1773937416509,1065188,49671,49671,794624,Phase 5,Iteration 1
[monitor_data] 1773937417142,1065212,49671,49671,794624,Phase 5,Iteration 1
[monitor_data] 1773937417784,1065212,49671,49671,794624,Phase 5,Iteration 1
[monitor_data] 1773937418420,1065212,49673,49673,794624,Phase 6,Iteration 1
[monitor_data] 1773937419061,1065228,49673,49673,0,Phase 6,Iteration 1
[monitor_data] 1773937419700,,0,0,0,Phase 6,Iteration 1
[monitor_end] Process 4055653 terminated
