[monitor_start] Monitoring PID 1629686 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773952794776,15888,2491,2491,53248,,
[monitor_data] 1773952796227,95760,3572,3572,81920,,
[monitor_data] 1773952796869,146636,6827,6827,190464,Phase 1,Iteration 1
[monitor_data] 1773952797508,307824,8953,8953,911360,Phase 1,Iteration 1
[monitor_data] 1773952798150,1044480,51369,51369,2095104,Phase 1,Iteration 1
[monitor_data] 1773952798789,2280160,50299,50299,3297280,Phase 1,Iteration 1
[monitor_data] 1773952799433,3493060,133063,133063,4497408,Phase 1,Iteration 1
[monitor_data] 1773952800078,4785708,144406,144406,5693440,Phase 1,Iteration 1
[monitor_data] 1773952800724,5968572,157598,157598,6447104,Phase 2,Iteration 1
[monitor_data] 1773952801366,6678460,156791,156791,6447104,Phase 2,Iteration 1
[monitor_data] 1773952802001,6797180,302502,302502,6447104,Phase 2,Iteration 1
[monitor_data] 1773952802645,6839932,284115,284115,6447104,Phase 2,Iteration 1
[monitor_data] 1773952803288,6839932,271693,271693,6447104,Phase 2,Iteration 1
[monitor_data] 1773952803928,6889260,329213,329213,6420480,Phase 3,Iteration 1
[monitor_data] 1773952804576,6926016,343219,343219,6422528,Phase 3,Iteration 1
[monitor_data] 1773952805212,6926076,372796,372796,6422528,Phase 3,Iteration 1
[monitor_data] 1773952805853,6928036,366409,366409,6420480,Phase 3,Iteration 1
[monitor_data] 1773952806497,6990336,435144,435144,6420480,Phase 3,Iteration 1
[monitor_data] 1773952807134,6998132,433254,433254,6422528,Phase 3,Iteration 1
[monitor_data] 1773952807773,7052268,465458,465458,6098944,Phase 3,Iteration 1
[monitor_data] 1773952808430,7221200,550336,550336,5746688,Phase 3,Iteration 1
[monitor_data] 1773952809079,7235980,637339,637339,5744640,Phase 3,Iteration 1
[monitor_data] 1773952809719,7395620,636714,636714,5744640,Phase 3,Iteration 1
[monitor_data] 1773952810358,7417256,638629,638629,5746688,Phase 3,Iteration 1
[monitor_data] 1773952810993,7420908,642310,642310,5746688,Phase 3,Iteration 1
[monitor_data] 1773952811627,7435036,710950,710950,5746688,Phase 3,Iteration 1
[monitor_data] 1773952812271,7474376,701659,701659,5746688,Phase 3,Iteration 1
[monitor_data] 1773952812914,7480360,786859,786859,4372480,Phase 3,Iteration 1
[monitor_data] 1773952813580,7528224,608130,608130,3969024,Phase 3,Iteration 1
[monitor_data] 1773952814229,7528224,727619,727619,3966976,Phase 3,Iteration 1
[monitor_data] 1773952814867,7590876,727281,727281,3966976,Phase 3,Iteration 1
[monitor_data] 1773952815506,7614076,730747,730747,3966976,Phase 3,Iteration 1
[monitor_data] 1773952816146,7638708,728481,728481,3966976,Phase 3,Iteration 1
[monitor_data] 1773952816785,7641444,727106,727106,3969024,Phase 3,Iteration 1
[monitor_data] 1773952817431,7644260,408498,408498,1538048,Phase 3,Iteration 1
[monitor_data] 1773952818083,7316696,323102,323102,1536000,Phase 3,Iteration 1
[monitor_data] 1773952818722,7317908,369676,369676,1536000,Phase 3,Iteration 1
[monitor_data] 1773952819369,7322784,370547,370547,1536000,Phase 3,Iteration 1
[monitor_data] 1773952820011,7326940,258675,258675,348160,Phase 3,Iteration 1
[monitor_data] 1773952820653,7196716,186333,186333,325632,Phase 3,Iteration 1
[monitor_data] 1773952821295,7196716,194281,194281,325632,Phase 3,Iteration 1
[monitor_data] 1773952821934,7196716,192330,192330,325632,Phase 3,Iteration 1
[monitor_data] 1773952822571,7026032,20959,20959,325632,Phase 3,Iteration 1
[monitor_data] 1773952823211,7026032,22598,22598,325632,Phase 3,Iteration 1
[monitor_data] 1773952823855,7026032,19807,19807,325632,Phase 3,Iteration 1
[monitor_data] 1773952824490,7024752,22204,22204,325632,Phase 3,Iteration 1
[monitor_data] 1773952825122,7024752,20691,20691,323584,Phase 3,Iteration 1
[monitor_data] 1773952825765,7024752,19871,19871,325632,Phase 4,Iteration 1
[monitor_data] 1773952826406,7024752,23317,23317,325632,Phase 4,Iteration 1
[monitor_data] 1773952827058,7024752,19682,19682,10240,Phase 4,Iteration 1
[monitor_data] 1773952827696,7023984,3730,3730,8192,Phase 4,Iteration 1
[monitor_data] 1773952828336,7023984,3665,3665,8192,Phase 4,Iteration 1
[monitor_data] 1773952828975,7023984,3601,3601,6144,Phase 4,Iteration 1
[monitor_data] 1773952829614,7022024,3152,3152,6144,Phase 4,Iteration 1
[monitor_data] 1773952830257,7021512,3152,3152,6144,Phase 4,Iteration 1
[monitor_data] 1773952830897,7021512,3152,3152,6144,Phase 4,Iteration 1
[monitor_data] 1773952831539,7021512,3217,3217,180224,Phase 1,Iteration 2
[monitor_data] 1773952832180,7021512,7830,7830,2060288,Phase 1,Iteration 2
[monitor_data] 1773952832828,7022512,109919,109919,4939776,Phase 1,Iteration 2
[monitor_data] 1773952833475,7022512,117657,117657,6447104,Phase 2,Iteration 2
[monitor_data] 1773952834119,7025208,100171,100171,6445056,Phase 2,Iteration 2
[monitor_data] 1773952834755,7025728,240132,240132,6445056,Phase 2,Iteration 2
[monitor_data] 1773952835401,7039260,296045,296045,6445056,Phase 2,Iteration 2
[monitor_data] 1773952836042,7053148,252927,252927,6445056,Phase 2,Iteration 2
[monitor_data] 1773952836684,7053148,206339,206339,6475776,Phase 3,Iteration 2
[monitor_data] 1773952837338,7056212,293893,293893,6418432,Phase 3,Iteration 2
[monitor_data] 1773952837977,7055700,300236,300236,6418432,Phase 3,Iteration 2
