[monitor_start] Monitoring PID 1148209 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773982097257,15876,2487,2487,49152,,
[monitor_data] 1773982098680,94188,3529,3529,81920,,
[monitor_data] 1773982099319,147356,4876,4876,194560,Phase 1,Iteration 1
[monitor_data] 1773982099961,332500,9447,9447,776192,Phase 1,Iteration 1
[monitor_data] 1773982100597,923716,35450,35450,1976320,Phase 1,Iteration 1
[monitor_data] 1773982101235,2171692,47989,47989,3178496,Phase 1,Iteration 1
[monitor_data] 1773982101877,3381416,47531,47531,4397056,Phase 1,Iteration 1
[monitor_data] 1773982102520,4701052,179657,179657,5601280,Phase 1,Iteration 1
[monitor_data] 1773982103160,5931176,155929,155929,6795264,Phase 2,Iteration 1
[monitor_data] 1773982103806,7066208,130463,130463,6795264,Phase 2,Iteration 1
[monitor_data] 1773982104449,7068752,162403,162403,6793216,Phase 2,Iteration 1
[monitor_data] 1773982105087,7069608,280265,280265,6793216,Phase 2,Iteration 1
[monitor_data] 1773982105723,7207604,333397,333397,6793216,Phase 2,Iteration 1
[monitor_data] 1773982106364,7228956,310197,310197,6821888,Phase 2,Iteration 1
[monitor_data] 1773982107007,7257628,289047,289047,6823936,Phase 3,Iteration 1
[monitor_data] 1773982107648,7258936,264719,264719,6823936,Phase 3,Iteration 1
[monitor_data] 1773982108291,7226364,339328,339328,6823936,Phase 3,Iteration 1
[monitor_data] 1773982108930,7271564,343166,343166,6766592,Phase 3,Iteration 1
[monitor_data] 1773982109565,7288516,346099,346099,6764544,Phase 3,Iteration 1
[monitor_data] 1773982110204,7290984,382188,382188,6766592,Phase 3,Iteration 1
[monitor_data] 1773982110848,7315964,375118,375118,6766592,Phase 3,Iteration 1
[monitor_data] 1773982111487,7315964,366229,366229,6764544,Phase 3,Iteration 1
[monitor_data] 1773982112132,7396224,462319,462319,6764544,Phase 3,Iteration 1
[monitor_data] 1773982112770,7469584,496114,496114,6764544,Phase 3,Iteration 1
[monitor_data] 1773982113407,7474368,495843,495843,6764544,Phase 3,Iteration 1
[monitor_data] 1773982114043,7489248,494413,494413,6764544,Phase 3,Iteration 1
[monitor_data] 1773982114680,7502536,817379,817379,6367232,Phase 3,Iteration 1
[monitor_data] 1773982115340,7784572,682925,682925,6084608,Phase 3,Iteration 1
[monitor_data] 1773982115985,7800392,775673,775673,6082560,Phase 3,Iteration 1
[monitor_data] 1773982116620,7955072,790817,790817,6084608,Phase 3,Iteration 1
[monitor_data] 1773982117266,7987652,789212,789212,6084608,Phase 3,Iteration 1
[monitor_data] 1773982117906,8016580,852373,852373,6084608,Phase 3,Iteration 1
