[monitor_start] Monitoring PID 2449527 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773992373671,15872,2490,2490,51200,,
[monitor_data] 1773992375152,88052,3495,3495,112640,,
[monitor_data] 1773992375800,125836,6000,6000,221184,Phase 1,Iteration 1
[monitor_data] 1773992376439,279392,10100,10100,774144,Phase 1,Iteration 1
[monitor_data] 1773992377076,883336,49284,49284,1966080,Phase 1,Iteration 1
[monitor_data] 1773992377717,2123500,44969,44969,3119104,Phase 1,Iteration 1
[monitor_data] 1773992378353,3307652,121580,121580,4319232,Phase 1,Iteration 1
[monitor_data] 1773992378995,4614396,164760,164760,5531648,Phase 1,Iteration 1
[monitor_data] 1773992379641,5838384,141117,141117,6750208,Phase 1,Iteration 1
[monitor_data] 1773992380290,7048220,152743,152743,6797312,Phase 2,Iteration 1
[monitor_data] 1773992380924,7051384,151226,151226,6795264,Phase 2,Iteration 1
[monitor_data] 1773992381562,7146784,292039,292039,6795264,Phase 2,Iteration 1
[monitor_data] 1773992382201,7213456,326882,326882,6795264,Phase 2,Iteration 1
[monitor_data] 1773992382842,7221160,303597,303597,6823936,Phase 2,Iteration 1
[monitor_data] 1773992383480,7249836,281550,281550,6825984,Phase 3,Iteration 1
[monitor_data] 1773992384126,7250696,257612,257612,6825984,Phase 3,Iteration 1
[monitor_data] 1773992384766,7254460,332862,332862,6825984,Phase 3,Iteration 1
[monitor_data] 1773992385406,7305212,347255,347255,6766592,Phase 3,Iteration 1
[monitor_data] 1773992386045,7321132,343090,343090,6766592,Phase 3,Iteration 1
[monitor_data] 1773992386681,7328544,389717,389717,6768640,Phase 3,Iteration 1
[monitor_data] 1773992387325,7343004,369745,369745,6768640,Phase 3,Iteration 1
[monitor_data] 1773992387961,7343004,373427,373427,6766592,Phase 3,Iteration 1
[monitor_data] 1773992388609,7397540,470276,470276,6766592,Phase 3,Iteration 1
[monitor_data] 1773992389243,7466568,511852,511852,6766592,Phase 3,Iteration 1
[monitor_data] 1773992389881,7471092,511981,511981,6766592,Phase 3,Iteration 1
[monitor_data] 1773992390519,7490948,591567,591567,6766592,Phase 3,Iteration 1
[monitor_data] 1773992391160,7505236,780641,780641,6244352,Phase 3,Iteration 1
[monitor_data] 1773992391825,7739476,677879,677879,6121472,Phase 3,Iteration 1
[monitor_data] 1773992392466,7745180,765546,765546,6119424,Phase 3,Iteration 1
[monitor_data] 1773992393107,7890980,779235,779235,6121472,Phase 3,Iteration 1
[monitor_data] 1773992393746,7934908,777743,777743,6121472,Phase 3,Iteration 1
[monitor_data] 1773992394384,7972812,859780,859780,6121472,Phase 3,Iteration 1
[monitor_data] 1773992395026,7994160,859807,859807,6121472,Phase 3,Iteration 1
[monitor_data] 1773992395659,8011664,862613,862613,6121472,Phase 3,Iteration 1
[monitor_data] 1773992396295,8039516,1024768,1024768,6121472,Phase 3,Iteration 1
[monitor_data] 1773992396934,8069356,1023119,1023119,6121472,Phase 3,Iteration 1
[monitor_data] 1773992397566,8098300,1013529,1013529,6121472,Phase 3,Iteration 1
[monitor_data] 1773992398207,8100880,880062,880062,4290560,Phase 3,Iteration 1
[monitor_data] 1773992398856,7950024,652988,652988,3098624,Phase 3,Iteration 1
[monitor_data] 1773992399505,7950024,637387,637387,3098624,Phase 3,Iteration 1
[monitor_data] 1773992400141,7979500,732688,732688,3098624,Phase 3,Iteration 1
[monitor_data] 1773992400783,7996244,730515,730515,3098624,Phase 3,Iteration 1
[monitor_data] 1773992401421,8012804,729693,729693,3098624,Phase 3,Iteration 1
[monitor_data] 1773992402062,8028796,733019,733019,3098624,Phase 3,Iteration 1
[monitor_data] 1773992402697,8044784,731576,731576,3098624,Phase 3,Iteration 1
[monitor_data] 1773992403331,8060900,730442,730442,3098624,Phase 3,Iteration 1
[monitor_data] 1773992403967,8076456,729752,729752,3098624,Phase 3,Iteration 1
[monitor_data] 1773992404612,7968468,469933,469933,671744,Phase 3,Iteration 1
[monitor_data] 1773992405260,7968536,392148,392148,671744,Phase 4,Iteration 1
[monitor_data] 1773992405903,7968544,412327,412327,671744,Phase 4,Iteration 1
[monitor_data] 1773992406541,7968544,409782,409782,671744,Phase 4,Iteration 1
[monitor_data] 1773992407180,7968544,413536,413536,673792,Phase 4,Iteration 1
[monitor_data] 1773992407812,7968548,411940,411940,673792,Phase 4,Iteration 1
