[monitor_start] Monitoring PID 2115872 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773989740083,15880,2490,2490,57344,,
[monitor_data] 1773989741537,92220,3628,3628,88064,,
[monitor_data] 1773989742171,146796,6514,6514,190464,Phase 1,Iteration 1
[monitor_data] 1773989742817,311016,9071,9071,790528,Phase 1,Iteration 1
[monitor_data] 1773989743449,935628,48367,48367,1988608,Phase 1,Iteration 1
[monitor_data] 1773989744095,2185228,46691,46691,3176448,Phase 1,Iteration 1
[monitor_data] 1773989744734,3379680,122521,122521,4384768,Phase 1,Iteration 1
[monitor_data] 1773989745376,4685704,172556,172556,5582848,Phase 1,Iteration 1
[monitor_data] 1773989746019,5905108,148916,148916,6791168,Phase 2,Iteration 1
[monitor_data] 1773989746661,7059240,124146,124146,6791168,Phase 2,Iteration 1
[monitor_data] 1773989747302,7040180,158160,158160,6789120,Phase 2,Iteration 1
[monitor_data] 1773989747941,7041768,280201,280201,6789120,Phase 2,Iteration 1
[monitor_data] 1773989748583,7199852,332536,332536,6789120,Phase 2,Iteration 1
[monitor_data] 1773989749220,7220220,309324,309324,6817792,Phase 2,Iteration 1
[monitor_data] 1773989749859,7248892,287903,287903,6819840,Phase 3,Iteration 1
[monitor_data] 1773989750495,7250240,263817,263817,6819840,Phase 3,Iteration 1
[monitor_data] 1773989751136,7255152,332134,332134,6819840,Phase 3,Iteration 1
[monitor_data] 1773989751779,7293196,331292,331292,6762496,Phase 3,Iteration 1
[monitor_data] 1773989752416,7293196,326207,326207,6762496,Phase 3,Iteration 1
[monitor_data] 1773989753057,7293196,364925,364925,6764544,Phase 3,Iteration 1
[monitor_data] 1773989753695,7298836,355778,355778,6764544,Phase 3,Iteration 1
[monitor_data] 1773989754333,7298836,351323,351323,6762496,Phase 3,Iteration 1
[monitor_data] 1773989754985,7374696,428852,428852,6762496,Phase 3,Iteration 1
[monitor_data] 1773989755622,7375940,428999,428999,6762496,Phase 3,Iteration 1
[monitor_data] 1773989756259,7376096,427737,427737,6762496,Phase 3,Iteration 1
[monitor_data] 1773989756895,7376096,427600,427600,6762496,Phase 3,Iteration 1
[monitor_data] 1773989757534,7376096,742452,742452,6408192,Phase 3,Iteration 1
[monitor_data] 1773989758186,7729212,611584,611584,6103040,Phase 3,Iteration 1
[monitor_data] 1773989758837,7747224,701964,701964,6100992,Phase 3,Iteration 1
[monitor_data] 1773989759478,7880048,715112,715112,6103040,Phase 3,Iteration 1
[monitor_data] 1773989760120,7885276,713891,713891,6103040,Phase 3,Iteration 1
[monitor_data] 1773989760756,7885276,714883,714883,6103040,Phase 3,Iteration 1
[monitor_data] 1773989761393,7885276,713984,713984,6103040,Phase 3,Iteration 1
[monitor_data] 1773989762031,7886144,716467,716467,6103040,Phase 3,Iteration 1
[monitor_data] 1773989762669,7887432,716350,716350,6103040,Phase 3,Iteration 1
[monitor_data] 1773989763305,7887452,714093,714093,6103040,Phase 3,Iteration 1
[monitor_data] 1773989763939,7887452,701838,701838,6103040,Phase 3,Iteration 1
[monitor_data] 1773989764580,7887452,752289,752289,4923392,Phase 3,Iteration 1
[monitor_data] 1773989765228,7952032,531464,531464,3096576,Phase 3,Iteration 1
[monitor_data] 1773989765882,7956260,472153,472153,3096576,Phase 3,Iteration 1
[monitor_data] 1773989766517,7975112,564542,564542,3096576,Phase 3,Iteration 1
[monitor_data] 1773989767156,7975112,567715,567715,3096576,Phase 3,Iteration 1
[monitor_data] 1773989767798,7975112,564619,564619,3096576,Phase 3,Iteration 1
[monitor_data] 1773989768438,7975112,567067,567067,3096576,Phase 3,Iteration 1
[monitor_data] 1773989769079,7975112,567994,567994,3096576,Phase 3,Iteration 1
[monitor_data] 1773989769720,7975112,565663,565663,3096576,Phase 3,Iteration 1
[monitor_data] 1773989770358,7975112,564964,564964,3096576,Phase 3,Iteration 1
[monitor_data] 1773989771003,7975112,539980,539980,1269760,Phase 3,Iteration 1
[monitor_data] 1773989771650,7971860,392738,392738,669696,Phase 4,Iteration 1
[monitor_data] 1773989772287,7953120,409001,409001,667648,Phase 4,Iteration 1
[monitor_data] 1773989772926,7953120,409001,409001,667648,Phase 4,Iteration 1
[monitor_data] 1773989773566,7953120,409005,409005,669696,Phase 4,Iteration 1
[monitor_data] 1773989774202,7953120,409013,409013,669696,Phase 4,Iteration 1
[monitor_data] 1773989774836,7953120,40094,40094,669696,Phase 4,Iteration 1
[monitor_data] 1773989775475,7584212,3630,3630,10240,Phase 4,Iteration 1
[monitor_data] 1773989776115,7454620,3693,3693,8192,Phase 4,Iteration 1
[monitor_data] 1773989776755,7389640,3565,3565,8192,Phase 4,Iteration 1
[monitor_data] 1773989777389,7389640,3565,3565,8192,Phase 4,Iteration 1
[monitor_data] 1773989778028,7389640,3565,3565,8192,Phase 4,Iteration 1
[monitor_data] 1773989778670,7389640,3565,3565,153600,Phase 1,Iteration 2
[monitor_data] 1773989779311,7389640,3694,3694,184320,Phase 1,Iteration 2
[monitor_data] 1773989779949,7389640,8409,8409,3198976,Phase 1,Iteration 2
[monitor_data] 1773989780598,7389712,143015,143015,6795264,Phase 2,Iteration 2
[monitor_data] 1773989781256,7414352,139291,139291,6795264,Phase 2,Iteration 2
[monitor_data] 1773989781897,7414352,113150,113150,6795264,Phase 2,Iteration 2
[monitor_data] 1773989782529,7414352,109639,109639,6789120,Phase 2,Iteration 2
[monitor_data] 1773989783170,7484864,263899,263899,6789120,Phase 2,Iteration 2
[monitor_data] 1773989783810,7559504,313427,313427,6817792,Phase 2,Iteration 2
[monitor_data] 1773989784446,7579604,290651,290651,6819840,Phase 3,Iteration 2
