[monitor_start] Monitoring PID 2570580 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773993328716,15876,2489,2489,55296,,
[monitor_data] 1773993330150,100328,3542,3542,79872,,
[monitor_data] 1773993330785,152296,5419,5419,190464,Phase 1,Iteration 1
[monitor_data] 1773993331426,317532,9206,9206,829440,Phase 1,Iteration 1
[monitor_data] 1773993332073,976856,47204,47204,2023424,Phase 1,Iteration 1
[monitor_data] 1773993332716,2224128,49746,49746,3215360,Phase 1,Iteration 1
[monitor_data] 1773993333361,3426636,48848,48848,4417536,Phase 1,Iteration 1
[monitor_data] 1773993334000,4720888,187724,187724,5613568,Phase 1,Iteration 1
[monitor_data] 1773993334645,5951712,166757,166757,6791168,Phase 2,Iteration 1
[monitor_data] 1773993335284,7076920,142559,142559,6791168,Phase 2,Iteration 1
[monitor_data] 1773993335928,7075700,169160,169160,6791168,Phase 2,Iteration 1
[monitor_data] 1773993336559,7076932,261413,261413,6791168,Phase 2,Iteration 1
[monitor_data] 1773993337197,7175684,326715,326715,6791168,Phase 2,Iteration 1
[monitor_data] 1773993337833,7216348,317459,317459,6819840,Phase 2,Iteration 1
[monitor_data] 1773993338474,7245020,297308,297308,6821888,Phase 3,Iteration 1
[monitor_data] 1773993339111,7246340,273897,273897,6821888,Phase 3,Iteration 1
[monitor_data] 1773993339756,7243344,299934,299934,6821888,Phase 3,Iteration 1
[monitor_data] 1773993340405,7284844,339310,339310,6821888,Phase 3,Iteration 1
[monitor_data] 1773993341042,7285132,335039,335039,6762496,Phase 3,Iteration 1
[monitor_data] 1773993341679,7285140,347348,347348,6764544,Phase 3,Iteration 1
[monitor_data] 1773993342321,7309108,364667,364667,6764544,Phase 3,Iteration 1
[monitor_data] 1773993342960,7310992,340379,340379,6762496,Phase 3,Iteration 1
[monitor_data] 1773993343608,7304668,426798,426798,6762496,Phase 3,Iteration 1
[monitor_data] 1773993344241,7387800,424185,424185,6762496,Phase 3,Iteration 1
[monitor_data] 1773993344876,7387800,431873,431873,6762496,Phase 3,Iteration 1
[monitor_data] 1773993345518,7392416,432001,432001,6762496,Phase 3,Iteration 1
[monitor_data] 1773993346159,7392416,421199,421199,6576128,Phase 3,Iteration 1
[monitor_data] 1773993346804,7644060,548266,548266,5642240,Phase 3,Iteration 1
[monitor_data] 1773993347458,7676204,506450,506450,5640192,Phase 3,Iteration 1
[monitor_data] 1773993348100,7839624,605260,605260,5642240,Phase 3,Iteration 1
[monitor_data] 1773993348741,7842552,607251,607251,5642240,Phase 3,Iteration 1
[monitor_data] 1773993349378,7842980,604147,604147,5642240,Phase 3,Iteration 1
[monitor_data] 1773993350015,7842980,605977,605977,5642240,Phase 3,Iteration 1
[monitor_data] 1773993350652,7842980,606699,606699,5642240,Phase 3,Iteration 1
[monitor_data] 1773993351294,7842980,606187,606187,5642240,Phase 3,Iteration 1
[monitor_data] 1773993351930,7842996,604949,604949,5642240,Phase 3,Iteration 1
[monitor_data] 1773993352567,7842996,600272,600272,5642240,Phase 3,Iteration 1
[monitor_data] 1773993353204,7842996,592245,592245,5566464,Phase 3,Iteration 1
[monitor_data] 1773993353857,8115012,768884,768884,3678208,Phase 3,Iteration 1
[monitor_data] 1773993354510,8064220,613056,613056,3098624,Phase 3,Iteration 1
[monitor_data] 1773993355158,8064224,705536,705536,3098624,Phase 3,Iteration 1
[monitor_data] 1773993355799,8103372,709337,709337,3098624,Phase 3,Iteration 1
[monitor_data] 1773993356433,8104452,707136,707136,3098624,Phase 3,Iteration 1
[monitor_data] 1773993357066,8104452,705208,705208,3098624,Phase 3,Iteration 1
[monitor_data] 1773993357706,8104452,708740,708740,3098624,Phase 3,Iteration 1
[monitor_data] 1773993358347,8104612,707458,707458,3098624,Phase 3,Iteration 1
[monitor_data] 1773993358985,8104612,705576,705576,3098624,Phase 3,Iteration 1
[monitor_data] 1773993359622,8104612,705223,705223,3098624,Phase 3,Iteration 1
[monitor_data] 1773993360264,7959740,468267,468267,673792,Phase 4,Iteration 1
[monitor_data] 1773993360911,7959740,392084,392084,671744,Phase 4,Iteration 1
[monitor_data] 1773993361553,7959740,408414,408414,671744,Phase 4,Iteration 1
[monitor_data] 1773993362188,7959740,408410,408410,671744,Phase 4,Iteration 1
[monitor_data] 1773993362823,7959740,408418,408418,673792,Phase 4,Iteration 1
[monitor_data] 1773993363463,7959744,408418,408418,673792,Phase 4,Iteration 1
[monitor_data] 1773993364100,7593204,41487,41487,8192,Phase 4,Iteration 1
[monitor_data] 1773993364738,7506124,3679,3679,8192,Phase 4,Iteration 1
[monitor_data] 1773993365371,7505612,3293,3293,8192,Phase 4,Iteration 1
[monitor_data] 1773993366009,7506124,3613,3613,6144,Phase 4,Iteration 1
[monitor_data] 1773993366645,7506124,3165,3165,6144,Phase 4,Iteration 1
[monitor_data] 1773993367280,7505612,3165,3165,6144,Phase 4,Iteration 1
[monitor_data] 1773993367918,7505612,3166,3166,180224,Phase 1,Iteration 2
[monitor_data] 1773993368563,7505612,3302,3302,2340864,Phase 1,Iteration 2
[monitor_data] 1773993369209,7506320,33421,33421,6348800,Phase 1,Iteration 2
[monitor_data] 1773993369850,7506320,33619,33619,6791168,Phase 2,Iteration 2
[monitor_data] 1773993370483,7506320,38995,38995,6791168,Phase 2,Iteration 2
[monitor_data] 1773993371122,7507068,221118,221118,6791168,Phase 2,Iteration 2
[monitor_data] 1773993371764,7581036,295402,295402,6791168,Phase 2,Iteration 2
[monitor_data] 1773993372406,7639184,302972,302972,6819840,Phase 2,Iteration 2
[monitor_data] 1773993373043,7641232,280094,280094,6821888,Phase 3,Iteration 2
[monitor_data] 1773993373685,7641232,256995,256995,6821888,Phase 3,Iteration 2
[monitor_data] 1773993374327,7641232,232603,232603,6821888,Phase 3,Iteration 2
[monitor_data] 1773993374971,7641232,245648,245648,6762496,Phase 3,Iteration 2
[monitor_data] 1773993375614,7641752,244172,244172,6762496,Phase 3,Iteration 2
[monitor_data] 1773993376250,7641808,306506,306506,6764544,Phase 3,Iteration 2
[monitor_data] 1773993376894,7641808,312258,312258,6764544,Phase 3,Iteration 2
[monitor_data] 1773993377536,7641808,290276,290276,6764544,Phase 3,Iteration 2
[monitor_data] 1773993378179,7641808,266128,266128,6764544,Phase 3,Iteration 2
[monitor_data] 1773993378819,7641808,393352,393352,6762496,Phase 3,Iteration 2
[monitor_data] 1773993379467,7645532,424683,424683,6762496,Phase 3,Iteration 2
[monitor_data] 1773993380107,7645532,509927,509927,6584320,Phase 3,Iteration 2
[monitor_data] 1773993380752,7734000,474517,474517,6582272,Phase 3,Iteration 2
[monitor_data] 1773993381395,7827564,504412,504412,6582272,Phase 3,Iteration 2
[monitor_data] 1773993382028,7827564,503634,503634,6582272,Phase 3,Iteration 2
[monitor_data] 1773993382665,7827568,515168,515168,6584320,Phase 3,Iteration 2
[monitor_data] 1773993383300,7827620,514527,514527,6584320,Phase 3,Iteration 2
[monitor_data] 1773993383934,7827620,512479,512479,6584320,Phase 3,Iteration 2
[monitor_data] 1773993384573,7827620,510355,510355,6584320,Phase 3,Iteration 2
[monitor_data] 1773993385206,7827620,499216,499216,6584320,Phase 3,Iteration 2
[monitor_data] 1773993385847,7827620,499217,499217,6014976,Phase 3,Iteration 2
[monitor_data] 1773993386493,8140964,627172,627172,3117056,Phase 3,Iteration 2
[monitor_data] 1773993387161,8140992,502391,502391,3096576,Phase 3,Iteration 2
[monitor_data] 1773993387794,8141016,596900,596900,3096576,Phase 3,Iteration 2
[monitor_data] 1773993388429,8141016,598964,598964,3098624,Phase 3,Iteration 2
[monitor_data] 1773993389067,8141016,596179,596179,3098624,Phase 3,Iteration 2
[monitor_data] 1773993389712,8141024,594792,594792,3098624,Phase 3,Iteration 2
[monitor_data] 1773993390352,8141024,597282,597282,3098624,Phase 3,Iteration 2
[monitor_data] 1773993390990,8141024,598186,598186,3098624,Phase 3,Iteration 2
[monitor_data] 1773993391625,8141024,596174,596174,3098624,Phase 3,Iteration 2
[monitor_data] 1773993392263,8141024,594423,594423,1982464,Phase 3,Iteration 2
[monitor_data] 1773993392912,8106872,391979,391979,669696,Phase 3,Iteration 2
[monitor_data] 1773993393551,8106872,409080,409080,667648,Phase 3,Iteration 2
[monitor_data] 1773993394192,8106872,410079,410079,667648,Phase 3,Iteration 2
[monitor_data] 1773993394828,8106872,410979,410979,669696,Phase 4,Iteration 2
[monitor_data] 1773993395465,8106872,412435,412435,669696,Phase 4,Iteration 2
[monitor_data] 1773993396109,8106872,412314,412314,669696,Phase 4,Iteration 2
[monitor_data] 1773993396751,8106872,40381,40381,638976,Phase 4,Iteration 2
[monitor_data] 1773993397388,7740236,3090,3090,6144,Phase 4,Iteration 2
[monitor_data] 1773993398028,7590404,3090,3090,6144,Phase 4,Iteration 2
[monitor_data] 1773993398667,7590404,3090,3090,6144,Phase 4,Iteration 2
[monitor_data] 1773993399307,7590404,3090,3090,6144,Phase 4,Iteration 2
[monitor_data] 1773993399948,7590404,3090,3090,6144,Phase 4,Iteration 2
[monitor_data] 1773993400585,7590404,3090,3090,151552,Phase 1,Iteration 3
[monitor_data] 1773993401224,7590404,3155,3155,180224,Phase 1,Iteration 3
[monitor_data] 1773993401864,7590404,7826,7826,3561472,Phase 1,Iteration 3
[monitor_data] 1773993402513,7590404,151971,151971,6791168,Phase 2,Iteration 3
[monitor_data] 1773993403165,7590404,146086,146086,6791168,Phase 2,Iteration 3
[monitor_data] 1773993403804,7590404,120029,120029,6791168,Phase 2,Iteration 3
[monitor_data] 1773993404438,7590916,114917,114917,6791168,Phase 2,Iteration 3
[monitor_data] 1773993405080,7590916,267828,267828,6791168,Phase 2,Iteration 3
[monitor_data] 1773993405721,7611872,313611,313611,6819840,Phase 2,Iteration 3
[monitor_data] 1773993406365,7618024,291336,291336,6821888,Phase 3,Iteration 3
[monitor_data] 1773993407005,7618024,268180,268180,6821888,Phase 3,Iteration 3
[monitor_data] 1773993407646,7618024,244684,244684,6821888,Phase 3,Iteration 3
[monitor_data] 1773993408284,7618024,220543,220543,6821888,Phase 3,Iteration 3
[monitor_data] 1773993408928,7618028,321913,321913,6762496,Phase 3,Iteration 3
[monitor_data] 1773993409565,7618028,319536,319536,6762496,Phase 3,Iteration 3
[monitor_data] 1773993410213,7618032,353232,353232,6762496,Phase 3,Iteration 3
[monitor_data] 1773993410859,7618032,339506,339506,6762496,Phase 3,Iteration 3
[monitor_data] 1773993411503,7618032,315472,315472,6760448,Phase 3,Iteration 3
[monitor_data] 1773993412149,7653424,423281,423281,6762496,Phase 3,Iteration 3
[monitor_data] 1773993412791,7653888,428048,428048,6762496,Phase 3,Iteration 3
[monitor_data] 1773993413426,7654672,427456,427456,6762496,Phase 3,Iteration 3
[monitor_data] 1773993414065,7654672,420774,420774,6682624,Phase 3,Iteration 3
[monitor_data] 1773993414712,7865668,514889,514889,5513216,Phase 3,Iteration 3
[monitor_data] 1773993415366,7865668,487162,487162,5513216,Phase 3,Iteration 3
[monitor_data] 1773993416001,7927748,562546,562546,5513216,Phase 3,Iteration 3
[monitor_data] 1773993416642,7927748,565759,565759,5513216,Phase 3,Iteration 3
[monitor_data] 1773993417281,7927748,563478,563478,5513216,Phase 3,Iteration 3
[monitor_data] 1773993417917,7927748,562582,562582,5513216,Phase 3,Iteration 3
[monitor_data] 1773993418555,7927748,565509,565509,5513216,Phase 3,Iteration 3
[monitor_data] 1773993419191,7927748,566057,566057,5513216,Phase 3,Iteration 3
[monitor_data] 1773993419830,7927748,563087,563087,5513216,Phase 3,Iteration 3
[monitor_data] 1773993420467,7927748,559247,559247,5513216,Phase 3,Iteration 3
[monitor_data] 1773993421109,7927748,809216,809216,4257792,Phase 3,Iteration 3
[monitor_data] 1773993421761,8183048,604244,604244,3098624,Phase 3,Iteration 3
[monitor_data] 1773993422417,8183048,566335,566335,3096576,Phase 3,Iteration 3
