[monitor_start] Monitoring PID 3478109 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773967387603,15880,2491,2491,53248,,
[monitor_data] 1773967389062,98480,3612,3612,81920,,
[monitor_data] 1773967389699,151912,4785,4785,194560,Phase 1,Iteration 1
[monitor_data] 1773967390336,331640,9196,9196,835584,Phase 1,Iteration 1
[monitor_data] 1773967390972,980468,48656,48656,2031616,Phase 1,Iteration 1
[monitor_data] 1773967391612,2232564,49604,49604,3233792,Phase 1,Iteration 1
[monitor_data] 1773967392253,3440004,49145,49145,4341760,Phase 1,Iteration 1
[monitor_data] 1773967392897,4640268,192024,192024,5558272,Phase 1,Iteration 1
[monitor_data] 1773967393546,5895400,168565,168565,6778880,Phase 2,Iteration 1
[monitor_data] 1773967394189,7075220,144003,144003,6793216,Phase 2,Iteration 1
[monitor_data] 1773967394830,7070588,169758,169758,6791168,Phase 2,Iteration 1
[monitor_data] 1773967395465,7073036,260555,260555,6791168,Phase 2,Iteration 1
[monitor_data] 1773967396101,7171812,325612,325612,6791168,Phase 2,Iteration 1
[monitor_data] 1773967396737,7213632,318267,318267,6819840,Phase 2,Iteration 1
[monitor_data] 1773967397376,7242304,297701,297701,6821888,Phase 3,Iteration 1
[monitor_data] 1773967398016,7243832,274860,274860,6821888,Phase 3,Iteration 1
[monitor_data] 1773967398651,7243832,300522,300522,6821888,Phase 3,Iteration 1
[monitor_data] 1773967399298,7252940,342463,342463,6821888,Phase 3,Iteration 1
[monitor_data] 1773967399934,7256772,339669,339669,6762496,Phase 3,Iteration 1
[monitor_data] 1773967400576,7257312,348976,348976,6764544,Phase 3,Iteration 1
[monitor_data] 1773967401213,7279456,368717,368717,6764544,Phase 3,Iteration 1
[monitor_data] 1773967401860,7282344,344849,344849,6762496,Phase 3,Iteration 1
[monitor_data] 1773967402503,7289936,428722,428722,6762496,Phase 3,Iteration 1
[monitor_data] 1773967403144,7391452,441855,441855,6762496,Phase 3,Iteration 1
[monitor_data] 1773967403784,7396004,441701,441701,6762496,Phase 3,Iteration 1
[monitor_data] 1773967404423,7415032,458855,458855,6762496,Phase 3,Iteration 1
[monitor_data] 1773967405053,7419520,453986,453986,6641664,Phase 3,Iteration 1
[monitor_data] 1773967405694,7663676,566316,566316,5570560,Phase 3,Iteration 1
[monitor_data] 1773967406350,7681608,521234,521234,5568512,Phase 3,Iteration 1
[monitor_data] 1773967406985,7810996,616771,616771,5570560,Phase 3,Iteration 1
[monitor_data] 1773967407621,7819140,618432,618432,5570560,Phase 3,Iteration 1
[monitor_data] 1773967408256,7822760,634133,634133,5570560,Phase 3,Iteration 1
[monitor_data] 1773967408887,7845468,635031,635031,5570560,Phase 3,Iteration 1
[monitor_data] 1773967409522,7847684,633483,633483,5570560,Phase 3,Iteration 1
[monitor_data] 1773967410154,7851596,636257,636257,5570560,Phase 3,Iteration 1
[monitor_data] 1773967410796,7889396,668227,668227,5570560,Phase 3,Iteration 1
[monitor_data] 1773967411430,7894588,662765,662765,5570560,Phase 3,Iteration 1
