[monitor_start] Monitoring PID 2085424 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773989499398,15888,2489,2489,57344,,
[monitor_data] 1773989500840,96168,3610,3610,83968,,
[monitor_data] 1773989501476,138572,6363,6363,192512,Phase 1,Iteration 1
[monitor_data] 1773989502116,312472,9366,9366,694272,Phase 1,Iteration 1
[monitor_data] 1773989502752,829552,43932,43932,1873920,Phase 1,Iteration 1
[monitor_data] 1773989503390,2056844,44147,44147,3080192,Phase 1,Iteration 1
[monitor_data] 1773989504036,3267716,43817,43817,4302848,Phase 1,Iteration 1
[monitor_data] 1773989504683,4592764,172931,172931,5523456,Phase 1,Iteration 1
[monitor_data] 1773989505332,5830248,149289,149289,6737920,Phase 1,Iteration 1
[monitor_data] 1773989505977,7048832,124858,124858,6793216,Phase 2,Iteration 1
[monitor_data] 1773989506613,7031788,155006,155006,6793216,Phase 2,Iteration 1
[monitor_data] 1773989507250,7032476,276421,276421,6793216,Phase 2,Iteration 1
[monitor_data] 1773989507890,7181160,332222,332222,6793216,Phase 2,Iteration 1
[monitor_data] 1773989508527,7204244,309203,309203,6821888,Phase 2,Iteration 1
[monitor_data] 1773989509167,7232916,286932,286932,6823936,Phase 3,Iteration 1
[monitor_data] 1773989509805,7234124,264623,264623,6823936,Phase 3,Iteration 1
[monitor_data] 1773989510447,7205060,330135,330135,6823936,Phase 3,Iteration 1
[monitor_data] 1773989511096,7240372,330948,330948,6823936,Phase 3,Iteration 1
[monitor_data] 1773989511729,7240384,325690,325690,6764544,Phase 3,Iteration 1
[monitor_data] 1773989512365,7242064,357405,357405,6766592,Phase 3,Iteration 1
[monitor_data] 1773989513010,7283952,358134,358134,6766592,Phase 3,Iteration 1
[monitor_data] 1773989513650,7283952,333500,333500,6764544,Phase 3,Iteration 1
[monitor_data] 1773989514302,7286444,428511,428511,6764544,Phase 3,Iteration 1
[monitor_data] 1773989514941,7365548,427157,427157,6764544,Phase 3,Iteration 1
[monitor_data] 1773989515578,7365548,433489,433489,6764544,Phase 3,Iteration 1
[monitor_data] 1773989516216,7369256,432429,432429,6764544,Phase 3,Iteration 1
[monitor_data] 1773989516863,7369256,737464,737464,6486016,Phase 3,Iteration 1
[monitor_data] 1773989517518,7711800,606709,606709,6103040,Phase 3,Iteration 1
[monitor_data] 1773989518176,7733580,663711,663711,6100992,Phase 3,Iteration 1
[monitor_data] 1773989518820,7916664,707396,707396,6103040,Phase 3,Iteration 1
[monitor_data] 1773989519464,7917236,709569,709569,6103040,Phase 3,Iteration 1
[monitor_data] 1773989520099,7917236,709879,709879,6103040,Phase 3,Iteration 1
[monitor_data] 1773989520742,7917236,708101,708101,6103040,Phase 3,Iteration 1
[monitor_data] 1773989521378,7917236,708442,708442,6103040,Phase 3,Iteration 1
[monitor_data] 1773989522011,7917236,710454,710454,6103040,Phase 3,Iteration 1
[monitor_data] 1773989522653,7917236,708725,708725,6103040,Phase 3,Iteration 1
[monitor_data] 1773989523294,7917236,696706,696706,6103040,Phase 3,Iteration 1
[monitor_data] 1773989523933,7917236,696706,696706,5031936,Phase 3,Iteration 1
[monitor_data] 1773989524588,7973636,538914,538914,3098624,Phase 3,Iteration 1
[monitor_data] 1773989525253,7881936,472302,472302,3098624,Phase 3,Iteration 1
[monitor_data] 1773989525895,7881964,566103,566103,3098624,Phase 3,Iteration 1
[monitor_data] 1773989526532,7881964,565260,565260,3098624,Phase 3,Iteration 1
[monitor_data] 1773989527170,7881964,564852,564852,3098624,Phase 3,Iteration 1
[monitor_data] 1773989527809,7881964,565354,565354,3098624,Phase 3,Iteration 1
[monitor_data] 1773989528449,7881964,568757,568757,3098624,Phase 3,Iteration 1
[monitor_data] 1773989529086,7881964,567180,567180,3098624,Phase 3,Iteration 1
[monitor_data] 1773989529725,7881964,564758,564758,3098624,Phase 3,Iteration 1
[monitor_data] 1773989530358,7881964,546153,546153,1366016,Phase 3,Iteration 1
[monitor_data] 1773989531004,7816696,392119,392119,671744,Phase 4,Iteration 1
[monitor_data] 1773989531643,7816696,408386,408386,669696,Phase 4,Iteration 1
[monitor_data] 1773989532286,7822136,408385,408385,669696,Phase 4,Iteration 1
[monitor_data] 1773989532930,7822136,408386,408386,671744,Phase 4,Iteration 1
[monitor_data] 1773989533572,7822136,408394,408394,671744,Phase 4,Iteration 1
[monitor_data] 1773989534203,7822136,42131,42131,669696,Phase 4,Iteration 1
[monitor_data] 1773989534843,7455820,3747,3747,10240,Phase 4,Iteration 1
[monitor_data] 1773989535480,7373768,3747,3747,8192,Phase 4,Iteration 1
[monitor_data] 1773989536125,7363528,3682,3682,8192,Phase 4,Iteration 1
[monitor_data] 1773989536757,7294940,3682,3682,6144,Phase 4,Iteration 1
[monitor_data] 1773989537395,7294940,3617,3617,6144,Phase 4,Iteration 1
[monitor_data] 1773989538036,7294428,3169,3169,151552,Phase 1,Iteration 2
[monitor_data] 1773989538673,7294428,3234,3234,180224,Phase 1,Iteration 2
[monitor_data] 1773989539313,7294428,7888,7888,3213312,Phase 1,Iteration 2
[monitor_data] 1773989539960,7299960,148078,148078,6782976,Phase 2,Iteration 2
[monitor_data] 1773989540610,7347392,175147,175147,6791168,Phase 2,Iteration 2
[monitor_data] 1773989541253,7347412,149940,149940,6791168,Phase 2,Iteration 2
[monitor_data] 1773989541894,7347412,128066,128066,6789120,Phase 2,Iteration 2
[monitor_data] 1773989542536,7347924,128379,128379,6789120,Phase 2,Iteration 2
[monitor_data] 1773989543178,7375908,288563,288563,6817792,Phase 2,Iteration 2
[monitor_data] 1773989543816,7441216,306337,306337,6819840,Phase 3,Iteration 2
[monitor_data] 1773989544461,7441216,283152,283152,6819840,Phase 3,Iteration 2
[monitor_data] 1773989545103,7441216,260082,260082,6819840,Phase 3,Iteration 2
[monitor_data] 1773989545743,7441216,236350,236350,6819840,Phase 3,Iteration 2
[monitor_data] 1773989546384,7404320,335467,335467,6819840,Phase 3,Iteration 2
[monitor_data] 1773989547036,7410920,333036,333036,6762496,Phase 3,Iteration 2
[monitor_data] 1773989547676,7410408,343896,343896,6762496,Phase 3,Iteration 2
[monitor_data] 1773989548318,7423196,357816,357816,6762496,Phase 3,Iteration 2
[monitor_data] 1773989548959,7424904,334748,334748,6760448,Phase 3,Iteration 2
[monitor_data] 1773989549602,7428876,422787,422787,6760448,Phase 3,Iteration 2
[monitor_data] 1773989550239,7480160,427840,427840,6762496,Phase 3,Iteration 2
[monitor_data] 1773989550884,7480872,429086,429086,6762496,Phase 3,Iteration 2
[monitor_data] 1773989551525,7481224,427392,427392,6762496,Phase 3,Iteration 2
[monitor_data] 1773989552167,7481224,658534,658534,6111232,Phase 3,Iteration 2
[monitor_data] 1773989552823,7725444,495591,495591,5353472,Phase 3,Iteration 2
[monitor_data] 1773989553475,7704940,572133,572133,5353472,Phase 3,Iteration 2
[monitor_data] 1773989554114,7804228,577213,577213,5353472,Phase 3,Iteration 2
[monitor_data] 1773989554753,7804912,576366,576366,5353472,Phase 3,Iteration 2
[monitor_data] 1773989555396,7804912,574278,574278,5353472,Phase 3,Iteration 2
[monitor_data] 1773989556025,7804912,577019,577019,5353472,Phase 3,Iteration 2
[monitor_data] 1773989556663,7805288,583792,583792,5353472,Phase 3,Iteration 2
[monitor_data] 1773989557309,7805292,582778,582778,5353472,Phase 3,Iteration 2
[monitor_data] 1773989557950,7805292,572985,572985,5353472,Phase 3,Iteration 2
[monitor_data] 1773989558590,7805292,571015,571015,4229120,Phase 3,Iteration 2
[monitor_data] 1773989559236,8042284,594282,594282,1953792,Phase 3,Iteration 2
[monitor_data] 1773989559886,8042284,538871,538871,1951744,Phase 3,Iteration 2
[monitor_data] 1773989560533,8042296,597090,597090,1951744,Phase 3,Iteration 2
[monitor_data] 1773989561170,8042296,596569,596569,1951744,Phase 3,Iteration 2
[monitor_data] 1773989561807,8042296,595370,595370,1951744,Phase 3,Iteration 2
[monitor_data] 1773989562445,8042296,596000,596000,1951744,Phase 3,Iteration 2
[monitor_data] 1773989563085,8042296,599342,599342,1951744,Phase 3,Iteration 2
[monitor_data] 1773989563723,8042296,598705,598705,1951744,Phase 3,Iteration 2
[monitor_data] 1773989564366,8042296,595190,595190,1484800,Phase 3,Iteration 2
[monitor_data] 1773989565008,7965408,420856,420856,638976,Phase 3,Iteration 2
[monitor_data] 1773989565652,7965408,437471,437471,641024,Phase 4,Iteration 2
[monitor_data] 1773989566295,7965408,439721,439721,641024,Phase 4,Iteration 2
[monitor_data] 1773989566933,7965408,437290,437290,641024,Phase 4,Iteration 2
[monitor_data] 1773989567575,7965408,441767,441767,641024,Phase 4,Iteration 2
[monitor_data] 1773989568206,7965408,439916,439916,641024,Phase 4,Iteration 2
