[monitor_start] Monitoring PID 3523580 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1773967746452,15888,2487,2487,51200,,
[monitor_data] 1773967747945,89844,3393,3393,86016,,
[monitor_data] 1773967748583,136752,6288,6288,190464,Phase 1,Iteration 1
[monitor_data] 1773967749223,317596,9260,9260,675840,Phase 1,Iteration 1
[monitor_data] 1773967749857,820052,45037,45037,1857536,Phase 1,Iteration 1
[monitor_data] 1773967750497,2055568,42588,42588,3061760,Phase 1,Iteration 1
[monitor_data] 1773967751141,3263052,121051,121051,4143104,Phase 1,Iteration 1
[monitor_data] 1773967751782,4453336,158608,158608,5357568,Phase 1,Iteration 1
[monitor_data] 1773967752425,5669528,134760,134760,6569984,Phase 1,Iteration 1
[monitor_data] 1773967753071,6886420,147569,147569,6791168,Phase 2,Iteration 1
[monitor_data] 1773967753707,7054864,146500,146500,6791168,Phase 2,Iteration 1
[monitor_data] 1773967754337,7161576,299287,299287,6791168,Phase 2,Iteration 1
[monitor_data] 1773967754977,7227812,323200,323200,6791168,Phase 2,Iteration 1
[monitor_data] 1773967755610,7227856,299956,299956,6819840,Phase 2,Iteration 1
[monitor_data] 1773967756244,7256528,276975,276975,6821888,Phase 3,Iteration 1
[monitor_data] 1773967756883,7257580,255082,255082,6821888,Phase 3,Iteration 1
[monitor_data] 1773967757523,7260304,327041,327041,6821888,Phase 3,Iteration 1
[monitor_data] 1773967758160,7299616,326167,326167,6764544,Phase 3,Iteration 1
[monitor_data] 1773967758796,7300200,322809,322809,6764544,Phase 3,Iteration 1
[monitor_data] 1773967759436,7300204,365154,365154,6766592,Phase 3,Iteration 1
[monitor_data] 1773967760079,7304064,349069,349069,6766592,Phase 3,Iteration 1
[monitor_data] 1773967760722,7304064,358722,358722,6764544,Phase 3,Iteration 1
[monitor_data] 1773967761370,7374996,436657,436657,6764544,Phase 3,Iteration 1
[monitor_data] 1773967762007,7397512,445003,445003,6764544,Phase 3,Iteration 1
