[monitor_start] Monitoring PID 1761582 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,iteration
[monitor_data] 1774020020379,15876,2495,2495,57344,,
[monitor_data] 1774020021834,99072,3626,3626,81920,,
[monitor_data] 1774020022479,160440,6679,6679,192512,Phase 1,Iteration 1
[monitor_data] 1774020023119,321700,9300,9300,884736,Phase 1,Iteration 1
[monitor_data] 1774020023754,1031024,50833,50833,2070528,Phase 1,Iteration 1
[monitor_data] 1774020024400,2276764,49512,49512,3270656,Phase 1,Iteration 1
[monitor_data] 1774020025049,3480248,48991,48991,4491264,Phase 1,Iteration 1
[monitor_data] 1774020025693,4799212,189109,189109,5699584,Phase 1,Iteration 1
[monitor_data] 1774020026336,6038064,165664,165664,6793216,Phase 2,Iteration 1
[monitor_data] 1774020026987,7076668,142054,142054,6793216,Phase 2,Iteration 1
[monitor_data] 1774020027623,7077772,169914,169914,6791168,Phase 2,Iteration 1
[monitor_data] 1774020028257,7079004,255587,255587,6791168,Phase 2,Iteration 1
[monitor_data] 1774020028895,7183928,319667,319667,6791168,Phase 2,Iteration 1
[monitor_data] 1774020029532,7232400,320188,320188,6819840,Phase 2,Iteration 1
[monitor_data] 1774020030174,7261072,299239,299239,6821888,Phase 3,Iteration 1
[monitor_data] 1774020030817,7262416,275503,275503,6821888,Phase 3,Iteration 1
[monitor_data] 1774020031455,7262416,299956,299956,6821888,Phase 3,Iteration 1
[monitor_data] 1774020032099,7306448,339849,339849,6821888,Phase 3,Iteration 1
[monitor_data] 1774020032736,7306448,335056,335056,6764544,Phase 3,Iteration 1
[monitor_data] 1774020033373,7306484,340819,340819,6764544,Phase 3,Iteration 1
[monitor_data] 1774020034017,7306392,360522,360522,6764544,Phase 3,Iteration 1
[monitor_data] 1774020034655,7306392,337432,337432,6762496,Phase 3,Iteration 1
[monitor_data] 1774020035299,7306392,423478,423478,6762496,Phase 3,Iteration 1
[monitor_data] 1774020035939,7389724,424122,424122,6762496,Phase 3,Iteration 1
[monitor_data] 1774020036580,7390420,424370,424370,6764544,Phase 3,Iteration 1
[monitor_data] 1774020037216,7390436,424229,424229,6764544,Phase 3,Iteration 1
[monitor_data] 1774020037860,7390436,421345,421345,6572032,Phase 3,Iteration 1
[monitor_data] 1774020038507,7634856,534437,534437,5337088,Phase 3,Iteration 1
[monitor_data] 1774020039161,7642272,496977,496977,5337088,Phase 3,Iteration 1
[monitor_data] 1774020039804,7770008,588380,588380,5337088,Phase 3,Iteration 1
[monitor_data] 1774020040438,7779072,587324,587324,5337088,Phase 3,Iteration 1
[monitor_data] 1774020041079,7779072,585534,585534,5337088,Phase 3,Iteration 1
[monitor_data] 1774020041719,7779072,584582,584582,5337088,Phase 3,Iteration 1
[monitor_data] 1774020042354,7779072,585300,585300,5337088,Phase 3,Iteration 1
[monitor_data] 1774020042990,7779072,594971,594971,5337088,Phase 3,Iteration 1
[monitor_data] 1774020043626,7789892,593179,593179,5337088,Phase 3,Iteration 1
[monitor_data] 1774020044260,7789892,573295,573295,5337088,Phase 3,Iteration 1
[monitor_data] 1774020044903,7789892,806528,806528,4061184,Phase 3,Iteration 1
[monitor_data] 1774020045549,8028808,609377,609377,3098624,Phase 3,Iteration 1
[monitor_data] 1774020046207,8028808,574605,574605,3098624,Phase 3,Iteration 1
[monitor_data] 1774020046850,8056284,670011,670011,3098624,Phase 3,Iteration 1
[monitor_data] 1774020047485,8056284,668701,668701,3098624,Phase 3,Iteration 1
[monitor_data] 1774020048116,8056284,667145,667145,3098624,Phase 3,Iteration 1
[monitor_data] 1774020048756,8056284,667534,667534,3098624,Phase 3,Iteration 1
[monitor_data] 1774020049391,8056284,667179,667179,3098624,Phase 3,Iteration 1
[monitor_data] 1774020050030,8056284,669601,669601,3098624,Phase 3,Iteration 1
[monitor_data] 1774020050667,8056284,667215,667215,3098624,Phase 3,Iteration 1
[monitor_data] 1774020051314,8056284,531583,531583,1097728,Phase 3,Iteration 1
[monitor_data] 1774020051962,7949808,391837,391837,669696,Phase 4,Iteration 1
[monitor_data] 1774020052599,7869080,411298,411298,669696,Phase 4,Iteration 1
[monitor_data] 1774020053238,7869080,410289,410289,669696,Phase 4,Iteration 1
[monitor_data] 1774020053881,7869080,410741,410741,671744,Phase 4,Iteration 1
[monitor_data] 1774020054517,7869080,412062,412062,671744,Phase 4,Iteration 1
