[monitor_start] Monitoring PID 2254869 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775766819390,13204,2956,2956,65536,
[monitor_data] 1775766820710,89952,3926,3926,59392,
[monitor_data] 1775766821205,100988,5187,5187,122880,
[monitor_data] 1775766821679,137300,6582,6582,567296,Phase 1
[monitor_data] 1775766822107,649664,6652,6652,1472512,Phase 1
[monitor_data] 1775766822540,1581600,34241,34241,2357248,Phase 1
[monitor_data] 1775766822965,2466144,38477,38477,3217408,Phase 1
[monitor_data] 1775766823390,3329272,37530,37530,4079616,Phase 1
[monitor_data] 1775766823822,4282148,149575,149575,4890624,Phase 1
[monitor_data] 1775766824252,5127564,173853,173853,5793792,Phase 1
[monitor_data] 1775766824709,6045928,135499,135499,6471680,Phase 2
[monitor_data] 1775766825146,6685996,154940,154940,6430720,Phase 2
[monitor_data] 1775766825564,6690908,231601,231601,6430720,Phase 2
[monitor_data] 1775766826007,6776804,265781,265781,6430720,Phase 2
[monitor_data] 1775766826426,6808752,296914,296914,6430720,Phase 2
[monitor_data] 1775766826875,6831828,283687,283687,6430720,Phase 2
[monitor_data] 1775766827292,6831828,248161,248161,6430720,Phase 2
[monitor_data] 1775766827718,6813736,296839,296839,6461440,Phase 3.1
[monitor_data] 1775766828151,6873132,341208,341208,6404096,Phase 3.1
[monitor_data] 1775766828573,6901596,336614,336614,6404096,Phase 3.1
[monitor_data] 1775766829016,6901596,351511,351511,6404096,Phase 3.1
[monitor_data] 1775766829477,6925372,349975,349975,6402048,Phase 3.1
[monitor_data] 1775766829907,6926504,415171,415171,6402048,Phase 3.1
[monitor_data] 1775766830335,7042048,450296,450296,6402048,Phase 3.1
[monitor_data] 1775766830768,7056376,465031,465031,6402048,Phase 3.1
[monitor_data] 1775766831186,7058432,466685,466685,6404096,Phase 3.2
[monitor_data] 1775766831620,7089152,529739,529739,6199296,Phase 3.2
[monitor_data] 1775766832120,7292840,612234,612234,5734400,Phase 3.2
[monitor_data] 1775766832664,7313584,558452,558452,5672960,Phase 3.2
[monitor_data] 1775766833160,7315216,653786,653786,5670912,Phase 3.2
[monitor_data] 1775766833616,7445944,655855,655855,5670912,Phase 3.2
[monitor_data] 1775766834064,7470520,654821,654821,5672960,Phase 3.3
[monitor_data] 1775766834493,7472824,660201,660201,5672960,Phase 3.3
[monitor_data] 1775766834933,7477640,659915,659915,5672960,Phase 3.3
[monitor_data] 1775766835371,7496072,728369,728369,5672960,Phase 3.3
[monitor_data] 1775766835821,7522704,725188,725188,5672960,Phase 3.3
[monitor_data] 1775766836276,7534992,718635,718635,5447680,Phase 3.3
[monitor_data] 1775766836738,7551804,733061,733061,4474880,Phase 3.3
[monitor_data] 1775766837214,7583668,651161,651161,4038656,Phase 3.4
[monitor_data] 1775766837674,7605512,603842,603842,3969024,Phase 3.4
[monitor_data] 1775766838120,7575020,722956,722956,3966976,Phase 3.4
[monitor_data] 1775766838534,7656992,725762,725762,3966976,Phase 3.4
[monitor_data] 1775766838964,7677684,724102,724102,3966976,Phase 3.4
[monitor_data] 1775766839395,7696188,724868,724868,3966976,Phase 3.4
[monitor_data] 1775766839831,7706428,725343,725343,3966976,Phase 3.4
[monitor_data] 1775766840270,7712572,722754,722754,3966976,Phase 3.4
[monitor_data] 1775766840688,7720764,487736,487736,2643968,Phase 3.5
[monitor_data] 1775766841099,7503884,330844,330844,1540096,Phase 3.5
[monitor_data] 1775766841499,7466380,323541,323541,1538048,Phase 3.5
[monitor_data] 1775766841915,7466380,368919,368919,1538048,Phase 3.5
[monitor_data] 1775766842317,7469512,370330,370330,1538048,Phase 3.5
[monitor_data] 1775766842718,7471560,367633,367633,1538048,Phase 3.5
[monitor_data] 1775766843144,7475656,264760,264760,690176,Phase 3.5
[monitor_data] 1775766843556,7409384,184467,184467,323584,Phase 3.5
[monitor_data] 1775766843991,7409384,191660,191660,325632,Phase 3.5
[monitor_data] 1775766844426,7409384,193937,193937,325632,Phase 3.5
[monitor_data] 1775766844833,7409384,195820,195820,325632,Phase 3.5
[monitor_data] 1775766845251,7409384,21334,21334,325632,Phase 3.5
[monitor_data] 1775766845684,7241004,21334,21334,325632,Phase 3.5
[monitor_data] 1775766846106,7241004,22536,22536,325632,Phase 3.5
[monitor_data] 1775766846521,7241004,22293,22293,325632,Phase 3.5
[monitor_data] 1775766846912,7239500,19958,19958,325632,Phase 3.5
[monitor_data] 1775766847309,7239500,21446,21446,325632,Phase 3.5
[monitor_data] 1775766847723,7239500,22620,22620,325632,Phase 3.5
[monitor_data] 1775766848142,7239500,20022,20022,325632,Phase 3.5
[monitor_data] 1775766848538,7239500,20022,20022,325632,Phase 3.5
[monitor_data] 1775766848936,7239500,22062,22062,325632,Phase 3.5
[monitor_data] 1775766849332,7239500,20262,20262,323584,Phase 3.5
[monitor_data] 1775766849737,7239500,19894,19894,323584,Phase 3.5
[monitor_data] 1775766850132,7239500,24741,24741,0,Phase 4
[monitor_data] 1775766850550,,0,0,0,Phase 4
[monitor_data] 1775766850943,,0,0,0,Phase 4
[monitor_data] 1775766851328,,0,0,0,Phase 4
[monitor_data] 1775766851744,,0,0,0,Phase 4
[monitor_end] Process 2254869 terminated
