[monitor_start] Monitoring PID 1500669 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775765144308,13188,2958,2958,67584,
[monitor_data] 1775765145629,90508,3929,3929,61440,
[monitor_data] 1775765146067,102248,5249,5249,124928,
[monitor_data] 1775765146517,174412,6499,6499,634880,Phase 1
[monitor_data] 1775765146947,716792,6773,6773,1513472,Phase 1
[monitor_data] 1775765147376,1624372,39173,39173,2437120,Phase 1
[monitor_data] 1775765147824,2550852,39247,39247,3299328,Phase 1
[monitor_data] 1775765148244,3409680,43679,43679,4155392,Phase 1
[monitor_data] 1775765148670,4265152,150069,150069,4947968,Phase 1
[monitor_data] 1775765149095,5179448,186536,186536,5779456,Phase 1
[monitor_data] 1775765149531,6034648,169673,169673,6639616,Phase 1
[monitor_data] 1775765149966,6896024,144099,144099,6815744,Phase 2
[monitor_data] 1775765150406,7038712,168924,168924,6776832,Phase 2
[monitor_data] 1775765150832,7044448,168924,168924,6776832,Phase 2
[monitor_data] 1775765151243,7115804,280166,280166,6776832,Phase 2
[monitor_data] 1775765151642,7149532,314201,314201,6776832,Phase 2
[monitor_data] 1775765152063,7173116,302555,302555,6776832,Phase 2
[monitor_data] 1775765152482,7173116,278037,278037,6776832,Phase 2
[monitor_data] 1775765152872,7161340,254310,254310,6807552,Phase 3.1
[monitor_data] 1775765153273,7192620,313882,313882,6807552,Phase 3.1
[monitor_data] 1775765153679,7253860,363004,363004,6807552,Phase 3.1
[monitor_data] 1775765154077,7279556,373141,373141,6750208,Phase 3.1
[monitor_data] 1775765154482,7258148,373141,373141,6750208,Phase 3.1
[monitor_data] 1775765154894,7271592,400169,400169,6750208,Phase 3.1
[monitor_data] 1775765155309,7286088,373691,373691,6748160,Phase 3.1
[monitor_data] 1775765155778,7287988,454607,454607,6750208,Phase 3.2
[monitor_data] 1775765156258,7430144,495923,495923,6750208,Phase 3.2
[monitor_data] 1775765156705,7449196,494358,494358,6750208,Phase 3.2
[monitor_data] 1775765157139,7461492,560765,560765,6750208,Phase 3.2
[monitor_data] 1775765157574,7480004,878171,878171,6596608,Phase 3.2
[monitor_data] 1775765158042,7818564,814336,814336,6230016,Phase 3.2
[monitor_data] 1775765158465,7829708,732128,732128,6017024,Phase 3.2
[monitor_data] 1775765158892,7838260,732128,732128,6014976,Phase 3.2
[monitor_data] 1775765159336,8014196,838757,838757,6017024,Phase 3.3
[monitor_data] 1775765159736,8015308,843045,843045,6017024,Phase 3.3
[monitor_data] 1775765160161,8017356,842493,842493,6017024,Phase 3.3
[monitor_data] 1775765160586,8033740,842743,842743,6017024,Phase 3.3
[monitor_data] 1775765161011,8048076,841440,841440,6017024,Phase 3.3
[monitor_data] 1775765161440,8062412,842069,842069,6017024,Phase 3.3
[monitor_data] 1775765161870,8074700,910673,910673,6017024,Phase 3.3
[monitor_data] 1775765162287,8093140,908645,908645,6017024,Phase 3.3
[monitor_data] 1775765162689,8105428,902058,902058,6017024,Phase 3.4
[monitor_data] 1775765163105,8186676,963793,963793,5134336,Phase 3.4
[monitor_data] 1775765163516,8188488,854478,854478,4556800,Phase 3.4
[monitor_data] 1775765163937,8190700,770151,770151,4313088,Phase 3.4
[monitor_data] 1775765164349,8192052,770023,770023,4311040,Phase 3.4
[monitor_data] 1775765164748,8234508,900529,900529,4311040,Phase 3.4
[monitor_data] 1775765165149,8238816,901767,901767,4311040,Phase 3.4
[monitor_data] 1775765165639,8258468,902334,902334,4313088,Phase 3.5
[monitor_data] 1775765166160,8278948,906111,906111,4313088,Phase 3.5
[monitor_data] 1775765166607,8293284,971537,971537,4313088,Phase 3.5
[monitor_data] 1775765167071,8307628,972400,972400,4313088,Phase 3.5
[monitor_data] 1775765167513,8324012,971598,971598,4313088,Phase 3.5
[monitor_data] 1775765167933,8340396,965287,965287,4102144,Phase 3.5
[monitor_data] 1775765168366,8142868,744517,744517,2734080,Phase 3.5
[monitor_data] 1775765168792,8142868,628375,628375,1882112,Phase 3.5
[monitor_data] 1775765169221,8142868,615051,615051,1882112,Phase 3.5
[monitor_data] 1775765169641,8143120,672832,672832,1882112,Phase 3.5
[monitor_data] 1775765170054,8150776,671937,671937,1882112,Phase 3.5
[monitor_data] 1775765170461,8161016,669306,669306,1882112,Phase 3.5
[monitor_data] 1775765170896,8169208,671030,671030,1882112,Phase 3.5
[monitor_data] 1775765171314,8159840,703911,703911,1882112,Phase 3.5
[monitor_data] 1775765171736,8168032,702027,702027,1488896,Phase 3.5
[monitor_data] 1775765172168,8030328,477663,477663,669696,Phase 3.5
[monitor_data] 1775765172597,7992656,455881,455881,669696,Phase 3.5
[monitor_data] 1775765173044,7992656,473728,473728,669696,Phase 3.5
[monitor_data] 1775765173500,7992656,473920,473920,669696,Phase 3.5
[monitor_data] 1775765173949,7992656,474356,474356,669696,Phase 3.5
[monitor_data] 1775765174372,7992656,474089,474089,669696,Phase 3.5
[monitor_data] 1775765174798,7992656,41515,41515,671744,Phase 4
[monitor_data] 1775765175226,7562168,41516,41516,669696,Phase 4
[monitor_data] 1775765175659,7494192,0,0,0,Phase 4
[monitor_data] 1775765176071,,0,0,0,Phase 4
[monitor_data] 1775765176461,,0,0,0,Phase 4
[monitor_data] 1775765176858,,0,0,0,Phase 4
[monitor_end] Process 1500669 terminated
