[monitor_start] Monitoring PID 930120 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775763863554,13180,2954,2954,65536,
[monitor_data] 1775763864853,85472,3924,3924,57344,
[monitor_data] 1775763865321,100000,5005,5005,100352,
[monitor_data] 1775763865785,110520,7757,7757,301056,Phase 1
[monitor_data] 1775763866227,353300,7820,7820,1228800,Phase 1
[monitor_data] 1775763866680,1309252,23250,23250,2091008,Phase 1
[monitor_data] 1775763867110,2196328,75022,75022,3014656,Phase 1
[monitor_data] 1775763867558,3168084,75096,75096,3936256,Phase 1
[monitor_data] 1775763868006,4091312,75177,75177,4904960,Phase 1
[monitor_data] 1775763868475,5057780,75247,75247,5793792,Phase 1
[monitor_data] 1775763868905,5945032,96881,96881,6625280,Phase 1
[monitor_data] 1775763869334,6833444,95778,95778,6785024,Phase 2
[monitor_data] 1775763869784,7024144,248277,248277,6785024,Phase 2
[monitor_data] 1775763870233,7127912,283067,283067,6785024,Phase 2
[monitor_data] 1775763870680,7161408,311922,311922,6785024,Phase 2
[monitor_data] 1775763871091,7174952,289924,289924,6785024,Phase 2
[monitor_data] 1775763871511,7174952,263972,263972,6785024,Phase 2
[monitor_data] 1775763871925,7174952,235625,235625,6785024,Phase 2
[monitor_data] 1775763872339,7176960,310825,310825,6750208,Phase 3.1
[monitor_data] 1775763872775,7268724,307486,307486,6750208,Phase 3.1
[monitor_data] 1775763873229,7268724,326418,326418,6750208,Phase 3.1
[monitor_data] 1775763873669,7287508,361434,361434,6750208,Phase 3.1
[monitor_data] 1775763874133,7294920,336396,336396,6750208,Phase 3.1
[monitor_data] 1775763874586,7294920,395219,395219,6748160,Phase 3.1
[monitor_data] 1775763875026,7305720,395187,395187,6748160,Phase 3.1
[monitor_data] 1775763875478,7342888,473950,473950,6750208,Phase 3.2
[monitor_data] 1775763875927,7373428,473646,473646,6750208,Phase 3.2
[monitor_data] 1775763876380,7578000,636100,636100,6352896,Phase 3.2
[monitor_data] 1775763876818,7604452,603639,603639,6352896,Phase 3.2
[monitor_data] 1775763877249,7604452,659751,659751,6350848,Phase 3.2
[monitor_data] 1775763877691,7762056,711338,711338,6350848,Phase 3.2
[monitor_data] 1775763878134,7868768,760445,760445,6350848,Phase 3.2
[monitor_data] 1775763878578,7872872,810724,810724,6352896,Phase 3.3
[monitor_data] 1775763879004,7873912,810087,810087,6352896,Phase 3.3
[monitor_data] 1775763879447,7898488,811683,811683,6352896,Phase 3.3
[monitor_data] 1775763879864,7918968,811103,811103,6352896,Phase 3.3
[monitor_data] 1775763880281,7943544,808272,808272,6352896,Phase 3.3
[monitor_data] 1775763880690,7959928,983555,983555,5761024,Phase 3.3
[monitor_data] 1775763881133,8057136,852392,852392,4673536,Phase 3.3
[monitor_data] 1775763881585,8057628,743657,743657,4311040,Phase 3.4
[monitor_data] 1775763882034,8057628,732004,732004,4308992,Phase 3.4
[monitor_data] 1775763882454,8114168,864350,864350,4308992,Phase 3.4
[monitor_data] 1775763882898,8164676,865571,865571,4308992,Phase 3.4
[monitor_data] 1775763883310,8195396,865364,865364,4308992,Phase 3.4
[monitor_data] 1775763883714,8207684,864517,864517,4308992,Phase 3.4
[monitor_data] 1775763884104,8215876,862103,862103,4308992,Phase 3.4
[monitor_data] 1775763884529,8230212,964434,964434,4308992,Phase 3.4
[monitor_data] 1775763884922,8247616,962871,962871,4311040,Phase 3.5
[monitor_data] 1775763885335,8268096,960803,960803,4311040,Phase 3.5
[monitor_data] 1775763885759,8290624,960100,960100,3921920,Phase 3.5
[monitor_data] 1775763886168,8156360,716814,716814,2523136,Phase 3.5
[monitor_data] 1775763886594,8156360,606631,606631,1886208,Phase 3.5
[monitor_data] 1775763887022,8156360,606631,606631,1884160,Phase 3.5
[monitor_data] 1775763887435,8157548,664503,664503,1884160,Phase 3.5
[monitor_data] 1775763887843,8164536,663052,663052,1886208,Phase 3.5
[monitor_data] 1775763888254,8067368,686168,686168,1886208,Phase 3.5
[monitor_data] 1775763888677,8073512,690196,690196,1886208,Phase 3.5
[monitor_data] 1775763889087,8135892,736984,736984,1886208,Phase 3.5
[monitor_data] 1775763889484,8148180,734534,734534,1609728,Phase 3.5
[monitor_data] 1775763889892,7991116,488952,488952,669696,Phase 3.5
[monitor_data] 1775763890292,7885776,456406,456406,669696,Phase 3.5
[monitor_data] 1775763890695,7885776,472921,472921,669696,Phase 3.5
[monitor_data] 1775763891088,7885776,474385,474385,669696,Phase 3.5
[monitor_data] 1775763891502,7885776,474001,474001,669696,Phase 3.5
[monitor_data] 1775763891930,7885776,475585,475585,669696,Phase 3.5
[monitor_data] 1775763892334,7885776,474279,474279,669696,Phase 3.5
[monitor_data] 1775763892734,7614232,41017,41017,669696,Phase 3.5
[monitor_data] 1775763893136,7454164,41655,41655,669696,Phase 3.5
[monitor_data] 1775763893534,7454164,45907,45907,669696,Phase 3.5
[monitor_data] 1775763894000,7454164,41388,41388,673792,Phase 4
[monitor_data] 1775763894434,7454164,41134,41134,0,Phase 4
[monitor_data] 1775763894861,,0,0,0,Phase 4
[monitor_data] 1775763895258,,0,0,0,Phase 4
[monitor_data] 1775763895651,,0,0,0,Phase 4
[monitor_data] 1775763896036,,0,0,0,Phase 4
[monitor_end] Process 930120 terminated
