[monitor_start] Monitoring PID 2095047 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775766482365,13176,2955,2955,67584,
[monitor_data] 1775766483671,92336,3965,3965,61440,
[monitor_data] 1775766484181,104256,4955,4955,129024,
[monitor_data] 1775766484655,144008,6367,6367,604160,Phase 1
[monitor_data] 1775766485081,683476,6436,6436,1421312,Phase 1
[monitor_data] 1775766485484,1526428,32619,32619,2279424,Phase 1
[monitor_data] 1775766485902,2382812,37009,37009,3166208,Phase 1
[monitor_data] 1775766486346,3276372,37077,37077,3991552,Phase 1
[monitor_data] 1775766486774,4197512,153094,153094,4904960,Phase 1
[monitor_data] 1775766487258,5144380,145762,145762,5844992,Phase 1
[monitor_data] 1775766487733,6080992,145277,145277,6692864,Phase 1
[monitor_data] 1775766488184,6968184,145162,145162,6778880,Phase 2
[monitor_data] 1775766488636,7019052,255346,255346,6778880,Phase 2
[monitor_data] 1775766489052,7135040,290414,290414,6778880,Phase 2
[monitor_data] 1775766489460,7169260,314614,314614,6778880,Phase 2
[monitor_data] 1775766489897,7179608,287854,287854,6778880,Phase 2
[monitor_data] 1775766490337,7179608,262800,262800,6778880,Phase 2
[monitor_data] 1775766490779,7160828,300582,300582,6778880,Phase 2
[monitor_data] 1775766491198,7152592,328511,328511,6809600,Phase 3.1
[monitor_data] 1775766491654,7208000,322618,322618,6748160,Phase 3.1
[monitor_data] 1775766492084,7208084,325597,325597,6748160,Phase 3.1
[monitor_data] 1775766492515,7226604,356343,356343,6748160,Phase 3.1
[monitor_data] 1775766492925,7240852,333610,333610,6746112,Phase 3.1
[monitor_data] 1775766493353,7246116,338237,338237,6746112,Phase 3.1
[monitor_data] 1775766493773,7329672,423898,423898,6746112,Phase 3.1
[monitor_data] 1775766494218,7331716,422171,422171,6748160,Phase 3.2
[monitor_data] 1775766494664,7332384,422843,422843,6748160,Phase 3.2
[monitor_data] 1775766495090,7332384,422556,422556,6748160,Phase 3.2
[monitor_data] 1775766495551,7675044,716022,716022,6248448,Phase 3.2
[monitor_data] 1775766496043,7709208,636566,636566,6115328,Phase 3.2
[monitor_data] 1775766496476,7715932,636570,636570,6113280,Phase 3.2
[monitor_data] 1775766496890,7855652,726050,726050,6113280,Phase 3.2
[monitor_data] 1775766497335,7857288,726707,726707,6115328,Phase 3.3
[monitor_data] 1775766497801,7863612,737021,737021,6115328,Phase 3.3
[monitor_data] 1775766498309,7866792,736310,736310,6115328,Phase 3.3
[monitor_data] 1775766498784,7866792,735331,735331,6115328,Phase 3.3
[monitor_data] 1775766499214,7866792,733952,733952,6115328,Phase 3.3
[monitor_data] 1775766499677,7866792,735105,735105,6115328,Phase 3.3
[monitor_data] 1775766500100,7866792,733912,733912,6115328,Phase 3.3
[monitor_data] 1775766500551,7866792,723931,723931,6115328,Phase 3.4
[monitor_data] 1775766500996,7866792,923392,923392,5545984,Phase 3.4
[monitor_data] 1775766501436,8072144,799402,799402,4700160,Phase 3.4
[monitor_data] 1775766501879,8072972,702074,702074,4313088,Phase 3.4
[monitor_data] 1775766502318,8072972,683697,683697,4313088,Phase 3.4
[monitor_data] 1775766502746,8072972,814352,814352,4311040,Phase 3.4
[monitor_data] 1775766503164,8109232,816320,816320,4311040,Phase 3.4
[monitor_data] 1775766503585,8109700,816316,816316,4313088,Phase 3.5
[monitor_data] 1775766504007,8110120,818994,818994,4313088,Phase 3.5
[monitor_data] 1775766504442,8110120,815918,815918,4313088,Phase 3.5
[monitor_data] 1775766504875,8110120,816817,816817,4313088,Phase 3.5
[monitor_data] 1775766505315,8110120,816934,816934,4313088,Phase 3.5
[monitor_data] 1775766505757,8110120,817438,817438,4313088,Phase 3.5
[monitor_data] 1775766506211,8110120,815092,815092,4313088,Phase 3.5
[monitor_data] 1775766506630,8110120,781703,781703,3561472,Phase 3.5
[monitor_data] 1775766507037,8085252,663062,663062,2164736,Phase 3.5
[monitor_data] 1775766507473,8085252,582347,582347,1884160,Phase 3.5
[monitor_data] 1775766507893,8031644,582437,582437,1884160,Phase 3.5
[monitor_data] 1775766508307,8065716,640358,640358,1884160,Phase 3.5
[monitor_data] 1775766508707,8066272,638585,638585,1884160,Phase 3.5
[monitor_data] 1775766509151,8066272,637649,637649,1884160,Phase 3.5
[monitor_data] 1775766509628,8066272,639063,639063,1884160,Phase 3.5
[monitor_data] 1775766510162,8066272,636950,636950,1695744,Phase 3.5
[monitor_data] 1775766510656,7977856,491888,491888,669696,Phase 3.5
[monitor_data] 1775766511093,7935400,456010,456010,669696,Phase 3.5
[monitor_data] 1775766511521,7935400,473867,473867,669696,Phase 3.5
[monitor_data] 1775766511962,7935400,475169,475169,669696,Phase 3.5
[monitor_data] 1775766512389,7935400,473329,473329,669696,Phase 3.5
[monitor_data] 1775766512800,7935400,476208,476208,671744,Phase 4
[monitor_data] 1775766513213,7935400,0,0,0,Phase 4
[monitor_data] 1775766513958,,0,0,0,Phase 4
[monitor_data] 1775766514358,,0,0,0,Phase 4
[monitor_data] 1775766514750,,0,0,0,Phase 4
[monitor_end] Process 2095047 terminated
