[monitor_start] Monitoring PID 1997432 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775766236085,13200,2959,2959,67584,
[monitor_data] 1775766237468,91392,3963,3963,61440,
[monitor_data] 1775766237906,102464,4902,4902,122880,
[monitor_data] 1775766238340,141412,6579,6579,638976,Phase 1
[monitor_data] 1775766238797,734548,6711,6711,1525760,Phase 1
[monitor_data] 1775766239231,1648112,39741,39741,2394112,Phase 1
[monitor_data] 1775766239681,2519464,44128,44128,3284992,Phase 1
[monitor_data] 1775766240129,3413420,122842,122842,4087808,Phase 1
[monitor_data] 1775766240567,4310372,145395,145395,4890624,Phase 1
[monitor_data] 1775766240983,5124104,118626,118626,5734400,Phase 1
[monitor_data] 1775766241410,5968068,140431,140431,6578176,Phase 1
[monitor_data] 1775766241850,6841180,140226,140226,6782976,Phase 2
[monitor_data] 1775766242258,7118264,274206,274206,6782976,Phase 2
[monitor_data] 1775766242708,7159456,312620,312620,6782976,Phase 2
[monitor_data] 1775766243129,7190348,313568,313568,6782976,Phase 2
[monitor_data] 1775766243558,7190348,289150,289150,6782976,Phase 2
[monitor_data] 1775766244008,7190348,260675,260675,6782976,Phase 2
[monitor_data] 1775766244460,7191924,282102,282102,6782976,Phase 2
[monitor_data] 1775766244878,7226544,315312,315312,6813696,Phase 3.1
[monitor_data] 1775766245316,7255704,311706,311706,6752256,Phase 3.1
[monitor_data] 1775766245762,7255728,319411,319411,6752256,Phase 3.1
[monitor_data] 1775766246200,7255808,352003,352003,6752256,Phase 3.1
[monitor_data] 1775766246628,7255808,331932,331932,6752256,Phase 3.1
[monitor_data] 1775766247062,7255808,356513,356513,6750208,Phase 3.1
[monitor_data] 1775766247508,7258708,423389,423389,6750208,Phase 3.1
[monitor_data] 1775766247961,7325520,423974,423974,6752256,Phase 3.2
[monitor_data] 1775766248392,7329076,426768,426768,6752256,Phase 3.2
[monitor_data] 1775766248815,7329344,423635,423635,6752256,Phase 3.2
[monitor_data] 1775766249253,7615252,676790,676790,6256640,Phase 3.2
[monitor_data] 1775766249761,7670000,607130,607130,6191104,Phase 3.2
[monitor_data] 1775766250273,7673412,685492,685492,6189056,Phase 3.2
[monitor_data] 1775766250773,7859168,687701,687701,6189056,Phase 3.2
[monitor_data] 1775766251191,7859376,689548,689548,6191104,Phase 3.3
[monitor_data] 1775766251636,7867756,696665,696665,6191104,Phase 3.3
[monitor_data] 1775766252076,7867756,695879,695879,6191104,Phase 3.3
[monitor_data] 1775766252498,7867756,697056,697056,6191104,Phase 3.3
[monitor_data] 1775766252945,7867756,698524,698524,6191104,Phase 3.3
[monitor_data] 1775766253363,7867756,696033,696033,6191104,Phase 3.3
[monitor_data] 1775766253791,7867756,684227,684227,6191104,Phase 3.3
[monitor_data] 1775766254240,7867756,911218,911218,5570560,Phase 3.4
[monitor_data] 1775766254689,8102868,783835,783835,4704256,Phase 3.4
[monitor_data] 1775766255133,8103628,687336,687336,4313088,Phase 3.4
[monitor_data] 1775766255578,8103628,668127,668127,4313088,Phase 3.4
[monitor_data] 1775766256039,8119136,798699,798699,4311040,Phase 3.4
[monitor_data] 1775766256495,8137692,799171,799171,4311040,Phase 3.4
[monitor_data] 1775766256922,8137692,799811,799811,4311040,Phase 3.4
[monitor_data] 1775766257355,8137692,798944,798944,4311040,Phase 3.4
[monitor_data] 1775766257763,8137692,798377,798377,4313088,Phase 3.5
[monitor_data] 1775766258177,8137692,798761,798761,4313088,Phase 3.5
[monitor_data] 1775766258597,8137696,800531,800531,4313088,Phase 3.5
[monitor_data] 1775766259001,8137696,798874,798874,4313088,Phase 3.5
[monitor_data] 1775766259413,8137696,797279,797279,4218880,Phase 3.5
[monitor_data] 1775766259812,8125200,723799,723799,2957312,Phase 3.5
[monitor_data] 1775766260208,8125200,618355,618355,1886208,Phase 3.5
[monitor_data] 1775766260599,8025592,579407,579407,1886208,Phase 3.5
[monitor_data] 1775766261023,8025592,634631,634631,1886208,Phase 3.5
[monitor_data] 1775766261438,8025596,637695,637695,1886208,Phase 3.5
[monitor_data] 1775766261850,8025596,635162,635162,1886208,Phase 3.5
[monitor_data] 1775766262251,8025596,634505,634505,1886208,Phase 3.5
[monitor_data] 1775766262685,8025596,636665,636665,1886208,Phase 3.5
[monitor_data] 1775766263093,8025596,634093,634093,1886208,Phase 3.5
[monitor_data] 1775766263492,7940768,515984,515984,968704,Phase 3.5
[monitor_data] 1775766263885,7940768,456337,456337,669696,Phase 3.5
[monitor_data] 1775766264294,7940768,456337,456337,669696,Phase 3.5
[monitor_data] 1775766264689,7940768,474759,474759,669696,Phase 3.5
[monitor_data] 1775766265082,7940768,473654,473654,669696,Phase 3.5
[monitor_data] 1775766265491,7940768,473804,473804,669696,Phase 3.5
[monitor_data] 1775766265925,7940768,473586,473586,669696,Phase 3.5
[monitor_data] 1775766266351,7940768,40947,40947,669696,Phase 3.5
[monitor_data] 1775766266762,7509188,41674,41674,669696,Phase 3.5
[monitor_data] 1775766267181,7509188,41611,41611,671744,Phase 4
[monitor_data] 1775766267592,7509188,0,0,0,Phase 4
[monitor_data] 1775766267984,,0,0,0,Phase 4
[monitor_data] 1775766268387,,0,0,0,Phase 4
[monitor_data] 1775766268772,,0,0,0,Phase 4
[monitor_end] Process 1997432 terminated
