[monitor_start] Monitoring PID 730917 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775763360355,13168,2956,2956,67584,
[monitor_data] 1775763361677,91208,3938,3938,61440,
[monitor_data] 1775763362140,103868,5242,5242,126976,
[monitor_data] 1775763362622,192500,6610,6610,673792,Phase 1
[monitor_data] 1775763363050,759156,6681,6681,1484800,Phase 1
[monitor_data] 1775763363452,1600676,37719,37719,2299904,Phase 1
[monitor_data] 1775763363856,2416004,37786,37786,3135488,Phase 1
[monitor_data] 1775763364275,3250656,42340,42340,3911680,Phase 1
[monitor_data] 1775763364663,4026236,140518,140518,4706304,Phase 1
[monitor_data] 1775763365087,4938004,177036,177036,5511168,Phase 1
[monitor_data] 1775763365509,5768204,165214,165214,6328320,Phase 1
[monitor_data] 1775763365918,6587452,135950,135950,6815744,Phase 2
[monitor_data] 1775763366337,7039676,164315,164315,6776832,Phase 2
[monitor_data] 1775763366736,7044472,248392,248392,6776832,Phase 2
[monitor_data] 1775763367135,7123028,282564,282564,6776832,Phase 2
[monitor_data] 1775763367554,7157620,314335,314335,6776832,Phase 2
[monitor_data] 1775763367946,7180188,304978,304978,6776832,Phase 2
[monitor_data] 1775763368349,7180188,277067,277067,6776832,Phase 2
[monitor_data] 1775763368742,7180188,310083,310083,6776832,Phase 2
[monitor_data] 1775763369159,7195792,341608,341608,6807552,Phase 3.1
[monitor_data] 1775763369570,7228360,342264,342264,6748160,Phase 3.1
[monitor_data] 1775763369968,7229812,337956,337956,6748160,Phase 3.1
[monitor_data] 1775763370410,7229812,352152,352152,6748160,Phase 3.1
[monitor_data] 1775763370862,7256488,357042,357042,6748160,Phase 3.1
[monitor_data] 1775763371290,7256964,329724,329724,6746112,Phase 3.1
[monitor_data] 1775763371711,7347348,430078,430078,6746112,Phase 3.1
[monitor_data] 1775763372130,7377212,454492,454492,6748160,Phase 3.2
[monitor_data] 1775763372571,7408588,462389,462389,6748160,Phase 3.2
[monitor_data] 1775763372979,7408588,461176,461176,6748160,Phase 3.2
[monitor_data] 1775763373401,7417544,453522,453522,6707200,Phase 3.2
[monitor_data] 1775763373834,7798836,794587,794587,6418432,Phase 3.2
[monitor_data] 1775763374250,7822544,732866,732866,6107136,Phase 3.2
[monitor_data] 1775763374689,7840828,692209,692209,6041600,Phase 3.2
[monitor_data] 1775763375109,7844452,692215,692215,6041600,Phase 3.3
[monitor_data] 1775763375583,8024252,799963,799963,6041600,Phase 3.3
[monitor_data] 1775763376101,8026488,800137,800137,6041600,Phase 3.3
[monitor_data] 1775763376602,8030524,800983,800983,6041600,Phase 3.3
[monitor_data] 1775763377129,8034672,801054,801054,6041600,Phase 3.3
[monitor_data] 1775763377659,8036780,802234,802234,6041600,Phase 3.3
[monitor_data] 1775763378153,8038968,801706,801706,6041600,Phase 3.3
[monitor_data] 1775763378573,8041040,798143,798143,6041600,Phase 3.4
[monitor_data] 1775763378979,8041104,794592,794592,6041600,Phase 3.4
[monitor_data] 1775763379390,8042064,789723,789723,5763072,Phase 3.4
[monitor_data] 1775763379847,8223432,864154,864154,4995072,Phase 3.4
[monitor_data] 1775763380297,8225200,794930,794930,4605952,Phase 3.4
[monitor_data] 1775763380775,8225200,728209,728209,4313088,Phase 3.4
[monitor_data] 1775763381210,8225200,714571,714571,4313088,Phase 3.4
[monitor_data] 1775763381625,8225200,843735,843735,4313088,Phase 3.5
[monitor_data] 1775763382083,8236328,855274,855274,4313088,Phase 3.5
[monitor_data] 1775763382514,8239436,856801,856801,4313088,Phase 3.5
[monitor_data] 1775763382944,8239504,870655,870655,4313088,Phase 3.5
[monitor_data] 1775763383361,8249288,874174,874174,4313088,Phase 3.5
[monitor_data] 1775763383795,8253396,873980,873980,4313088,Phase 3.5
[monitor_data] 1775763384231,8255444,871223,871223,4313088,Phase 3.5
[monitor_data] 1775763384663,8297752,894365,894365,4313088,Phase 3.5
[monitor_data] 1775763385074,8297752,599511,599511,3665920,Phase 3.5
[monitor_data] 1775763385483,8013216,483881,483881,2228224,Phase 3.5
[monitor_data] 1775763385910,8013924,395861,395861,1886208,Phase 3.5
[monitor_data] 1775763386338,8013924,395952,395952,1886208,Phase 3.5
[monitor_data] 1775763386776,8014432,450604,450604,1886208,Phase 3.5
[monitor_data] 1775763387204,8017124,447814,447814,1886208,Phase 3.5
[monitor_data] 1775763387639,8017124,448318,448318,1886208,Phase 3.5
[monitor_data] 1775763388080,8019172,451266,451266,1886208,Phase 3.5
[monitor_data] 1775763388535,8019172,449132,449132,1886208,Phase 3.5
[monitor_data] 1775763388996,8021220,288886,288886,786432,Phase 3.5
[monitor_data] 1775763389438,7922544,243075,243075,669696,Phase 3.5
[monitor_data] 1775763389870,7922544,255670,255670,669696,Phase 3.5
[monitor_data] 1775763390298,7922544,257948,257948,669696,Phase 3.5
[monitor_data] 1775763390729,7922544,255447,255447,669696,Phase 3.5
[monitor_data] 1775763391163,7922544,258613,258613,671744,Phase 4
[monitor_data] 1775763391593,7922544,0,0,0,Phase 4
[monitor_data] 1775763391994,,0,0,0,Phase 4
[monitor_data] 1775763392421,,0,0,0,Phase 4
[monitor_data] 1775763392804,,0,0,0,Phase 4
[monitor_end] Process 730917 terminated
