[monitor_start] Monitoring PID 848457 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775763629457,13180,2956,2956,67584,
[monitor_data] 1775763630796,90432,3932,3932,59392,
[monitor_data] 1775763631299,100384,5219,5219,124928,
[monitor_data] 1775763631738,143256,6668,6668,550912,Phase 1
[monitor_data] 1775763632139,643456,6737,6737,1411072,Phase 1
[monitor_data] 1775763632563,1527124,35023,35023,2209792,Phase 1
[monitor_data] 1775763632954,2324916,39576,39576,3049472,Phase 1
[monitor_data] 1775763633370,3166408,38616,38616,3889152,Phase 1
[monitor_data] 1775763633794,4085884,141442,141442,4616192,Phase 1
[monitor_data] 1775763634187,4848332,170681,170681,5396480,Phase 1
[monitor_data] 1775763634596,5646800,147819,147819,6187008,Phase 1
[monitor_data] 1775763634999,6434580,152494,152494,6778880,Phase 2
[monitor_data] 1775763635445,7037780,152302,152302,6778880,Phase 2
[monitor_data] 1775763635919,7114456,261980,261980,6778880,Phase 2
[monitor_data] 1775763636342,7154176,296980,296980,6778880,Phase 2
[monitor_data] 1775763636756,7188316,311767,311767,6778880,Phase 2
[monitor_data] 1775763637180,7192572,286418,286418,6778880,Phase 2
[monitor_data] 1775763637595,7192572,256145,256145,6778880,Phase 2
[monitor_data] 1775763637992,7167264,303647,303647,6809600,Phase 3.1
[monitor_data] 1775763638429,7225008,332442,332442,6809600,Phase 3.1
[monitor_data] 1775763638852,7225020,328028,328028,6750208,Phase 3.1
[monitor_data] 1775763639278,7226252,332580,332580,6750208,Phase 3.1
[monitor_data] 1775763639686,7244920,359162,359162,6750208,Phase 3.1
[monitor_data] 1775763640096,7256604,333462,333462,6748160,Phase 3.1
[monitor_data] 1775763640502,7258096,334925,334925,6748160,Phase 3.1
[monitor_data] 1775763640936,7344732,424041,424041,6748160,Phase 3.1
[monitor_data] 1775763641371,7345516,423394,423394,6750208,Phase 3.2
[monitor_data] 1775763641778,7345524,424010,424010,6750208,Phase 3.2
[monitor_data] 1775763642206,7345528,421687,421687,6750208,Phase 3.2
[monitor_data] 1775763642610,7345528,759583,759583,6434816,Phase 3.2
[monitor_data] 1775763643031,7761080,670971,670971,6086656,Phase 3.2
[monitor_data] 1775763643459,7782756,646513,646513,6086656,Phase 3.2
[monitor_data] 1775763643862,7782756,739200,739200,6084608,Phase 3.2
[monitor_data] 1775763644258,7952988,742767,742767,6086656,Phase 3.3
[monitor_data] 1775763644761,7956800,750936,750936,6086656,Phase 3.3
[monitor_data] 1775763645262,7963564,751736,751736,6086656,Phase 3.3
[monitor_data] 1775763645745,7963576,751765,751765,6086656,Phase 3.3
[monitor_data] 1775763646296,7963648,751752,751752,6086656,Phase 3.3
[monitor_data] 1775763646846,7963788,751288,751288,6086656,Phase 3.3
[monitor_data] 1775763647321,7963820,738694,738694,6086656,Phase 3.3
[monitor_data] 1775763647740,7963820,738115,738115,5928960,Phase 3.4
[monitor_data] 1775763648179,8153912,850001,850001,4972544,Phase 3.4
[monitor_data] 1775763648634,8155248,752983,752983,4474880,Phase 3.4
[monitor_data] 1775763649064,8176172,687672,687672,4317184,Phase 3.4
[monitor_data] 1775763649503,8183408,687678,687678,4315136,Phase 3.4
[monitor_data] 1775763649952,8240688,816090,816090,4315136,Phase 3.4
[monitor_data] 1775763650408,8241928,820455,820455,4315136,Phase 3.4
[monitor_data] 1775763650848,8243248,819682,819682,4317184,Phase 3.5
[monitor_data] 1775763651302,8243356,820604,820604,4317184,Phase 3.5
[monitor_data] 1775763651736,8243616,824172,824172,4317184,Phase 3.5
[monitor_data] 1775763652179,8244172,825260,825260,4317184,Phase 3.5
[monitor_data] 1775763652641,8244508,821942,821942,4317184,Phase 3.5
[monitor_data] 1775763653094,8244544,816568,816568,4284416,Phase 3.5
[monitor_data] 1775763653522,8011056,515667,515667,2807808,Phase 3.5
[monitor_data] 1775763653961,8012532,398114,398114,1886208,Phase 3.5
[monitor_data] 1775763654395,8012724,378895,378895,1886208,Phase 3.5
[monitor_data] 1775763654830,8012748,429563,429563,1886208,Phase 3.5
[monitor_data] 1775763655277,8012748,430919,430919,1886208,Phase 3.5
[monitor_data] 1775763655727,8012748,434212,434212,1886208,Phase 3.5
[monitor_data] 1775763656166,8012748,434673,434673,1886208,Phase 3.5
[monitor_data] 1775763656593,8012748,432180,432180,1886208,Phase 3.5
[monitor_data] 1775763657062,8012748,317115,317115,1030144,Phase 3.5
[monitor_data] 1775763657518,7914184,243177,243177,671744,Phase 3.5
[monitor_data] 1775763657952,7914248,254397,254397,671744,Phase 3.5
[monitor_data] 1775763658401,7914248,257169,257169,671744,Phase 3.5
[monitor_data] 1775763658855,7914248,256498,256498,671744,Phase 3.5
[monitor_data] 1775763659291,7914248,260192,260192,671744,Phase 3.5
[monitor_data] 1775763659727,7914248,256027,256027,667648,Phase 3.5
[monitor_data] 1775763660155,7701592,42169,42169,667648,Phase 4
[monitor_data] 1775763660608,7701592,42306,42306,0,Phase 4
[monitor_data] 1775763661018,,0,0,0,Phase 4
[monitor_data] 1775763661416,,0,0,0,Phase 4
[monitor_data] 1775763661824,,0,0,0,Phase 4
[monitor_data] 1775763662243,,0,0,0,Phase 4
[monitor_end] Process 848457 terminated
