[monitor_start] Monitoring PID 1854592 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775765911344,13176,2956,2956,67584,
[monitor_data] 1775765912699,90772,3933,3933,61440,
[monitor_data] 1775765913167,101408,5534,5534,268288,Phase 1
[monitor_data] 1775765913614,287540,10120,10120,749568,Phase 1
[monitor_data] 1775765914012,828916,8846,8846,1570816,Phase 1
[monitor_data] 1775765914419,1680168,48223,48223,2437120,Phase 1
[monitor_data] 1775765914852,2556820,48294,48294,3405824,Phase 1
[monitor_data] 1775765915333,3528828,48375,48375,4409344,Phase 1
[monitor_data] 1775765915828,4533424,55603,55603,5259264,Phase 1
[monitor_data] 1775765916265,5384832,55669,55669,6033408,Phase 1
[monitor_data] 1775765916672,6300204,217036,217036,6795264,Phase 2
[monitor_data] 1775765917086,7086080,253922,253922,6815744,Phase 2
[monitor_data] 1775765917529,7113000,246151,246151,6815744,Phase 2
[monitor_data] 1775765917974,7113000,222580,222580,6815744,Phase 2
[monitor_data] 1775765918421,7113000,193334,193334,6815744,Phase 2
[monitor_data] 1775765918876,7116680,224434,224434,6776832,Phase 2
[monitor_data] 1775765919315,7123140,224434,224434,6776832,Phase 2
[monitor_data] 1775765919748,7127816,287635,287635,6807552,Phase 3.1
[monitor_data] 1775765920180,7188092,320735,320735,6807552,Phase 3.1
[monitor_data] 1775765920593,7212352,317466,317466,6807552,Phase 3.1
[monitor_data] 1775765921025,7212352,291592,291592,6807552,Phase 3.1
[monitor_data] 1775765921486,7212352,353379,353379,6807552,Phase 3.1
[monitor_data] 1775765921928,7237472,353347,353347,6807552,Phase 3.1
[monitor_data] 1775765922350,7283340,408813,408813,6807552,Phase 3.1
[monitor_data] 1775765922763,7304056,405928,405928,6750208,Phase 3.1
[monitor_data] 1775765923189,7307680,403242,403242,6750208,Phase 3.2
[monitor_data] 1775765923594,7310828,412866,412866,6748160,Phase 3.2
[monitor_data] 1775765923997,7318596,438289,438289,6748160,Phase 3.2
[monitor_data] 1775765924409,7448788,438543,438543,6748160,Phase 3.2
[monitor_data] 1775765924913,7477996,456039,456039,6748160,Phase 3.2
[monitor_data] 1775765925381,7477996,455954,455954,6748160,Phase 3.2
[monitor_data] 1775765925798,7480044,456196,456196,6748160,Phase 3.2
[monitor_data] 1775765926217,7484544,453494,453494,6750208,Phase 3.3
[monitor_data] 1775765926643,7485616,770653,770653,6236160,Phase 3.3
[monitor_data] 1775765927107,7828216,666836,666836,5242880,Phase 3.3
[monitor_data] 1775765927546,7846188,551429,551429,4714496,Phase 3.3
[monitor_data] 1775765927963,7854400,545473,545473,4712448,Phase 3.3
[monitor_data] 1775765928386,7975860,656380,656380,4712448,Phase 3.3
[monitor_data] 1775765928817,7987592,656941,656941,4712448,Phase 3.3
[monitor_data] 1775765929235,7989640,655191,655191,4714496,Phase 3.4
[monitor_data] 1775765929675,7952164,685312,685312,4714496,Phase 3.4
[monitor_data] 1775765930099,7963236,684594,684594,4714496,Phase 3.4
[monitor_data] 1775765930517,7967888,700385,700385,4714496,Phase 3.4
[monitor_data] 1775765930953,8010548,715858,715858,4714496,Phase 3.4
[monitor_data] 1775765931376,8010548,710495,710495,4714496,Phase 3.4
[monitor_data] 1775765931815,8010548,703978,703978,4247552,Phase 3.4
[monitor_data] 1775765932240,8126972,737372,737372,3520512,Phase 3.4
[monitor_data] 1775765932659,8126972,650602,650602,3100672,Phase 3.5
[monitor_data] 1775765933078,8126976,635490,635490,3100672,Phase 3.5
[monitor_data] 1775765933507,8129032,728405,728405,3098624,Phase 3.5
[monitor_data] 1775765933942,8138080,729566,729566,3098624,Phase 3.5
[monitor_data] 1775765934368,8138448,729617,729617,3098624,Phase 3.5
[monitor_data] 1775765934809,8138448,730718,730718,3098624,Phase 3.5
[monitor_data] 1775765935340,8139312,729214,729214,3098624,Phase 3.5
[monitor_data] 1775765935869,8139312,727891,727891,3100672,Phase 3.5
[monitor_data] 1775765936344,8139312,507999,507999,1363968,Phase 3.5
[monitor_data] 1775765936794,8005868,392986,392986,669696,Phase 3.5
[monitor_data] 1775765937232,7909376,392986,392986,669696,Phase 3.5
[monitor_data] 1775765937678,7909384,411447,411447,669696,Phase 3.5
[monitor_data] 1775765938122,7909384,409688,409688,669696,Phase 3.5
[monitor_data] 1775765938566,7909384,412162,412162,669696,Phase 3.5
[monitor_data] 1775765939001,7909384,410848,410848,669696,Phase 3.5
[monitor_data] 1775765939437,7895768,41453,41453,667648,Phase 3.5
[monitor_data] 1775765939852,7542172,42746,42746,667648,Phase 3.5
[monitor_data] 1775765940260,7542172,42116,42116,667648,Phase 3.5
[monitor_data] 1775765940674,7542172,42212,42212,667648,Phase 3.5
[monitor_data] 1775765941085,7541020,40493,40493,667648,Phase 3.5
[monitor_data] 1775765941510,7541020,42502,42502,667648,Phase 3.5
[monitor_data] 1775765941960,7541020,43014,43014,0,Phase 4
[monitor_data] 1775765942402,,0,0,0,Phase 4
[monitor_data] 1775765942820,,0,0,0,Phase 4
[monitor_data] 1775765943231,,0,0,0,Phase 4
[monitor_data] 1775765943627,,0,0,0,Phase 4
[monitor_end] Process 1854592 terminated
