[monitor_start] Monitoring PID 359743 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775762508513,13168,2944,2944,47104,
[monitor_data] 1775762510052,84276,3913,3913,53248,
[monitor_data] 1775762510717,90492,5042,5042,55296,
[monitor_data] 1775762511406,92620,4926,4926,53248,
[monitor_data] 1775762512111,94232,4983,4983,53248,
[monitor_data] 1775762512777,95276,5111,5111,49152,
[monitor_data] 1775762513403,96428,5370,5370,182272,
[monitor_data] 1775762513991,240132,6403,6403,913408,Phase 1
[monitor_data] 1775762514504,1001340,35172,35172,1783808,Phase 1
[monitor_data] 1775762514928,1892400,35240,35240,2635776,Phase 1
[monitor_data] 1775762515345,2747308,39643,39643,3491840,Phase 1
[monitor_data] 1775762515775,3601440,39141,39141,4362240,Phase 1
[monitor_data] 1775762516214,4565312,158577,158577,5156864,Phase 1
[monitor_data] 1775762516640,5403400,195316,195316,5988352,Phase 1
[monitor_data] 1775762517073,6259640,176621,176621,6817792,Phase 2
[monitor_data] 1775762517516,7048084,149523,149523,6817792,Phase 2
[monitor_data] 1775762517954,7049616,168532,168532,6778880,Phase 2
[monitor_data] 1775762518398,7055520,246098,246098,6778880,Phase 2
[monitor_data] 1775762518854,7138884,285862,285862,6778880,Phase 2
[monitor_data] 1775762519307,7178796,317850,317850,6778880,Phase 2
[monitor_data] 1775762519734,7197920,308410,308410,6778880,Phase 2
[monitor_data] 1775762520179,7197920,284529,284529,6809600,Phase 3.1
[monitor_data] 1775762520618,7226992,259607,259607,6809600,Phase 3.1
[monitor_data] 1775762521060,7214128,320431,320431,6809600,Phase 3.1
[monitor_data] 1775762521515,7244876,349282,349282,6809600,Phase 3.1
[monitor_data] 1775762521963,7244940,343659,343659,6752256,Phase 3.1
[monitor_data] 1775762522417,7246004,348792,348792,6752256,Phase 3.1
[monitor_data] 1775762522862,7256492,364034,364034,6752256,Phase 3.1
[monitor_data] 1775762523315,7260012,320011,320011,6752256,Phase 3.2
[monitor_data] 1775762523759,7361288,425724,425724,6752256,Phase 3.2
[monitor_data] 1775762524206,7364904,425132,425132,6752256,Phase 3.2
[monitor_data] 1775762524653,7366456,427497,427497,6752256,Phase 3.2
[monitor_data] 1775762525086,7366456,427739,427739,6752256,Phase 3.2
[monitor_data] 1775762525535,7366504,420962,420962,6699008,Phase 3.2
[monitor_data] 1775762525974,7793880,759798,759798,6191104,Phase 3.2
[monitor_data] 1775762526433,7818216,674197,674197,5998592,Phase 3.2
[monitor_data] 1775762526864,7819952,674197,674197,5996544,Phase 3.3
[monitor_data] 1775762527310,7996260,780351,780351,5996544,Phase 3.3
[monitor_data] 1775762527757,7996300,779983,779983,5996544,Phase 3.3
[monitor_data] 1775762528192,7996300,780375,780375,5996544,Phase 3.3
[monitor_data] 1775762528630,7996300,779242,779242,5996544,Phase 3.3
[monitor_data] 1775762529071,7996300,778742,778742,5996544,Phase 3.3
[monitor_data] 1775762529503,7996300,780624,780624,5996544,Phase 3.3
[monitor_data] 1775762529916,7996300,779874,779874,5998592,Phase 3.4
[monitor_data] 1775762530337,7996300,778798,778798,5998592,Phase 3.4
[monitor_data] 1775762530744,7996300,777743,777743,5998592,Phase 3.4
[monitor_data] 1775762531170,7958088,683470,683470,4558848,Phase 3.4
[monitor_data] 1775762531599,7966912,544087,544087,3250176,Phase 3.4
[monitor_data] 1775762532059,7991320,466073,466073,3098624,Phase 3.4
[monitor_data] 1775762532515,7901292,558473,558473,3096576,Phase 3.4
[monitor_data] 1775762532951,7918052,561702,561702,3098624,Phase 3.5
[monitor_data] 1775762533391,7920940,571057,571057,3098624,Phase 3.5
[monitor_data] 1775762533839,7926108,572150,572150,3098624,Phase 3.5
[monitor_data] 1775762534288,7926108,572746,572746,3098624,Phase 3.5
[monitor_data] 1775762534721,7926108,571250,571250,3098624,Phase 3.5
[monitor_data] 1775762535155,7926108,562607,562607,3098624,Phase 3.5
[monitor_data] 1775762535629,7926108,539568,539568,2480128,Phase 3.5
[monitor_data] 1775762536084,7929172,450477,450477,1882112,Phase 3.5
[monitor_data] 1775762536521,7929172,430815,430815,1882112,Phase 3.5
[monitor_data] 1775762536970,7929172,488187,488187,1882112,Phase 3.5
[monitor_data] 1775762537409,7929172,487953,487953,1882112,Phase 3.5
[monitor_data] 1775762537876,7929172,485789,485789,1882112,Phase 3.5
[monitor_data] 1775762538312,7929172,488498,488498,1882112,Phase 3.5
[monitor_data] 1775762538757,7929172,485183,485183,1882112,Phase 3.5
[monitor_data] 1775762539218,7929172,516300,516300,927744,Phase 3.5
[monitor_data] 1775762539658,7992740,456525,456525,669696,Phase 3.5
[monitor_data] 1775762540098,7992740,473377,473377,669696,Phase 3.5
[monitor_data] 1775762540543,7992740,476445,476445,669696,Phase 3.5
[monitor_data] 1775762540991,7992740,473003,473003,669696,Phase 3.5
[monitor_data] 1775762541433,7992740,474792,474792,669696,Phase 3.5
[monitor_data] 1775762541879,7992740,473019,473019,669696,Phase 3.5
[monitor_data] 1775762542326,7561608,41519,41519,669696,Phase 4
[monitor_data] 1775762542771,7561616,41658,41658,671744,Phase 4
[monitor_data] 1775762543200,7561616,0,0,0,Phase 4
[monitor_data] 1775762543600,,0,0,0,Phase 4
[monitor_data] 1775762543981,,0,0,0,Phase 4
[monitor_data] 1775762544385,,0,0,0,Phase 4
[monitor_end] Process 359743 terminated
