[monitor_start] Monitoring PID 3030775 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769304523,13180,2959,2959,67584,
[monitor_data] 1775769305840,88732,3929,3929,61440,
[monitor_data] 1775769306337,100892,4903,4903,206848,
[monitor_data] 1775769306799,208760,6414,6414,364544,Phase 2
[monitor_data] 1775769307197,416108,6429,6429,409600,Phase 3
[monitor_data] 1775769307591,456492,16476,16476,411648,Phase 5
[monitor_data] 1775769307976,456496,14373,14373,364544,Phase 5
[monitor_data] 1775769308382,461576,41308,41308,364544,Phase 5
[monitor_data] 1775769308777,501792,27279,27279,364544,Phase 5
[monitor_data] 1775769309172,502288,67521,67521,364544,Phase 5
[monitor_data] 1775769309561,626528,191904,191904,364544,Phase 5
[monitor_data] 1775769309934,692040,219777,219777,323584,Phase 5
[monitor_data] 1775769310345,562220,23024,23024,323584,Phase 5
[monitor_data] 1775769310725,562220,25975,25975,321536,Phase 5
[monitor_data] 1775769311115,562332,28899,28899,321536,Phase 5
[monitor_data] 1775769311517,562332,25322,25322,321536,Phase 5
[monitor_data] 1775769311933,562332,20783,20783,321536,Phase 6
[monitor_data] 1775769312328,562328,20792,20792,321536,Phase 6
[monitor_data] 1775769312730,562328,20788,20788,0,Phase 6
[monitor_data] 1775769313103,,0,0,0,Phase 6
[monitor_data] 1775769313472,,0,0,0,Phase 6
[monitor_data] 1775769313854,,0,0,0,Phase 6
[monitor_end] Process 3030775 terminated
