[monitor_start] Monitoring PID 3203491 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769906146,13160,2740,2740,67584,
[monitor_data] 1775769907260,93120,2818,2818,83968,
[monitor_data] 1775769907693,108864,2929,2929,200704,Phase 2
[monitor_data] 1775769908168,271368,3106,3106,575488,Phase 2
[monitor_data] 1775769908645,630684,21134,21134,946176,Phase 3
[monitor_data] 1775769909072,996648,21149,21149,946176,Phase 3
[monitor_data] 1775769909491,996648,27302,27302,831488,Phase 5
[monitor_data] 1775769909888,1008600,27297,27297,831488,Phase 5
[monitor_data] 1775769910286,1008600,27297,27297,790528,Phase 5
[monitor_data] 1775769910685,1033176,50029,50029,790528,Phase 5
[monitor_data] 1775769911078,1139476,148286,148286,790528,Phase 5
[monitor_data] 1775769911479,1212924,246585,246585,790528,Phase 5
[monitor_data] 1775769911884,1239728,246585,246585,790528,Phase 5
[monitor_data] 1775769912295,1266352,246589,246589,790528,Phase 5
[monitor_data] 1775769912688,1292976,246585,246585,790528,Phase 5
[monitor_data] 1775769913070,1313496,443193,443193,790528,Phase 5
[monitor_data] 1775769913463,1346264,443193,443193,790528,Phase 5
[monitor_data] 1775769913847,1379032,443193,443193,790528,Phase 5
[monitor_data] 1775769914271,1419992,49974,49974,792576,Phase 5
[monitor_data] 1775769914652,1104528,49974,49974,792576,Phase 5
[monitor_data] 1775769915078,1104528,49974,49974,792576,Phase 5
[monitor_data] 1775769915486,1104528,49974,49974,792576,Phase 5
[monitor_data] 1775769915877,1104528,49974,49974,792576,Phase 5
[monitor_data] 1775769916306,1104528,49976,49976,792576,Phase 6
[monitor_data] 1775769916759,1104528,49976,49976,792576,Phase 6
[monitor_data] 1775769917231,1104528,0,0,0,Phase 6
[monitor_data] 1775769917620,,0,0,0,Phase 6
[monitor_data] 1775769918018,,0,0,0,Phase 6
[monitor_end] Process 3203491 terminated
