[monitor_start] Monitoring PID 3132846 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769661125,13176,2730,2730,65536,
[monitor_data] 1775769662322,89332,2815,2815,71680,
[monitor_data] 1775769662897,99120,2817,2817,77824,
[monitor_data] 1775769663466,105584,2818,2818,86016,
[monitor_data] 1775769664037,112136,2968,2968,243712,Phase 2
[monitor_data] 1775769664533,273820,3111,3111,657408,Phase 2
[monitor_data] 1775769664997,708380,21206,21206,946176,Phase 3
[monitor_data] 1775769665415,994908,21208,21208,831488,Phase 5
[monitor_data] 1775769665819,1006804,30545,30545,831488,Phase 5
[monitor_data] 1775769666219,1010352,30681,30681,831488,Phase 5
[monitor_data] 1775769666640,1010552,50035,50035,790528,Phase 5
[monitor_data] 1775769667045,1068384,200463,200463,790528,Phase 5
[monitor_data] 1775769667453,1304948,348207,348207,790528,Phase 5
[monitor_data] 1775769667847,1466756,642096,642096,790528,Phase 5
[monitor_data] 1775769668280,1126752,50029,50029,792576,Phase 5
[monitor_data] 1775769668699,1126752,50029,50029,792576,Phase 5
[monitor_data] 1775769669180,1126752,50029,50029,792576,Phase 5
[monitor_data] 1775769669679,1126752,50029,50029,792576,Phase 5
[monitor_data] 1775769670141,1126752,50030,50030,792576,Phase 6
[monitor_data] 1775769670557,1126752,50030,50030,792576,Phase 6
[monitor_data] 1775769670984,1126752,0,0,0,Phase 6
[monitor_data] 1775769671389,,0,0,0,Phase 6
[monitor_data] 1775769671771,,0,0,0,Phase 6
[monitor_end] Process 3132846 terminated
