[monitor_start] Monitoring PID 3363844 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775770204342,13164,2728,2728,67584,
[monitor_data] 1775770205375,92328,2817,2817,83968,
[monitor_data] 1775770205846,109972,3014,3014,241664,Phase 2
[monitor_data] 1775770206279,272576,3115,3115,632832,Phase 2
[monitor_data] 1775770206673,684664,21140,21140,944128,Phase 3
[monitor_data] 1775770207080,993656,21151,21151,944128,Phase 5
[monitor_data] 1775770207478,999788,27075,27075,831488,Phase 5
[monitor_data] 1775770207888,1005216,27079,27079,831488,Phase 5
[monitor_data] 1775770208284,1005216,27075,27075,831488,Phase 5
[monitor_data] 1775770208670,1005216,27071,27071,831488,Phase 5
[monitor_data] 1775770209100,1005216,27075,27075,790528,Phase 5
[monitor_data] 1775770209566,1029536,49989,49989,790528,Phase 5
[monitor_data] 1775770209989,1051780,49979,49979,790528,Phase 5
[monitor_data] 1775770210430,1051788,49984,49984,790528,Phase 5
[monitor_data] 1775770210866,1051788,49974,49974,790528,Phase 5
[monitor_data] 1775770211269,1051788,49973,49973,792576,Phase 5
[monitor_data] 1775770211711,1051804,49975,49975,792576,Phase 5
[monitor_data] 1775770212130,1051804,49975,49975,792576,Phase 5
[monitor_data] 1775770212524,1051804,49975,49975,792576,Phase 5
[monitor_data] 1775770212938,1051804,49975,49975,792576,Phase 5
[monitor_data] 1775770213356,1051804,49977,49977,792576,Phase 6
[monitor_data] 1775770213808,1055384,49977,49977,792576,Phase 6
[monitor_data] 1775770214299,1055384,0,0,0,Phase 6
[monitor_data] 1775770214735,,0,0,0,Phase 6
[monitor_data] 1775770215143,,0,0,0,Phase 6
[monitor_end] Process 3363844 terminated
