[monitor_start] Monitoring PID 3126120 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769636682,13160,2729,2729,63488,
[monitor_data] 1775769637829,86580,2809,2809,71680,
[monitor_data] 1775769638318,94412,2812,2812,77824,
[monitor_data] 1775769638825,102048,2814,2814,86016,
[monitor_data] 1775769639373,112148,3017,3017,251904,Phase 2
[monitor_data] 1775769639831,301320,3115,3115,759808,Phase 2
[monitor_data] 1775769640315,824340,21268,21268,946176,Phase 3
[monitor_data] 1775769640761,994112,21269,21269,831488,Phase 5
[monitor_data] 1775769641158,1010384,33417,33417,831488,Phase 5
[monitor_data] 1775769641575,1012752,29649,29649,790528,Phase 5
[monitor_data] 1775769641992,1031916,50028,50028,790528,Phase 5
[monitor_data] 1775769642385,1056892,55954,55954,790528,Phase 5
[monitor_data] 1775769642792,1062820,59148,59148,790528,Phase 5
[monitor_data] 1775769643196,1064332,55184,55184,790528,Phase 5
[monitor_data] 1775769643603,1064332,49971,49971,790528,Phase 5
[monitor_data] 1775769644017,1064332,49973,49973,792576,Phase 5
[monitor_data] 1775769644425,1064332,49973,49973,792576,Phase 5
[monitor_data] 1775769644839,1064332,49973,49973,792576,Phase 5
[monitor_data] 1775769645289,1064332,49973,49973,792576,Phase 5
[monitor_data] 1775769645703,1064332,49973,49973,792576,Phase 5
[monitor_data] 1775769646110,1064332,49974,49974,792576,Phase 6
[monitor_data] 1775769646617,1064332,49974,49974,0,Phase 6
[monitor_data] 1775769647116,,0,0,0,Phase 6
[monitor_data] 1775769647532,,0,0,0,Phase 6
[monitor_end] Process 3126120 terminated
