[monitor_start] Monitoring PID 3059842 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769407042,13180,2729,2729,67584,
[monitor_data] 1775769408104,93004,2816,2816,88064,
[monitor_data] 1775769408551,116448,3087,3087,270336,Phase 2
[monitor_data] 1775769408960,318948,3113,3113,679936,Phase 2
[monitor_data] 1775769409354,728356,21201,21201,946176,Phase 3
[monitor_data] 1775769409756,993392,21204,21204,946176,Phase 5
[monitor_data] 1775769410154,993392,28739,28739,831488,Phase 5
[monitor_data] 1775769410568,1010436,29442,29442,831488,Phase 5
[monitor_data] 1775769411019,1010436,27850,27850,831488,Phase 5
[monitor_data] 1775769411561,1010436,50028,50028,790528,Phase 5
[monitor_data] 1775769412149,1087168,107878,107878,790528,Phase 5
[monitor_data] 1775769412726,1162524,151387,151387,790528,Phase 5
[monitor_data] 1775769413224,1185052,148276,148276,792576,Phase 5
[monitor_data] 1775769413666,1101092,49982,49982,792576,Phase 5
[monitor_data] 1775769414103,1101092,49982,49982,792576,Phase 5
[monitor_data] 1775769414510,1101092,49982,49982,792576,Phase 5
[monitor_data] 1775769414951,1101092,49982,49982,792576,Phase 5
[monitor_data] 1775769415353,1101092,49984,49984,792576,Phase 6
[monitor_data] 1775769415753,1101092,49984,49984,792576,Phase 6
[monitor_data] 1775769416170,1101092,0,0,0,Phase 6
[monitor_data] 1775769416589,,0,0,0,Phase 6
[monitor_data] 1775769416992,,0,0,0,Phase 6
[monitor_end] Process 3059842 terminated
