[monitor_start] Monitoring PID 2682684 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775768118818,13160,2731,2731,67584,
[monitor_data] 1775768119884,92736,2818,2818,83968,
[monitor_data] 1775768120356,109268,2980,2980,239616,Phase 2
[monitor_data] 1775768120788,272912,3100,3100,643072,Phase 2
[monitor_data] 1775768121233,696076,21132,21132,944128,Phase 3
[monitor_data] 1775768121706,993932,21134,21134,833536,Phase 5
[monitor_data] 1775768122171,1011384,31514,31514,833536,Phase 5
[monitor_data] 1775768122623,1012376,30140,30140,792576,Phase 5
[monitor_data] 1775768123056,1033332,50790,50790,792576,Phase 5
[monitor_data] 1775768123468,1062184,59110,59110,792576,Phase 5
[monitor_data] 1775768123948,1067216,55708,55708,792576,Phase 5
[monitor_data] 1775768124427,1067216,50610,50610,792576,Phase 5
[monitor_data] 1775768124858,1067216,50094,50094,796672,Phase 5
[monitor_data] 1775768125267,1067300,50801,50801,796672,Phase 5
[monitor_data] 1775768125686,1067320,50802,50802,796672,Phase 5
[monitor_data] 1775768126113,1067320,50802,50802,796672,Phase 5
[monitor_data] 1775768126525,1068112,50803,50803,796672,Phase 5
[monitor_data] 1775768126934,1068112,50803,50803,796672,Phase 6
[monitor_data] 1775768127358,1068112,50804,50804,796672,Phase 6
[monitor_data] 1775768127775,1068112,50804,50804,0,Phase 6
[monitor_data] 1775768128196,,0,0,0,Phase 6
[monitor_data] 1775768128595,,0,0,0,Phase 6
[monitor_end] Process 2682684 terminated
