[monitor_start] Monitoring PID 2794670 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775768253719,13196,2726,2726,65536,
[monitor_data] 1775768254848,91676,2814,2814,81920,
[monitor_data] 1775768255301,106908,2918,2918,243712,Phase 2
[monitor_data] 1775768255741,272656,3106,3106,636928,Phase 2
[monitor_data] 1775768256215,686300,21205,21205,946176,Phase 3
[monitor_data] 1775768256683,993744,21206,21206,946176,Phase 5
[monitor_data] 1775768257115,993744,21206,21206,831488,Phase 5
[monitor_data] 1775768257546,1008452,30262,30262,831488,Phase 5
[monitor_data] 1775768257979,1009612,29305,29305,831488,Phase 5
[monitor_data] 1775768258398,1009612,27275,27275,790528,Phase 5
[monitor_data] 1775768258829,1029900,65249,65249,790528,Phase 5
[monitor_data] 1775768259251,1097676,104749,104749,790528,Phase 5
[monitor_data] 1775768259678,1147520,152138,152138,790528,Phase 5
[monitor_data] 1775768260118,1178136,148276,148276,790528,Phase 5
[monitor_data] 1775768260526,1186344,49972,49972,792576,Phase 5
[monitor_data] 1775768260944,1101272,49972,49972,792576,Phase 5
[monitor_data] 1775768261369,1101272,49972,49972,792576,Phase 5
[monitor_data] 1775768261788,1101272,49972,49972,792576,Phase 5
[monitor_data] 1775768262209,1101272,49972,49972,792576,Phase 6
[monitor_data] 1775768262637,1101276,49973,49973,792576,Phase 6
[monitor_data] 1775768263049,1101276,49973,49973,792576,Phase 6
[monitor_data] 1775768263445,,0,0,0,Phase 6
[monitor_data] 1775768263854,,0,0,0,Phase 6
[monitor_data] 1775768264269,,0,0,0,Phase 6
[monitor_end] Process 2794670 terminated
