[monitor_start] Monitoring PID 3249593 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1775769812484,13160,2728,2728,65536,
[monitor_data] 1775769813523,91748,2818,2818,83968,
[monitor_data] 1775769813960,110188,3005,3005,241664,Phase 2
[monitor_data] 1775769814373,272132,3108,3108,614400,Phase 2
[monitor_data] 1775769814781,663732,21136,21136,946176,Phase 3
[monitor_data] 1775769815203,993196,21142,21142,946176,Phase 5
[monitor_data] 1775769815599,993196,21146,21146,833536,Phase 5
[monitor_data] 1775769816009,1005148,33750,33750,833536,Phase 5
[monitor_data] 1775769816409,1013344,30914,30914,833536,Phase 5
[monitor_data] 1775769816802,1013344,27857,27857,833536,Phase 5
[monitor_data] 1775769817215,1029124,50667,50667,792576,Phase 5
[monitor_data] 1775769817637,1052596,50128,50128,792576,Phase 5
[monitor_data] 1775769818041,1052596,50111,50111,792576,Phase 5
[monitor_data] 1775769818488,1052596,50107,50107,792576,Phase 5
[monitor_data] 1775769818960,1052596,50103,50103,792576,Phase 5
[monitor_data] 1775769819401,1052596,50099,50099,792576,Phase 5
[monitor_data] 1775769819840,1052596,50613,50613,794624,Phase 5
[monitor_data] 1775769820323,1052720,50613,50613,794624,Phase 5
[monitor_data] 1775769820741,1052720,50613,50613,794624,Phase 5
[monitor_data] 1775769821142,1052720,50613,50613,794624,Phase 5
[monitor_data] 1775769821551,1052720,50613,50613,794624,Phase 5
[monitor_data] 1775769821958,1052720,50614,50614,794624,Phase 6
[monitor_data] 1775769822372,1052728,50614,50614,794624,Phase 6
[monitor_data] 1775769822772,1052728,0,0,0,Phase 6
[monitor_data] 1775769823175,,0,0,0,Phase 6
[monitor_data] 1775769823578,,0,0,0,Phase 6
[monitor_end] Process 3249593 terminated
