variant        benchmark                                                                         score unit
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup   18564.509067 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup 1403824.244769 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.mixed   10128.455115 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace 1379325.108601 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.cleanup   16119.655908 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.lookup 1302055.577067 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.mixed     9487.817882 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.replace 1347390.599785 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.cleanup   19749.624342 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.lookup 1452472.870123 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.mixed    12063.025690 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.replace 1635344.284260 ops/s
