variant        benchmark                                                                         score unit
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup       0.709441 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.insert 1291246.574096 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup    8234.702636 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace    4234.304783 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.cleanup  113570.085517 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.insert 1144070.064645 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.lookup    7821.693473 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.replace    4094.999821 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.cleanup       0.754820 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.insert 1143380.825048 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.lookup    7560.286598 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.replace    5138.678668 ops/s
