[monitor_start] Monitoring PID 359817 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776369997846,13808,0,0,0,
[monitor_data] 1776370029259,15768,44578,44578,71680,
[monitor_data] 1776370038277,111540,46465,46465,1228800,
[monitor_data] 1776370038696,691196,45976,45976,2316288,
[monitor_data] 1776370039125,1733256,45752,45752,2891776,Phase 1
[monitor_data] 1776370039541,2755212,81638,81638,2893824,Phase 1
[monitor_data] 1776370039951,3063832,81576,81576,2893824,Phase 1
[monitor_data] 1776370040349,3063824,81391,81391,2887680,Phase 1
[monitor_data] 1776370040751,3065376,81935,81935,2887680,Phase 1
[monitor_data] 1776370041158,3101132,117392,117392,2889728,Phase 1
[monitor_data] 1776370041565,3101164,117264,117264,2889728,Phase 1
[monitor_data] 1776370041956,3101184,117298,117298,2883584,Phase 1
[monitor_data] 1776370042396,3101224,117167,117167,2883584,Phase 1
[monitor_data] 1776370042809,3101224,135473,135473,3457024,Phase 1
[monitor_data] 1776370043233,3692396,135473,135473,3457024,Phase 1
[monitor_data] 1776370043651,3692396,134383,134383,3454976,Phase 1
[monitor_data] 1776370044106,3692480,134701,134701,3454976,Phase 1
[monitor_data] 1776370044591,3692500,134702,134702,3454976,Phase 1
[monitor_data] 1776370045006,3692500,134254,134254,3450880,Phase 1
[monitor_data] 1776370045429,3692532,152314,152314,3450880,Phase 1
[monitor_data] 1776370045838,3710456,152367,152367,3450880,Phase 1
[monitor_data] 1776370046233,3710456,152387,152387,3936256,Phase 1
[monitor_data] 1776370046627,4170628,152247,152247,4620288,Phase 1
[monitor_data] 1776370047019,4855212,200769,200769,5304320,Phase 1
[monitor_data] 1776370047441,5589736,192165,192165,6014976,Phase 1
[monitor_data] 1776370047857,6303176,192226,192226,6748160,Phase 1
[monitor_data] 1776370048280,7033900,192283,192283,7450624,Phase 1
[monitor_data] 1776370048696,7735504,192140,192140,8140800,Phase 1
[monitor_data] 1776370049094,8426600,309328,309328,8812544,Phase 1
[monitor_data] 1776370049508,9211292,336170,336170,9480192,Phase 1
[monitor_data] 1776370049922,9907652,363442,363442,10139648,Phase 1
[monitor_data] 1776370050328,10587676,355939,355939,10866688,Phase 1
[monitor_data] 1776370050756,11315552,333094,333094,11589632,Phase 1
[monitor_data] 1776370051183,12028236,311724,311724,12312576,Phase 1
[monitor_data] 1776370051610,12752720,347042,347042,12990464,Phase 1
[monitor_data] 1776370052010,13430124,347095,347095,13705216,Phase 1
[monitor_data] 1776370052432,14142972,346959,346959,14434304,Phase 1
[monitor_data] 1776370052853,14876648,546308,546308,15235072,Phase 1
[monitor_data] 1776370053354,15893880,579755,579755,16025600,Phase 1
[monitor_data] 1776370053847,16714960,610133,610133,16687104,Phase 1
[monitor_data] 1776370054268,17401948,636480,636480,17356800,Phase 1
[monitor_data] 1776370054701,18098604,665651,665651,18055168,Phase 1
[monitor_data] 1776370055143,18826396,662042,662042,18794496,Phase 1
[monitor_data] 1776370055576,19567916,637612,637612,19578880,Phase 1
[monitor_data] 1776370056038,20342256,614256,614256,20342784,Phase 1
[monitor_data] 1776370056492,21105872,589882,589882,21073920,Phase 1
[monitor_data] 1776370056933,21836020,565648,565648,21809152,Phase 1
[monitor_data] 1776370057377,22570552,618878,618878,22554624,Phase 1
[monitor_data] 1776370057831,23320028,658594,658594,23339008,Phase 1
[monitor_data] 1776370058295,24143488,658654,658654,24094720,Phase 1
[monitor_data] 1776370058740,24899208,658717,658717,24895488,Phase 1
[monitor_data] 1776370059208,25698900,658781,658781,25669632,Phase 1
[monitor_data] 1776370059663,26473292,658841,658841,26398720,Phase 1
[monitor_data] 1776370060089,27201076,658899,658899,27113472,Phase 1
[monitor_data] 1776370060509,27915896,658958,658958,27873280,Phase 1
[monitor_data] 1776370060951,28677176,659018,659018,28641280,Phase 1
[monitor_data] 1776370061404,29444888,658790,658790,29374464,Phase 1
[monitor_data] 1776370061829,30179076,658848,658848,30087168,Phase 1
[monitor_data] 1776370062257,31283240,1147859,1147859,30732288,Phase 1
[monitor_data] 1776370062665,32017556,1179729,1179729,31385600,Phase 1
[monitor_data] 1776370063076,32703424,1212165,1212165,32043008,Phase 1
[monitor_data] 1776370063489,33393184,1246910,1246910,32765952,Phase 1
[monitor_data] 1776370063940,34153200,1282065,1282065,33513472,Phase 1
[monitor_data] 1776370064407,34936664,1317587,1317587,34260992,Phase 1
[monitor_data] 1776370064877,35720544,1352012,1352012,34971648,Phase 1
[monitor_data] 1776370065334,36464892,1384013,1384013,35616768,Phase 1
[monitor_data] 1776370065747,37139836,1414381,1414381,36288512,Phase 1
[monitor_data] 1776370066178,37845156,1442915,1442915,36956160,Phase 1
[monitor_data] 1776370066586,38496788,1425044,1425044,37314560,Phase 1
[monitor_data] 1776370067245,38886128,1394220,1394220,38088704,Phase 1
[monitor_data] 1776370067700,39662644,1372800,1372800,38875136,Phase 1
[monitor_data] 1776370068159,40445592,1352478,1352478,39626752,Phase 1
[monitor_data] 1776370068600,41197196,1331371,1331371,40372224,Phase 1
[monitor_data] 1776370069046,41944864,1309451,1309451,41154560,Phase 1
[monitor_data] 1776370069511,42725668,1288565,1288565,41895936,Phase 1
[monitor_data] 1776370069951,43466508,1267353,1267353,42645504,Phase 1
[monitor_data] 1776370070398,44158400,1245753,1245753,43382784,Phase 1
[monitor_data] 1776370070838,44896884,1223027,1223027,44152832,Phase 1
[monitor_data] 1776370071294,45667264,1200603,1200603,44912640,Phase 1
[monitor_data] 1776370071745,46426168,1177961,1177961,45680640,Phase 1
[monitor_data] 1776370072198,47193960,1155671,1155671,46456832,Phase 1
[monitor_data] 1776370072659,47970468,1218939,1218939,47216640,Phase 1
[monitor_data] 1776370073108,48730420,1218807,1218807,47968256,Phase 1
[monitor_data] 1776370073554,49481452,1333591,1333591,48713728,Phase 1
[monitor_data] 1776370074000,50340808,1333653,1333653,49485824,Phase 1
[monitor_data] 1776370074443,51115036,1333716,1333716,50251776,Phase 1
[monitor_data] 1776370074888,51879280,1333775,1333775,50978816,Phase 1
[monitor_data] 1776370075313,52605604,1333833,1333833,51718144,Phase 1
[monitor_data] 1776370075747,53345412,1333893,1333893,52441088,Phase 1
[monitor_data] 1776370076171,54068228,1333951,1333951,53202944,Phase 1
[monitor_data] 1776370076619,54831368,1334009,1334009,53923840,Phase 1
[monitor_data] 1776370077042,55552852,1334067,1334067,54628352,Phase 1
[monitor_data] 1776370077454,56259076,1334124,1334124,55363584,Phase 1
[monitor_data] 1776370077882,56995392,1334183,1334183,56098816,Phase 1
[monitor_data] 1776370078308,57729080,1334244,1334244,56844288,Phase 1
[monitor_data] 1776370078738,58474260,1334303,1334303,57559040,Phase 1
[monitor_data] 1776370079152,59186996,1334362,1334362,58310656,Phase 1
[monitor_data] 1776370079589,59938108,1334421,1334421,59088896,Phase 1
[monitor_data] 1776370080040,60717304,1334483,1334483,59838464,Phase 1
[monitor_data] 1776370080475,61467056,1334543,1334543,60608512,Phase 1
[monitor_data] 1776370080923,62238996,1334604,1334604,61315072,Phase 1
[monitor_data] 1776370081334,62945348,1334667,1334667,62113792,Phase 1
[monitor_data] 1776370081798,63743004,1334726,1334726,62867456,Phase 1
[monitor_data] 1776370082235,64495644,1334784,1334784,63574016,Phase 1
[monitor_data] 1776370082643,65203192,1334844,1334844,64331776,Phase 1
[monitor_data] 1776370083079,65959756,1334520,1334520,65105920,Phase 1
[monitor_data] 1776370083525,66736292,1334580,1334580,65845248,Phase 1
[monitor_data] 1776370083947,67476888,1334446,1334446,66572288,Phase 1
[monitor_data] 1776370084372,68293420,2479438,2479438,67209216,Phase 1
[monitor_data] 1776370084798,69803604,2498481,2498481,67883008,Phase 1
[monitor_data] 1776370085225,70511784,2527164,2527164,68538368,Phase 1
[monitor_data] 1776370085645,71196664,2556387,2556387,69201920,Phase 1
[monitor_data] 1776370086068,71888236,2586817,2586817,69863424,Phase 1
[monitor_data] 1776370086491,72581092,2616329,2616329,70518784,Phase 1
[monitor_data] 1776370086911,73267168,2646347,2646347,71206912,Phase 1
[monitor_data] 1776370087351,73988848,2678549,2678549,71903232,Phase 1
[monitor_data] 1776370087793,74714564,2710383,2710383,72632320,Phase 1
[monitor_data] 1776370088248,75481268,2744535,2744535,73367552,Phase 1
[monitor_data] 1776370088702,76248804,2777617,2777617,74094592,Phase 1
[monitor_data] 1776370089153,77012176,2812427,2812427,74840064,Phase 1
[monitor_data] 1776370089614,77791516,2845626,2845626,75587584,Phase 1
[monitor_data] 1776370090076,78575348,2879242,2879242,76339200,Phase 1
[monitor_data] 1776370090540,79357824,2913233,2913233,77064192,Phase 1
[monitor_data] 1776370090991,80117396,2946077,2946077,77797376,Phase 1
[monitor_data] 1776370091446,80883576,2978971,2978971,78526464,Phase 1
[monitor_data] 1776370091896,81645188,3010813,3010813,79208448,Phase 1
[monitor_data] 1776370092324,82360608,3043161,3043161,79935488,Phase 1
[monitor_data] 1776370092773,83120336,3075001,3075001,80668672,Phase 1
[monitor_data] 1776370093224,83887016,3107010,3107010,81367040,Phase 1
[monitor_data] 1776370093659,84618068,3139184,3139184,82116608,Phase 1
[monitor_data] 1776370094124,85399256,3163757,3163757,82833408,Phase 1
[monitor_data] 1776370094557,86128880,3144818,3144818,83609600,Phase 1
[monitor_data] 1776370095011,86901084,3123169,3123169,84377600,Phase 1
[monitor_data] 1776370095463,87671552,3102291,3102291,85137408,Phase 1
[monitor_data] 1776370095910,88430404,3082122,3082122,85893120,Phase 1
[monitor_data] 1776370096352,89185848,3061555,3061555,86638592,Phase 1
[monitor_data] 1776370096790,89931452,3040599,3040599,87160832,Phase 1
[monitor_data] 1776370097259,90420656,3019608,3019608,87502848,Phase 1
[monitor_data] 1776370098229,90797532,2975444,2975444,88223744,Phase 1
[monitor_data] 1776370098652,91516784,2956795,2956795,88969216,Phase 1
[monitor_data] 1776370099089,92263100,2935798,2935798,89757696,Phase 1
[monitor_data] 1776370099554,93050956,2915084,2915084,90492928,Phase 1
[monitor_data] 1776370099989,93786020,2896025,2896025,91234304,Phase 1
[monitor_data] 1776370100430,94528712,2876226,2876226,91971584,Phase 1
[monitor_data] 1776370100866,95264576,2856782,2856782,92702720,Phase 1
[monitor_data] 1776370101299,95996424,2836819,2836819,93487104,Phase 1
[monitor_data] 1776370101759,96781080,2816230,2816230,94248960,Phase 1
[monitor_data] 1776370102205,97475092,2790546,2790546,95025152,Phase 1
[monitor_data] 1776370102663,98254888,2765130,2765130,95797248,Phase 1
[monitor_data] 1776370103119,99028224,2739835,2739835,96612352,Phase 1
[monitor_data] 1776370103599,99842716,2713216,2713216,97370112,Phase 1
[monitor_data] 1776370104044,100598916,2686461,2686461,98154496,Phase 1
[monitor_data] 1776370104507,101383284,2662758,2662758,98887680,Phase 1
[monitor_data] 1776370104941,102115864,2637530,2637530,99631104,Phase 1
[monitor_data] 1776370105382,102859600,2612288,2612288,100397056,Phase 1
[monitor_data] 1776370105836,103626856,2586878,2586878,101175296,Phase 1
[monitor_data] 1776370106295,104406276,2561446,2561446,101941248,Phase 1
[monitor_data] 1776370106743,105170780,2535455,2535455,102739968,Phase 1
