[monitor_start] Monitoring PID 865491 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776457313866,13776,0,0,0,
[monitor_data] 1776457345269,13776,43512,43512,55296,
[monitor_data] 1776457353501,106024,44561,44561,94208,
[monitor_data] 1776457353979,117392,46457,46457,1273856,
[monitor_data] 1776457354408,908180,46988,46988,2347008,
[monitor_data] 1776457354814,2065828,47643,47643,2924544,Phase 1
[monitor_data] 1776457355197,3048700,82942,82942,2928640,Phase 1
[monitor_data] 1776457355610,3048780,82942,82942,2928640,Phase 1
[monitor_data] 1776457356001,3049220,82790,82790,2924544,Phase 1
[monitor_data] 1776457356441,3049220,136520,136520,2924544,Phase 1
[monitor_data] 1776457356948,3102768,136392,136392,2924544,Phase 1
[monitor_data] 1776457357466,3102836,136552,136552,2881536,Phase 1
[monitor_data] 1776457357887,3103860,134723,134723,2881536,Phase 1
[monitor_data] 1776457358308,3103860,135107,135107,3454976,Phase 1
[monitor_data] 1776457358725,3677464,135107,135107,3454976,Phase 1
[monitor_data] 1776457359149,3677464,134306,134306,3452928,Phase 1
[monitor_data] 1776457359567,3677528,134564,134564,3452928,Phase 1
[monitor_data] 1776457359965,3677564,134563,134563,3452928,Phase 1
[monitor_data] 1776457360405,3677564,134241,134241,3450880,Phase 1
[monitor_data] 1776457360806,3679116,134241,134241,3450880,Phase 1
[monitor_data] 1776457361214,3697044,152354,152354,3465216,Phase 1
[monitor_data] 1776457361631,3719920,152391,152391,4165632,Phase 1
[monitor_data] 1776457362029,4390736,152256,152256,4947968,Phase 1
[monitor_data] 1776457362439,5173180,212245,212245,5666816,Phase 1
[monitor_data] 1776457362853,5959312,206018,206018,6424576,Phase 1
[monitor_data] 1776457363272,6715656,203384,203384,7180288,Phase 1
[monitor_data] 1776457363689,7469688,203445,203445,7960576,Phase 1
[monitor_data] 1776457364123,8250472,203310,203310,8736768,Phase 1
[monitor_data] 1776457364541,9029084,328851,328851,9469952,Phase 1
[monitor_data] 1776457364955,9878080,358665,358665,10164224,Phase 1
[monitor_data] 1776457365368,10604112,388326,388326,10835968,Phase 1
[monitor_data] 1776457365769,11304748,390851,390851,11554816,Phase 1
[monitor_data] 1776457366167,12022944,369294,369294,12259328,Phase 1
[monitor_data] 1776457366556,12727476,348289,348289,13006848,Phase 1
[monitor_data] 1776457366968,13476300,379781,379781,13856768,Phase 1
[monitor_data] 1776457367442,14333348,379929,379929,14829568,Phase 1
[monitor_data] 1776457367969,15306880,380008,380008,15747072,Phase 1
[monitor_data] 1776457368465,16219792,380070,380070,16474112,Phase 1
[monitor_data] 1776457368872,16946532,379942,379942,17313792,Phase 1
[monitor_data] 1776457369322,17904784,647881,647881,18018304,Phase 1
[monitor_data] 1776457369746,18747256,678891,678891,18728960,Phase 1
[monitor_data] 1776457370167,19489104,710037,710037,19447808,Phase 1
[monitor_data] 1776457370591,20239296,740454,740454,20191232,Phase 1
[monitor_data] 1776457371030,21017016,772188,772188,20953088,Phase 1
[monitor_data] 1776457371477,21809700,795382,795382,21702656,Phase 1
[monitor_data] 1776457371906,22568596,775072,775072,22470656,Phase 1
[monitor_data] 1776457372337,23337996,754551,754551,23271424,Phase 1
[monitor_data] 1776457372780,24137200,734529,734529,23994368,Phase 1
[monitor_data] 1776457373183,24861328,716004,716004,24729600,Phase 1
[monitor_data] 1776457373594,25594336,691100,691100,25460736,Phase 1
[monitor_data] 1776457374235,26327720,650360,650360,26195968,Phase 1
[monitor_data] 1776457374651,27066628,712147,712147,27011072,Phase 1
[monitor_data] 1776457375107,27882816,767095,767095,27738112,Phase 1
[monitor_data] 1776457375513,28678368,779443,779443,28489728,Phase 1
[monitor_data] 1776457375928,29446336,795887,795887,29247488,Phase 1
[monitor_data] 1776457376345,30212084,795950,795950,30042112,Phase 1
[monitor_data] 1776457376777,31007212,796010,796010,30814208,Phase 1
[monitor_data] 1776457377191,31781364,796072,796072,31559680,Phase 1
[monitor_data] 1776457377603,32502876,795551,795551,32313344,Phase 1
[monitor_data] 1776457377998,33257556,795613,795613,33052672,Phase 1
[monitor_data] 1776457378407,34372652,1296550,1296550,33771520,Phase 1
[monitor_data] 1776457378833,35136628,1326779,1326779,34480128,Phase 1
[monitor_data] 1776457379249,35875964,1357555,1357555,35201024,Phase 1
[monitor_data] 1776457379674,36625380,1386789,1386789,35905536,Phase 1
[monitor_data] 1776457380090,37359140,1417089,1417089,36612096,Phase 1
[monitor_data] 1776457380508,38096180,1446876,1446876,37320704,Phase 1
[monitor_data] 1776457380924,38833212,1476127,1476127,38031360,Phase 1
[monitor_data] 1776457381341,39573788,1505993,1505993,38756352,Phase 1
[monitor_data] 1776457381768,40329376,1533670,1533670,39446528,Phase 1
[monitor_data] 1776457382175,41047748,1563059,1563059,40202240,Phase 1
[monitor_data] 1776457382620,41835688,1592743,1592743,40916992,Phase 1
[monitor_data] 1776457383031,42567856,1579886,1579886,41652224,Phase 1
[monitor_data] 1776457383440,43305100,1560386,1560386,42426368,Phase 1
[monitor_data] 1776457383870,44078884,1540341,1540341,43208704,Phase 1
[monitor_data] 1776457384304,44861260,1520751,1520751,43986944,Phase 1
[monitor_data] 1776457384737,45638364,1500924,1500924,44763136,Phase 1
[monitor_data] 1776457385172,46414240,1481403,1481403,45563904,Phase 1
[monitor_data] 1776457385621,47217292,1461938,1461938,46319616,Phase 1
[monitor_data] 1776457386041,47969988,1442933,1442933,47116288,Phase 1
[monitor_data] 1776457386488,48769300,1420126,1420126,47867904,Phase 1
[monitor_data] 1776457386911,49518552,1396981,1396981,48596992,Phase 1
[monitor_data] 1776457387321,50249880,1373683,1373683,49326080,Phase 1
[monitor_data] 1776457387729,50978948,1350655,1350655,50055168,Phase 1
[monitor_data] 1776457388138,51708868,1328176,1328176,50812928,Phase 1
[monitor_data] 1776457388562,52465724,1303371,1303371,51574784,Phase 1
[monitor_data] 1776457388988,53228120,1415651,1415651,52363264,Phase 1
[monitor_data] 1776457389429,53868932,1415716,1415716,53174272,Phase 1
[monitor_data] 1776457389878,54680028,1415654,1415654,53962752,Phase 1
[monitor_data] 1776457390319,55596044,1546145,1546145,54726656,Phase 1
[monitor_data] 1776457390745,56386696,1562319,1562319,55482368,Phase 1
[monitor_data] 1776457391162,57191676,1578550,1578550,56227840,Phase 1
[monitor_data] 1776457391573,57982008,1643650,1643650,56981504,Phase 1
[monitor_data] 1776457391991,58742332,1643229,1643229,57720832,Phase 1
[monitor_data] 1776457392400,59505940,1904983,1904983,58492928,Phase 1
[monitor_data] 1776457392827,60304536,1773281,1773281,59224064,Phase 1
[monitor_data] 1776457393231,61061080,1773179,1773179,59969536,Phase 1
[monitor_data] 1776457393640,61811136,1772614,1772614,60790784,Phase 1
[monitor_data] 1776457394090,62634392,1771801,1771801,61591552,Phase 1
[monitor_data] 1776457394529,63435296,1771628,1771628,62459904,Phase 1
[monitor_data] 1776457395003,64301064,1771001,1771001,63250432,Phase 1
[monitor_data] 1776457395445,64917004,1771055,1771055,64075776,Phase 1
[monitor_data] 1776457395897,65747032,1771122,1771122,64927744,Phase 1
[monitor_data] 1776457396342,66600692,1770869,1770869,65714176,Phase 1
[monitor_data] 1776457396784,67735532,2798372,2798372,66447360,Phase 1
[monitor_data] 1776457397218,69116656,2822195,2822195,67153920,Phase 1
[monitor_data] 1776457397640,69851124,2850639,2850639,67893248,Phase 1
[monitor_data] 1776457398078,70621100,2880404,2880404,68595712,Phase 1
[monitor_data] 1776457398496,71353920,2910557,2910557,69322752,Phase 1
[monitor_data] 1776457398928,72111596,2940265,2940265,70060032,Phase 1
[monitor_data] 1776457399366,72878312,2970353,2970353,70801408,Phase 1
[monitor_data] 1776457399807,73650892,2999859,2999859,71518208,Phase 1
[monitor_data] 1776457400233,74397692,3029522,3029522,72247296,Phase 1
[monitor_data] 1776457400668,75154696,3058959,3058959,72945664,Phase 1
[monitor_data] 1776457401088,75883904,3088425,3088425,73666560,Phase 1
[monitor_data] 1776457401519,76634660,3116622,3116622,74377216,Phase 1
[monitor_data] 1776457401942,77374492,3145455,3145455,75104256,Phase 1
[monitor_data] 1776457402375,78130220,3174966,3174966,75804672,Phase 1
[monitor_data] 1776457402790,78859028,3202849,3202849,76482560,Phase 1
[monitor_data] 1776457403196,79567356,3231632,3231632,77230080,Phase 1
[monitor_data] 1776457403639,80344744,3261341,3261341,77955072,Phase 1
[monitor_data] 1776457404066,81097704,3289208,3289208,78340096,Phase 1
[monitor_data] 1776457404484,81469268,3291151,3291151,78655488,Phase 1
[monitor_data] 1776457405193,81828512,3317669,3317669,79360000,Phase 1
[monitor_data] 1776457405612,82560484,3345670,3345670,80044032,Phase 1
[monitor_data] 1776457406024,83273044,3373328,3373328,80744448,Phase 1
[monitor_data] 1776457406442,83999676,3399093,3399093,81412096,Phase 1
[monitor_data] 1776457406840,84693028,3426478,3426478,82221056,Phase 1
[monitor_data] 1776457407298,85526868,3417055,3417055,83044352,Phase 1
[monitor_data] 1776457407743,86349792,3395950,3395950,83828736,Phase 1
[monitor_data] 1776457408168,87136336,3376251,3376251,84596736,Phase 1
[monitor_data] 1776457408584,87905136,3356093,3356093,85440512,Phase 1
[monitor_data] 1776457409038,88747612,3335404,3335404,86284288,Phase 1
[monitor_data] 1776457409495,89592492,3313350,3313350,87048192,Phase 1
[monitor_data] 1776457409908,90355224,3293445,3293445,87857152,Phase 1
[monitor_data] 1776457410345,91167368,3272067,3272067,88743936,Phase 1
[monitor_data] 1776457410822,92051756,3251042,3251042,89505792,Phase 1
[monitor_data] 1776457411233,92811784,3230998,3230998,90314752,Phase 1
[monitor_data] 1776457411671,93623008,3210930,3210930,91109376,Phase 1
[monitor_data] 1776457412102,94420396,3191244,3191244,91897856,Phase 1
[monitor_data] 1776457412526,95205456,3170898,3170898,92747776,Phase 1
[monitor_data] 1776457412984,96056624,3149971,3149971,93564928,Phase 1
[monitor_data] 1776457413425,96875448,3128834,3128834,94396416,Phase 1
[monitor_data] 1776457413871,97704044,3109309,3109309,95168512,Phase 1
[monitor_data] 1776457414288,98476708,3089953,3089953,95979520,Phase 1
[monitor_data] 1776457414724,99286356,3069528,3069528,96755712,Phase 1
[monitor_data] 1776457415143,100063688,3050296,3050296,97540096,Phase 1
[monitor_data] 1776457415566,100849708,3030160,3030160,98369536,Phase 1
[monitor_data] 1776457416013,101679688,3008855,3008855,99205120,Phase 1
[monitor_data] 1776457416464,102515976,2988095,2988095,100032512,Phase 1
[monitor_data] 1776457416911,103340724,2968216,2968216,100837376,Phase 1
[monitor_data] 1776457417348,104146228,2947554,2947554,101691392,Phase 1
[monitor_data] 1776457417809,104997080,2926819,2926819,102506496,Phase 1
[monitor_data] 1776457418254,105818916,2905972,2905972,103354368,Phase 1
[monitor_data] 1776457418712,106663444,2885137,2885137,104157184,Phase 1
[monitor_data] 1776457419148,107466492,2864700,2864700,104970240,Phase 1
[monitor_data] 1776457419589,108277680,2844997,2844997,105797632,Phase 1
[monitor_data] 1776457420038,109105956,2824026,2824026,106598400,Phase 1
