[monitor_start] Monitoring PID 2962455 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776449359988,13804,0,0,0,
[monitor_data] 1776449391425,13804,43507,43507,51200,
[monitor_data] 1776449398985,100732,44550,44550,55296,
[monitor_data] 1776449399503,104768,45799,45799,135168,
[monitor_data] 1776449399974,188516,48544,48544,2390016,
[monitor_data] 1776449400413,1411428,46760,46760,2920448,Phase 1
[monitor_data] 1776449400851,2602656,46761,46761,2922496,Phase 1
[monitor_data] 1776449401294,3041748,118038,118038,2926592,Phase 1
[monitor_data] 1776449401736,3113208,117974,117974,2926592,Phase 1
[monitor_data] 1776449402137,3113208,117356,117356,2885632,Phase 1
[monitor_data] 1776449402577,3113868,135533,135533,2885632,Phase 1
[monitor_data] 1776449403007,3131792,135533,135533,2885632,Phase 1
[monitor_data] 1776449403429,3131792,135015,135015,2879488,Phase 1
[monitor_data] 1776449403885,3131860,135333,135333,3452928,Phase 1
[monitor_data] 1776449404352,3380880,135334,135334,3452928,Phase 1
[monitor_data] 1776449404770,3705368,134182,134182,3448832,Phase 1
[monitor_data] 1776449405171,3705420,134311,134311,3448832,Phase 1
[monitor_data] 1776449405595,3705448,134311,134311,3448832,Phase 1
[monitor_data] 1776449406016,3705448,134179,134179,3448832,Phase 1
[monitor_data] 1776449406438,3705984,134179,134179,3448832,Phase 1
[monitor_data] 1776449406850,3722240,152228,152228,3448832,Phase 1
[monitor_data] 1776449407255,3722240,152228,152228,3491840,Phase 1
[monitor_data] 1776449407653,3765568,152141,152141,4220928,Phase 1
[monitor_data] 1776449408068,4484532,174151,174151,4907008,Phase 1
[monitor_data] 1776449408471,5174976,174207,174207,5636096,Phase 1
[monitor_data] 1776449408894,5904420,174260,174260,6391808,Phase 1
[monitor_data] 1776449409332,6658892,174192,174192,7092224,Phase 1
[monitor_data] 1776449409736,7441376,280003,280003,7747584,Phase 1
[monitor_data] 1776449410149,8126216,307490,307490,8445952,Phase 1
