[monitor_start] Monitoring PID 1173936 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776507316461,13688,0,0,16384,
[monitor_data] 1776507346542,66700,38905,38905,67584,
[monitor_data] 1776507347035,93012,38931,38931,77824,
[monitor_data] 1776507347575,103288,38934,38934,94208,
[monitor_data] 1776507348101,126016,39206,39206,8718336,
[monitor_data] 1776507348561,849828,39206,39206,8718336,
[monitor_data] 1776507348992,1948272,39206,39206,8718336,
[monitor_data] 1776507349439,3085588,39206,39206,8718336,
[monitor_data] 1776507349881,4210380,39206,39206,8718336,
[monitor_data] 1776507350327,5345960,39206,39206,8718336,
[monitor_data] 1776507350784,6510748,39206,39206,8718336,
[monitor_data] 1776507351223,7629612,39206,39206,8718336,
[monitor_data] 1776507351668,8759744,39206,39206,13017088,Phase 2
[monitor_data] 1776507352094,9844900,39206,39206,13017088,Phase 2
[monitor_data] 1776507352538,10975600,39206,39206,13017088,Phase 2
[monitor_data] 1776507352993,12132900,39206,39206,13017088,Phase 2
[monitor_data] 1776507353458,13050276,39207,39207,13017088,Phase 2
[monitor_data] 1776507353902,13050312,39207,39207,13017088,Phase 2
[monitor_data] 1776507354331,13050312,39207,39207,13017088,Phase 2
[monitor_data] 1776507354780,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507355239,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507355667,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507356080,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507356499,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507356923,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507357343,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507357780,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507358198,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507358620,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507359039,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507359470,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507359905,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507360340,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507360780,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507361216,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507361643,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507362066,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507362497,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507362920,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507363351,13050320,39207,39207,13017088,Phase 2
[monitor_data] 1776507363792,13050320,39207,39207,13017088,Phase 2
