[monitor_start] Monitoring PID 159626 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776515487864,15700,0,0,63488,
[monitor_data] 1776515517939,95924,38939,38939,75776,
[monitor_data] 1776515518443,108380,38941,38941,104448,
[monitor_data] 1776515518987,146608,39212,39212,8714240,
[monitor_data] 1776515519444,1155780,39212,39212,8714240,
[monitor_data] 1776515519928,2539476,39212,39212,8714240,
[monitor_data] 1776515520351,3820888,39212,39212,8714240,
[monitor_data] 1776515520786,5138908,39212,39212,8714240,
[monitor_data] 1776515521245,6548260,39212,39212,8714240,
[monitor_data] 1776515521681,7930232,39212,39212,13012992,Phase 2
[monitor_data] 1776515522110,9260200,39212,39212,13012992,Phase 2
[monitor_data] 1776515522529,10512452,39212,39212,13012992,Phase 2
[monitor_data] 1776515522959,11796756,39212,39212,13012992,Phase 2
[monitor_data] 1776515523390,13054500,39213,39213,13012992,Phase 2
[monitor_data] 1776515523834,13054536,39213,39213,13012992,Phase 2
[monitor_data] 1776515524280,13054536,39213,39213,13012992,Phase 2
[monitor_data] 1776515524738,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515525201,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515525622,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515526055,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515526480,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515526894,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515527324,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515527728,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515528146,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515528552,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515528996,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515529419,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515529854,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515530284,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515530697,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515531131,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515531535,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515531980,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515532404,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515532822,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515533256,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515533670,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515534087,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515534512,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515534941,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515535365,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515535802,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515536236,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515536672,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515537109,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515537535,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515537952,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515538366,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515538787,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515539206,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515539627,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515540038,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515540459,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515540887,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515541314,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515541738,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515542163,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515542592,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515543027,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515543441,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515543851,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515544271,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515544690,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515545099,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515545523,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515545953,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515546403,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515546856,13054548,39213,39213,13012992,Phase 2
[monitor_data] 1776515547291,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515547720,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515548134,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515548548,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515548990,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515549411,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515549819,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515550240,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515550665,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515551073,13054564,39213,39213,13012992,Phase 2
[monitor_data] 1776515551496,13054564,39228,39228,13328384,Phase 2
[monitor_data] 1776515551943,13385616,39256,39256,13678592,Phase 2
[monitor_data] 1776515552360,13736564,67703,67703,14030848,Phase 2
[monitor_data] 1776515552793,14113768,67731,67731,14364672,Phase 2
[monitor_data] 1776515553217,14448536,67758,67758,14694400,Phase 2
[monitor_data] 1776515553643,14778556,67785,67785,15034368,Phase 2
[monitor_data] 1776515554078,15116660,67811,67811,15370240,Phase 2
[monitor_data] 1776515554515,15454648,67838,67838,15710208,Phase 2
[monitor_data] 1776515554952,15793308,67866,67866,16044032,Phase 2
[monitor_data] 1776515555380,16126320,67892,67892,16377856,Phase 2
[monitor_data] 1776515555812,16461776,67919,67919,16721920,Phase 2
[monitor_data] 1776515556245,16805136,67946,67946,17047552,Phase 2
[monitor_data] 1776515556660,17131136,67972,67972,17358848,Phase 2
[monitor_data] 1776515557075,17442184,67997,67997,17692672,Phase 2
[monitor_data] 1776515557500,17776748,68025,68025,18022400,Phase 2
[monitor_data] 1776515557929,18106668,68050,68050,18337792,Phase 2
[monitor_data] 1776515558346,18420232,67378,67378,18579456,Phase 2
[monitor_data] 1776515558777,18697732,67405,67405,18915328,Phase 2
[monitor_data] 1776515559197,19033232,67432,67432,19267584,Phase 2
[monitor_data] 1776515559638,19385484,67461,67461,19621888,Phase 2
[monitor_data] 1776515560085,19740544,67488,67488,19953664,Phase 2
[monitor_data] 1776515560502,20072128,67515,67515,20295680,Phase 2
[monitor_data] 1776515560930,20413284,67542,67542,20625408,Phase 2
[monitor_data] 1776515561345,20744872,67568,67568,20948992,Phase 2
[monitor_data] 1776515561750,21067888,67594,67594,21274624,Phase 2
[monitor_data] 1776515562158,21393440,67621,67621,21624832,Phase 2
[monitor_data] 1776515562598,21743536,67649,67649,21972992,Phase 2
[monitor_data] 1776515563033,22090648,67677,67677,22321152,Phase 2
[monitor_data] 1776515563471,22439632,67704,67704,22654976,Phase 2
[monitor_data] 1776515563891,22771772,67731,67731,22992896,Phase 2
[monitor_data] 1776515564316,23110852,67758,67758,23312384,Phase 2
[monitor_data] 1776515564717,23430748,67784,67784,23648256,Phase 2
[monitor_data] 1776515565139,23766800,67810,67810,23965696,Phase 2
[monitor_data] 1776515565538,24084284,67836,67836,24303616,Phase 2
[monitor_data] 1776515565961,24421564,67863,67863,24643584,Phase 2
[monitor_data] 1776515566392,24763668,67890,67890,24983552,Phase 2
[monitor_data] 1776515566817,25102512,67918,67918,25331712,Phase 2
[monitor_data] 1776515567254,25449584,67947,67947,25692160,Phase 2
[monitor_data] 1776515567706,25810104,67974,67974,26032128,Phase 2
[monitor_data] 1776515568132,26149272,68002,68002,26392576,Phase 2
[monitor_data] 1776515568587,26511456,68031,68031,26734592,Phase 2
[monitor_data] 1776515569015,26853376,68058,68058,27070464,Phase 2
[monitor_data] 1776515569435,27188456,68085,68085,27410432,Phase 2
[monitor_data] 1776515569862,27528120,68112,68112,27740160,Phase 2
[monitor_data] 1776515570290,27998720,504426,504426,28018688,Phase 2
[monitor_data] 1776515570705,28568556,504448,504448,28305408,Phase 2
[monitor_data] 1776515571113,28857404,504472,504472,28602368,Phase 2
[monitor_data] 1776515571520,29153528,504496,504496,28903424,Phase 2
[monitor_data] 1776515571934,29455688,504521,504521,29208576,Phase 2
[monitor_data] 1776515572355,29761576,504544,504544,29523968,Phase 2
[monitor_data] 1776515572788,30075800,504570,504570,29847552,Phase 2
[monitor_data] 1776515573232,30398260,504596,504596,30154752,Phase 2
[monitor_data] 1776515573655,30706892,504622,504622,30480384,Phase 2
[monitor_data] 1776515574100,31032152,504647,504647,30806016,Phase 2
[monitor_data] 1776515574542,31357588,504673,504673,31131648,Phase 2
[monitor_data] 1776515574985,31683524,504699,504699,31449088,Phase 2
[monitor_data] 1776515575414,32000144,504724,504724,31756288,Phase 2
[monitor_data] 1776515575835,32308892,504749,504749,32073728,Phase 2
[monitor_data] 1776515576269,32625028,504775,504775,32397312,Phase 2
[monitor_data] 1776515576710,32949116,504801,504801,32737280,Phase 2
[monitor_data] 1776515577172,33291004,504828,504828,33069056,Phase 2
[monitor_data] 1776515577611,33621576,504855,504855,33245184,Phase 2
[monitor_data] 1776515578042,33783020,504855,504855,33390592,Phase 2
[monitor_data] 1776515578532,33942772,504880,504880,33714176,Phase 2
[monitor_data] 1776515578969,34267136,504907,504907,34039808,Phase 2
[monitor_data] 1776515579406,34593456,504932,504932,34365440,Phase 2
[monitor_data] 1776515579844,34917052,504958,504958,34664448,Phase 2
[monitor_data] 1776515580252,35216872,504982,504982,34983936,Phase 2
[monitor_data] 1776515580688,35536972,505007,505007,35303424,Phase 2
[monitor_data] 1776515581118,35857232,505033,505033,35635200,Phase 2
[monitor_data] 1776515581559,36188512,505061,505061,35954688,Phase 2
[monitor_data] 1776515581991,36508476,505085,505085,36257792,Phase 2
[monitor_data] 1776515582397,36811368,505110,505110,36591616,Phase 2
[monitor_data] 1776515582842,37144436,505137,505137,36927488,Phase 2
[monitor_data] 1776515583289,37481000,505163,505163,37240832,Phase 2
[monitor_data] 1776515583706,37792908,505188,505188,37560320,Phase 2
[monitor_data] 1776515584136,38113068,505213,505213,37869568,Phase 2
[monitor_data] 1776515584552,38422208,505239,505239,38195200,Phase 2
[monitor_data] 1776515584992,38748204,505267,505267,38533120,Phase 2
[monitor_data] 1776515585442,39086492,505292,505292,38864896,Phase 2
[monitor_data] 1776515585889,39418028,505319,505319,39182336,Phase 2
[monitor_data] 1776515586317,39735140,505343,505343,39495680,Phase 2
[monitor_data] 1776515586735,40048824,505369,505369,39817216,Phase 2
[monitor_data] 1776515587170,40371400,505395,505395,40142848,Phase 2
[monitor_data] 1776515587612,40697612,505422,505422,40474624,Phase 2
[monitor_data] 1776515588057,41027416,505448,505448,40790016,Phase 2
[monitor_data] 1776515588489,41343368,505473,505473,41121792,Phase 2
[monitor_data] 1776515588945,41675608,505500,505500,41439232,Phase 2
[monitor_data] 1776515589379,41991456,505525,505525,41760768,Phase 2
[monitor_data] 1776515589830,42314224,505550,505550,42061824,Phase 2
[monitor_data] 1776515590242,42614988,505574,505574,42373120,Phase 2
[monitor_data] 1776515590666,42925624,505600,505600,42684416,Phase 2
[monitor_data] 1776515591091,43237200,505626,505626,43005952,Phase 2
[monitor_data] 1776515591532,43559636,505650,505650,43339776,Phase 2
[monitor_data] 1776515591987,43894356,505676,505676,43636736,Phase 2
[monitor_data] 1776515592394,44190292,505700,505700,43937792,Phase 2
[monitor_data] 1776515592805,44491400,505725,505725,44247040,Phase 2
[monitor_data] 1776515593222,44799860,505748,505748,44546048,Phase 2
