[monitor_start] Monitoring PID 877922 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776524104783,13664,0,0,51200,
[monitor_data] 1776524134821,69472,38905,38905,65536,
[monitor_data] 1776524135279,91240,38933,38933,75776,
[monitor_data] 1776524135811,101336,38937,38937,86016,
[monitor_data] 1776524136334,114060,39163,39163,8716288,
[monitor_data] 1776524136777,685576,39210,39210,8716288,
[monitor_data] 1776524137191,1885108,39210,39210,8716288,
[monitor_data] 1776524137619,3127732,39210,39210,8716288,
[monitor_data] 1776524138043,4359636,39210,39210,8716288,
[monitor_data] 1776524138448,5534440,39210,39210,8716288,
[monitor_data] 1776524138889,6815008,39210,39210,8716288,
[monitor_data] 1776524139310,8036880,39210,39210,13015040,Phase 2
[monitor_data] 1776524139732,9259012,39210,39210,13015040,Phase 2
[monitor_data] 1776524140155,10488832,39210,39210,13015040,Phase 2
[monitor_data] 1776524140570,11696564,39210,39210,13015040,Phase 2
[monitor_data] 1776524140993,12930328,39210,39210,13015040,Phase 2
[monitor_data] 1776524141417,13047600,39211,39211,13015040,Phase 2
[monitor_data] 1776524141833,13047600,39211,39211,13015040,Phase 2
[monitor_data] 1776524142254,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524142680,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524143083,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524143530,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524143943,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524144375,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524144792,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524145220,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524145620,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524146029,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524146449,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524146866,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524147287,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524147753,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524148205,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524148647,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524149078,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524149526,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524149957,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524150391,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524150820,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524151283,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524151723,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524152152,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524152607,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524153065,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524153503,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524153894,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524154319,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524154743,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524155164,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524155613,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524156047,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524156440,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524156850,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524157268,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524157682,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524158105,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524158522,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524158941,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524159358,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524159761,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524160178,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524160602,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524161012,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524161411,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524161820,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524162224,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524162646,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524163077,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524163510,13047616,39211,39211,13015040,Phase 2
[monitor_data] 1776524163944,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524164359,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524164780,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524165197,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524165630,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524166026,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524166441,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524166883,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524167318,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524167753,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524168173,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524168601,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524169045,13047636,39211,39211,13015040,Phase 2
[monitor_data] 1776524169469,13047636,39226,39226,13312000,Phase 2
[monitor_data] 1776524169880,13357292,39254,39254,13660160,Phase 2
[monitor_data] 1776524170300,13705736,39281,39281,13985792,Phase 2
[monitor_data] 1776524170719,14056444,67981,67981,14288896,Phase 2
[monitor_data] 1776524171137,14360188,68005,68005,14596096,Phase 2
[monitor_data] 1776524171556,14667792,68030,68030,14913536,Phase 2
[monitor_data] 1776524171987,14985692,68056,68056,15228928,Phase 2
[monitor_data] 1776524172410,15302108,68078,68078,15519744,Phase 2
[monitor_data] 1776524172811,15592544,68103,68103,15833088,Phase 2
[monitor_data] 1776524173225,15906208,68130,68130,16179200,Phase 2
[monitor_data] 1776524173674,16251780,68156,68156,16502784,Phase 2
[monitor_data] 1776524174088,16575268,68183,68183,16838656,Phase 2
[monitor_data] 1776524174534,16909972,67337,67337,17065984,Phase 2
[monitor_data] 1776524174963,17179120,67365,67365,17408000,Phase 2
[monitor_data] 1776524175396,17520428,67391,67391,17737728,Phase 2
[monitor_data] 1776524175814,17850072,67417,67417,18075648,Phase 2
[monitor_data] 1776524176244,18188496,67444,67444,18403328,Phase 2
[monitor_data] 1776524176660,18514968,67471,67471,18733056,Phase 2
[monitor_data] 1776524177078,18845252,67497,67497,19060736,Phase 2
[monitor_data] 1776524177496,19173684,67524,67524,19396608,Phase 2
[monitor_data] 1776524177921,19507976,67551,67551,19722240,Phase 2
[monitor_data] 1776524178336,19834588,67576,67576,20045824,Phase 2
[monitor_data] 1776524178746,20156988,67602,67602,20365312,Phase 2
[monitor_data] 1776524179154,20478168,67627,67627,20680704,Phase 2
[monitor_data] 1776524179555,20793588,67653,67653,20998144,Phase 2
[monitor_data] 1776524179956,21108996,67678,67678,21336064,Phase 2
[monitor_data] 1776524180385,21447440,67706,67706,21676032,Phase 2
[monitor_data] 1776524180819,21789476,67734,67734,22020096,Phase 2
[monitor_data] 1776524181254,22131148,67760,67760,22360064,Phase 2
[monitor_data] 1776524181685,22470936,67788,67788,22697984,Phase 2
[monitor_data] 1776524182117,22811056,67815,67815,23044096,Phase 2
[monitor_data] 1776524182554,23155292,67843,67843,23375872,Phase 2
[monitor_data] 1776524182977,23488728,67869,67869,23697408,Phase 2
[monitor_data] 1776524183385,23810080,67895,67895,24039424,Phase 2
[monitor_data] 1776524183816,24150008,67922,67922,24356864,Phase 2
[monitor_data] 1776524184222,24468404,67948,67948,24684544,Phase 2
[monitor_data] 1776524184639,24796852,67975,67975,25020416,Phase 2
[monitor_data] 1776524185067,25133808,68001,68001,25350144,Phase 2
[monitor_data] 1776524185487,25463244,68027,68027,25681920,Phase 2
[monitor_data] 1776524185907,25794092,68055,68055,26042368,Phase 2
[monitor_data] 1776524186363,26153904,68083,68083,26374144,Phase 2
[monitor_data] 1776524186784,26487264,68110,68110,26724352,Phase 2
[monitor_data] 1776524187223,26836748,68137,68137,27049984,Phase 2
[monitor_data] 1776524187644,27147160,68150,68150,27205632,Phase 2
[monitor_data] 1776524188248,27318912,68175,68175,27518976,Phase 2
[monitor_data] 1776524188651,27630864,68200,68200,27811840,Phase 2
[monitor_data] 1776524189056,28214012,504512,504512,28092416,Phase 2
[monitor_data] 1776524189455,28637416,504535,504535,28407808,Phase 2
[monitor_data] 1776524189876,28953436,504561,504561,28723200,Phase 2
[monitor_data] 1776524190309,29267940,504586,504586,29044736,Phase 2
[monitor_data] 1776524190739,29590384,504612,504612,29362176,Phase 2
[monitor_data] 1776524191167,29908680,504638,504638,29671424,Phase 2
[monitor_data] 1776524191580,30218944,504663,504663,29988864,Phase 2
[monitor_data] 1776524192002,30535788,504688,504688,30314496,Phase 2
[monitor_data] 1776524192430,30860456,504715,504715,30625792,Phase 2
[monitor_data] 1776524192841,31172580,504740,504740,30951424,Phase 2
[monitor_data] 1776524193266,31497476,504765,504765,31264768,Phase 2
[monitor_data] 1776524193683,31810172,504790,504790,31588352,Phase 2
[monitor_data] 1776524194112,32134764,504816,504816,31909888,Phase 2
[monitor_data] 1776524194537,32458272,504842,504842,32239616,Phase 2
[monitor_data] 1776524194970,32786016,504870,504870,32579584,Phase 2
[monitor_data] 1776524195416,33127172,504895,504895,32907264,Phase 2
[monitor_data] 1776524195850,33454980,504922,504922,33230848,Phase 2
[monitor_data] 1776524196281,33778120,504948,504948,33560576,Phase 2
[monitor_data] 1776524196717,34106908,504974,504974,33890304,Phase 2
[monitor_data] 1776524197158,34437332,505000,505000,34211840,Phase 2
[monitor_data] 1776524197583,34757888,505026,505026,34535424,Phase 2
[monitor_data] 1776524198014,35083000,505052,505052,34846720,Phase 2
[monitor_data] 1776524198424,35393688,505077,505077,35153920,Phase 2
[monitor_data] 1776524198831,35699600,505102,505102,35465216,Phase 2
[monitor_data] 1776524199241,36011968,505126,505126,35772416,Phase 2
[monitor_data] 1776524199648,36319320,505151,505151,36079616,Phase 2
[monitor_data] 1776524200057,36627068,505177,505177,36401152,Phase 2
[monitor_data] 1776524200482,36948348,505201,505201,36722688,Phase 2
[monitor_data] 1776524200909,37270464,505228,505228,37064704,Phase 2
[monitor_data] 1776524201364,37612296,505255,505255,37388288,Phase 2
[monitor_data] 1776524201796,37935472,505281,505281,37720064,Phase 2
[monitor_data] 1776524202232,38268720,505308,505308,38057984,Phase 2
[monitor_data] 1776524202676,38607444,505336,505336,38395904,Phase 2
[monitor_data] 1776524203119,38943668,505361,505361,38705152,Phase 2
[monitor_data] 1776524203533,39255920,505386,505386,39022592,Phase 2
[monitor_data] 1776524203949,39571340,505411,505411,39333888,Phase 2
[monitor_data] 1776524204362,39880332,505437,505437,39659520,Phase 2
[monitor_data] 1776524204792,40206408,505463,505463,39985152,Phase 2
[monitor_data] 1776524205219,40533484,505488,505488,40300544,Phase 2
[monitor_data] 1776524205633,40848840,505515,505515,40630272,Phase 2
[monitor_data] 1776524206069,41179084,505540,505540,40960000,Phase 2
[monitor_data] 1776524206504,41508216,505567,505567,41277440,Phase 2
[monitor_data] 1776524206923,41824604,505592,505592,41594880,Phase 2
[monitor_data] 1776524207343,42141796,505618,505618,41902080,Phase 2
[monitor_data] 1776524207751,42448896,505642,505642,42209280,Phase 2
[monitor_data] 1776524208161,42755976,505667,505667,42539008,Phase 2
[monitor_data] 1776524208598,43086572,505694,505694,42858496,Phase 2
[monitor_data] 1776524209022,43406344,505719,505719,43161600,Phase 2
[monitor_data] 1776524209423,43710256,505743,505743,43472896,Phase 2
[monitor_data] 1776524209834,44021680,505767,505767,43792384,Phase 2
[monitor_data] 1776524210262,44339800,505794,505794,44101632,Phase 2
[monitor_data] 1776524210680,44650472,505819,505819,44414976,Phase 2
[monitor_data] 1776524211097,44961868,505843,505843,44742656,Phase 2
[monitor_data] 1776524211536,45290580,505869,505869,45049856,Phase 2
[monitor_data] 1776524211947,45596968,505894,505894,45375488,Phase 2
[monitor_data] 1776524212384,45923180,505920,505920,45674496,Phase 2
[monitor_data] 1776524212792,46222432,505944,505944,45983744,Phase 2
