[monitor_start] Monitoring PID 2769403 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776702535086,15348,17597,17597,118784,
[monitor_data] 1776702551053,135476,20354,20354,1071104,Phase 1
[monitor_data] 1776702551479,1094112,21188,21188,1030144,Phase 1
[monitor_data] 1776702551900,1134400,19114,19114,1030144,Phase 1
[monitor_data] 1776702552333,1164616,49147,49147,1189888,Phase 1
[monitor_data] 1776702552771,1360668,48230,48230,1189888,Phase 1
[monitor_data] 1776702553209,1360864,47684,47684,1447936,Phase 1
[monitor_data] 1776702553648,1596660,60954,60954,2232320,Phase 1
[monitor_data] 1776702554083,2402460,66906,66906,3037184,Phase 1
[monitor_data] 1776702554511,3203732,125684,125684,3821568,Phase 1
[monitor_data] 1776702554957,4059320,128244,128244,4648960,Phase 1
[monitor_data] 1776702555404,4886364,130529,130529,5488640,Phase 1
[monitor_data] 1776702555863,5728960,130406,130406,6299648,Phase 1
[monitor_data] 1776702556309,6627020,244650,244650,7094272,Phase 1
[monitor_data] 1776702556769,7456452,275544,275544,7862272,Phase 1
[monitor_data] 1776702557204,8244580,253705,253705,8677376,Phase 1
[monitor_data] 1776702557646,9059140,257617,257617,9500672,Phase 1
[monitor_data] 1776702558093,9873832,279022,279022,10348544,Phase 1
[monitor_data] 1776702558552,10733140,279183,279183,11155456,Phase 1
[monitor_data] 1776702558989,11548176,448952,448952,11954176,Phase 1
[monitor_data] 1776702559437,12521284,484271,484271,12752896,Phase 1
[monitor_data] 1776702559895,13355912,520706,520706,13545472,Phase 1
[monitor_data] 1776702560349,14181888,552450,552450,14307328,Phase 1
[monitor_data] 1776702560785,14974976,556024,556024,15110144,Phase 1
[monitor_data] 1776702561223,15781236,528627,528627,15908864,Phase 1
[monitor_data] 1776702561654,16578280,500939,500939,16730112,Phase 1
[monitor_data] 1776702562098,17389492,471475,471475,17573888,Phase 1
[monitor_data] 1776702562555,18237248,488234,488234,18397184,Phase 1
[monitor_data] 1776702563002,19048372,540978,540978,19251200,Phase 1
[monitor_data] 1776702563463,19908184,539609,539609,20043776,Phase 1
[monitor_data] 1776702563885,20705212,546952,546952,20826112,Phase 1
[monitor_data] 1776702564302,21512324,555199,555199,21563392,Phase 1
[monitor_data] 1776702564872,22259924,571654,571654,22423552,Phase 1
[monitor_data] 1776702565332,23133044,598338,598338,23246848,Phase 1
[monitor_data] 1776702565780,23921524,597093,597093,24074240,Phase 1
[monitor_data] 1776702566220,24748044,999297,999297,24834048,Phase 1
[monitor_data] 1776702566656,25914480,1026062,1026062,25647104,Phase 1
[monitor_data] 1776702567120,26764064,1059898,1059898,26470400,Phase 1
[monitor_data] 1776702567589,27621932,1091228,1091228,27228160,Phase 1
[monitor_data] 1776702568018,28407792,1121206,1121206,28014592,Phase 1
[monitor_data] 1776702568473,29226304,1151217,1151217,28794880,Phase 1
[monitor_data] 1776702568923,30035752,1179867,1179867,29548544,Phase 1
[monitor_data] 1776702569359,30816940,1207098,1207098,30298112,Phase 1
[monitor_data] 1776702569791,31593916,1234489,1234489,31084544,Phase 1
[monitor_data] 1776702570239,32410008,1254759,1254759,31862784,Phase 1
[monitor_data] 1776702570666,33197044,1229785,1229785,32700416,Phase 1
[monitor_data] 1776702571116,34035124,1203419,1203419,33523712,Phase 1
[monitor_data] 1776702571559,34857284,1176907,1176907,34299904,Phase 1
[monitor_data] 1776702571978,35636924,1150983,1150983,35135488,Phase 1
[monitor_data] 1776702572424,36470152,1125225,1125225,35950592,Phase 1
[monitor_data] 1776702572863,37278396,1097334,1097334,36763648,Phase 1
[monitor_data] 1776702573300,38058168,1070834,1070834,37574656,Phase 1
[monitor_data] 1776702573737,38835980,1042973,1042973,38418432,Phase 1
[monitor_data] 1776702574190,39645420,1014775,1014775,39241728,Phase 1
[monitor_data] 1776702574636,40469248,1080843,1080843,40050688,Phase 1
[monitor_data] 1776702575076,41278488,1170370,1170370,40835072,Phase 1
[monitor_data] 1776702575504,42151124,1184770,1184770,41637888,Phase 1
[monitor_data] 1776702575933,42989620,1201220,1201220,42436608,Phase 1
[monitor_data] 1776702576359,43802368,1234051,1234051,43249664,Phase 1
[monitor_data] 1776702576796,44629936,1234118,1234118,43765760,Phase 2
[monitor_data] 1776702577238,45125796,1299662,1299662,43765760,Phase 2
[monitor_data] 1776702577665,45140132,1299662,1299662,43765760,Phase 2
[monitor_data] 1776702578107,45154468,1299660,1299660,43765760,Phase 2
[monitor_data] 1776702578551,45154468,1299660,1299660,43763712,Phase 2
[monitor_data] 1776702578984,45064376,1299416,1299416,43761664,Phase 2
[monitor_data] 1776702579409,45067588,1299416,1299416,43761664,Phase 2
[monitor_data] 1776702579834,45574896,1918984,1918984,43958272,Phase 2
[monitor_data] 1776702580253,45818692,1948377,1948377,43958272,Phase 2
[monitor_data] 1776702580689,45850952,1980865,1980865,43960320,Phase 3.1
[monitor_data] 1776702581122,45884812,2022095,2022095,43960320,Phase 3.1
[monitor_data] 1776702581568,45932528,2070026,2070026,43960320,Phase 3.1
[monitor_data] 1776702582042,45981140,2115418,2115418,43960320,Phase 3.1
[monitor_data] 1776702582495,46026212,2160798,2160798,43960320,Phase 3.1
[monitor_data] 1776702582953,46067084,2192028,2192028,43960320,Phase 3.1
[monitor_data] 1776702583395,46095980,2221702,2221702,43960320,Phase 3.1
[monitor_data] 1776702583855,46125568,2249102,2249102,43960320,Phase 3.1
[monitor_data] 1776702584305,46154560,2279700,2279700,43960320,Phase 3.1
[monitor_data] 1776702584761,46183876,2307088,2307088,43960320,Phase 3.1
[monitor_data] 1776702585222,46212612,2335851,2335851,43960320,Phase 3.1
[monitor_data] 1776702585664,46239432,2353032,2353032,43960320,Phase 3.2
[monitor_data] 1776702586092,46247700,2360860,2360860,43960320,Phase 3.2
[monitor_data] 1776702586539,46255900,2369136,2369136,43960320,Phase 3.2
[monitor_data] 1776702587015,46264552,2358425,2358425,43960320,Phase 3.2
[monitor_data] 1776702587471,46264964,2331879,2331879,43960320,Phase 3.2
[monitor_data] 1776702587926,46256340,2306874,2306874,43960320,Phase 3.2
[monitor_data] 1776702588381,46256340,2280385,2280385,43960320,Phase 3.2
[monitor_data] 1776702588851,46214656,2254741,2254741,43960320,Phase 3.2
[monitor_data] 1776702589297,46214656,2229224,2229224,43960320,Phase 3.2
[monitor_data] 1776702589754,46214656,2201509,2201509,43960320,Phase 3.3
[monitor_data] 1776702590226,46217544,2182743,2182743,43960320,Phase 3.3
[monitor_data] 1776702590683,46200840,2164720,2164720,43960320,Phase 3.3
[monitor_data] 1776702591121,46207784,2145781,2145781,43960320,Phase 3.3
[monitor_data] 1776702591574,46167208,2121751,2121751,43960320,Phase 3.3
[monitor_data] 1776702592008,46167208,2096346,2096346,43960320,Phase 3.3
[monitor_data] 1776702592439,46167208,2071312,2071312,43960320,Phase 3.3
[monitor_data] 1776702592884,46167208,2046499,2046499,43960320,Phase 3.3
[monitor_data] 1776702593318,46167208,2022025,2022025,43960320,Phase 3.3
[monitor_data] 1776702593765,46167208,2197268,2197268,43960320,Phase 3.3
[monitor_data] 1776702594211,46118952,2202880,2202880,43960320,Phase 3.4
[monitor_data] 1776702594645,46118960,2214535,2214535,43960320,Phase 3.4
[monitor_data] 1776702595109,46118960,2216164,2216164,43960320,Phase 3.4
[monitor_data] 1776702595539,46261472,2382288,2382288,43960320,Phase 3.4
[monitor_data] 1776702595975,46290248,2387465,2387465,43960320,Phase 3.4
[monitor_data] 1776702596418,46321224,2387150,2387150,43960320,Phase 3.4
[monitor_data] 1776702596862,46351944,2385026,2385026,43960320,Phase 3.4
[monitor_data] 1776702597307,46384712,2449102,2449102,43960320,Phase 3.4
[monitor_data] 1776702597770,46419528,2445789,2445789,43960320,Phase 3.5
[monitor_data] 1776702598192,46450248,2448474,2448474,43960320,Phase 3.5
[monitor_data] 1776702598604,46460488,2445882,2445882,43960320,Phase 3.5
[monitor_data] 1776702599059,46460488,2425453,2425453,43960320,Phase 3.5
[monitor_data] 1776702599484,46460488,2403019,2403019,43960320,Phase 3.5
[monitor_data] 1776702599906,46426840,2379553,2379553,43960320,Phase 3.5
[monitor_data] 1776702600352,46426840,2374718,2374718,43960320,Phase 3.5
[monitor_data] 1776702600785,46426840,2361980,2361980,43567104,Phase 3.5
[monitor_data] 1776702601231,46234344,2361852,2361852,43567104,Phase 3.5
[monitor_data] 1776702601661,46234344,2365732,2365732,43569152,Phase 3.5
[monitor_data] 1776702602114,46242256,2372938,2372938,43569152,Phase 3.5
[monitor_data] 1776702602529,46249384,2380271,2380271,43569152,Phase 3.5
[monitor_data] 1776702602967,46256948,2387834,2387834,43569152,Phase 3.5
[monitor_data] 1776702603418,46264760,2395360,2395360,43569152,Phase 3.5
[monitor_data] 1776702603848,46272208,2403003,2403003,43569152,Phase 3.5
[monitor_data] 1776702604289,46279912,2410275,2410275,43569152,Phase 3.5
[monitor_data] 1776702604741,46287780,2418144,2418144,43569152,Phase 3.5
[monitor_data] 1776702605173,46295340,2425401,2425401,43569152,Phase 3.5
[monitor_data] 1776702605596,46302828,2433121,2433121,43569152,Phase 3.5
