[monitor_start] Monitoring PID 3854120 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776730058500,15316,19828,19828,854016,
[monitor_data] 1776730074416,849784,19838,19838,997376,Phase 1
[monitor_data] 1776730074827,1139244,17979,17979,997376,Phase 1
[monitor_data] 1776730075271,1169364,48058,48058,1189888,Phase 1
[monitor_data] 1776730075703,1364828,48598,48598,1189888,Phase 1
[monitor_data] 1776730076098,1364932,47704,47704,1212416,Phase 1
[monitor_data] 1776730076518,1394788,47741,47741,1890304,Phase 1
[monitor_data] 1776730076904,2069664,71383,71383,2594816,Phase 1
[monitor_data] 1776730077297,2775068,71158,71158,3280896,Phase 1
[monitor_data] 1776730077681,3463036,132821,132821,3962880,Phase 1
[monitor_data] 1776730078086,4214360,143723,143723,4663296,Phase 1
[monitor_data] 1776730078483,4918988,140798,140798,5402624,Phase 1
[monitor_data] 1776730078902,5658912,140664,140664,6135808,Phase 1
[monitor_data] 1776730079309,6392476,238253,238253,6883328,Phase 1
[monitor_data] 1776730079746,7247988,274099,274099,7636992,Phase 1
[monitor_data] 1776730080191,8036260,288811,288811,8374272,Phase 1
[monitor_data] 1776730080607,8780612,263762,263762,9121792,Phase 1
[monitor_data] 1776730081025,9527344,238233,238233,9920512,Phase 1
[monitor_data] 1776730081474,10321988,287112,287112,10692608,Phase 1
[monitor_data] 1776730081908,11115360,286896,286896,11452416,Phase 1
[monitor_data] 1776730082335,11874348,286650,286650,12150784,Phase 1
[monitor_data] 1776730082724,12572016,477789,477789,12840960,Phase 1
[monitor_data] 1776730083135,13434876,511280,511280,13535232,Phase 1
[monitor_data] 1776730083543,14163028,543264,543264,14233600,Phase 1
[monitor_data] 1776730083952,14891456,574644,574644,14942208,Phase 1
[monitor_data] 1776730084368,15633076,584652,584652,15708160,Phase 1
[monitor_data] 1776730084798,16401948,561952,561952,16451584,Phase 1
[monitor_data] 1776730085214,17146288,540246,540246,17205248,Phase 1
[monitor_data] 1776730085634,17897524,517197,517197,17954816,Phase 1
[monitor_data] 1776730086055,18649876,493893,493893,18728960,Phase 1
[monitor_data] 1776730086488,19423264,511665,511665,19466240,Phase 1
[monitor_data] 1776730086902,20161208,563789,563789,20164608,Phase 1
[monitor_data] 1776730087299,20935176,588103,588103,20934656,Phase 1
[monitor_data] 1776730087731,21736548,612742,612742,21727232,Phase 1
[monitor_data] 1776730088175,22543444,612808,612808,22591488,Phase 1
[monitor_data] 1776730088658,23409192,612878,612878,23433216,Phase 1
[monitor_data] 1776730089128,24203884,613100,613100,24160256,Phase 1
[monitor_data] 1776730089539,24936288,612581,612581,24875008,Phase 1
[monitor_data] 1776730089955,25935308,1016201,1016201,25604096,Phase 1
[monitor_data] 1776730090399,26744608,1047044,1047044,26431488,Phase 1
[monitor_data] 1776730090900,27605084,1081057,1081057,27287552,Phase 1
[monitor_data] 1776730091407,28497328,1112690,1112690,28059648,Phase 1
[monitor_data] 1776730091863,29297728,1142109,1142109,28825600,Phase 1
[monitor_data] 1776730092317,30094128,1172042,1172042,29593600,Phase 1
[monitor_data] 1776730092773,30892504,1200826,1200826,30318592,Phase 1
[monitor_data] 1776730093205,31646944,1229314,1229314,31080448,Phase 1
[monitor_data] 1776730093657,32436204,1247902,1247902,31850496,Phase 1
[monitor_data] 1776730094095,33212248,1225533,1225533,32651264,Phase 1
[monitor_data] 1776730094548,34016480,1203618,1203618,33464320,Phase 1
[monitor_data] 1776730095005,34829236,1181162,1181162,34260992,Phase 1
[monitor_data] 1776730095455,35626024,1159910,1159910,35049472,Phase 1
[monitor_data] 1776730095898,36415128,1138849,1138849,35854336,Phase 1
[monitor_data] 1776730096347,37215904,1117153,1117153,36636672,Phase 1
[monitor_data] 1776730096790,37999288,1092603,1092603,37406720,Phase 1
[monitor_data] 1776730097225,38769448,1069584,1069584,38174720,Phase 1
[monitor_data] 1776730097662,39540640,1045870,1045870,38955008,Phase 1
[monitor_data] 1776730098101,40317640,1022421,1022421,39729152,Phase 1
[monitor_data] 1776730098539,41091676,1096014,1096014,40527872,Phase 1
[monitor_data] 1776730098992,41866360,1095949,1095949,41285632,Phase 1
[monitor_data] 1776730099421,42648340,1188781,1188781,42024960,Phase 1
[monitor_data] 1776730099841,43457084,1188841,1188841,42807296,Phase 1
[monitor_data] 1776730100282,44262488,1238054,1238054,43536384,Phase 1
[monitor_data] 1776730100694,45014984,1238112,1238112,44263424,Phase 1
[monitor_data] 1776730101103,45754260,1238173,1238173,45082624,Phase 1
[monitor_data] 1776730101565,46585692,1238241,1238241,45910016,Phase 1
[monitor_data] 1776730102031,47417260,1336593,1336593,46106624,Phase 2
[monitor_data] 1776730102469,47582648,1336592,1336592,46106624,Phase 2
[monitor_data] 1776730102922,47582648,1336592,1336592,46106624,Phase 2
[monitor_data] 1776730103377,47582648,1336591,1336591,46106624,Phase 2
[monitor_data] 1776730103815,47582648,1335805,1335805,46104576,Phase 2
[monitor_data] 1776730104265,47486100,1335549,1335549,46104576,Phase 2
[monitor_data] 1776730104728,47610508,2008317,2008317,46301184,Phase 2
[monitor_data] 1776730105188,48236912,2040556,2040556,46301184,Phase 2
[monitor_data] 1776730105623,48301564,2070161,2070161,46301184,Phase 2
[monitor_data] 1776730106038,48331508,2102845,2102845,46303232,Phase 3.1
[monitor_data] 1776730106476,48375020,2151119,2151119,46303232,Phase 3.1
[monitor_data] 1776730106909,48422088,2195390,2195390,46303232,Phase 3.1
[monitor_data] 1776730107322,48466064,2239270,2239270,46303232,Phase 3.1
[monitor_data] 1776730107746,48510384,2282147,2282147,46303232,Phase 3.1
[monitor_data] 1776730108177,48549776,2315985,2315985,46303232,Phase 3.1
[monitor_data] 1776730108621,48582644,2348130,2348130,46303232,Phase 3.1
[monitor_data] 1776730109069,48615924,2380018,2380018,46303232,Phase 3.1
[monitor_data] 1776730109487,48646896,2410518,2410518,46303232,Phase 3.1
[monitor_data] 1776730109905,48677960,2442711,2442711,46303232,Phase 3.1
[monitor_data] 1776730110367,48710640,2462771,2462771,46303232,Phase 3.1
[monitor_data] 1776730110810,48718188,2470611,2470611,46303232,Phase 3.2
[monitor_data] 1776730111262,48725920,2457715,2457715,46303232,Phase 3.2
[monitor_data] 1776730111701,48732992,2444001,2444001,46303232,Phase 3.2
[monitor_data] 1776730112144,48740148,2427505,2427505,46303232,Phase 3.2
[monitor_data] 1776730112612,48741436,2406446,2406446,46303232,Phase 3.2
[monitor_data] 1776730113051,48741436,2385702,2385702,46303232,Phase 3.2
[monitor_data] 1776730113499,48741436,2365646,2365646,46303232,Phase 3.2
[monitor_data] 1776730113915,48741436,2345514,2345514,46303232,Phase 3.2
[monitor_data] 1776730114367,48741436,2325310,2325310,46303232,Phase 3.2
[monitor_data] 1776730114796,48741436,2305322,2305322,46303232,Phase 3.3
[monitor_data] 1776730115244,48741728,2288633,2288633,46303232,Phase 3.3
[monitor_data] 1776730115672,48748708,2258083,2258083,46303232,Phase 3.3
[monitor_data] 1776730116110,48749600,2240031,2240031,46303232,Phase 3.3
[monitor_data] 1776730116547,48694136,2216951,2216951,46303232,Phase 3.3
[monitor_data] 1776730116986,48694136,2191510,2191510,46303232,Phase 3.3
[monitor_data] 1776730117440,48633824,2166207,2166207,46303232,Phase 3.3
[monitor_data] 1776730117866,48633836,2141379,2141379,46303232,Phase 3.3
[monitor_data] 1776730118297,48633836,2116267,2116267,46303232,Phase 3.3
[monitor_data] 1776730118728,48628612,2090612,2090612,46303232,Phase 3.3
[monitor_data] 1776730119147,48576476,2269556,2269556,46303232,Phase 3.4
[monitor_data] 1776730119572,48600256,2281662,2281662,46303232,Phase 3.4
[monitor_data] 1776730120007,48600256,2288658,2288658,46303232,Phase 3.4
[monitor_data] 1776730120452,48600256,2288658,2288658,46303232,Phase 3.4
[monitor_data] 1776730120867,48781288,2486389,2486389,46303232,Phase 3.4
[monitor_data] 1776730121292,48886724,2528175,2528175,46303232,Phase 3.4
[monitor_data] 1776730121698,48939304,2578717,2578717,46303232,Phase 3.4
[monitor_data] 1776730122105,48997232,2577415,2577415,46303232,Phase 3.4
[monitor_data] 1776730122533,49052536,2674550,2674550,46303232,Phase 3.4
[monitor_data] 1776730122966,49111928,2676449,2676449,46303232,Phase 3.5
[monitor_data] 1776730123418,49173368,2682222,2682222,46303232,Phase 3.5
[monitor_data] 1776730123839,49274444,3081178,3081178,46303232,Phase 3.5
[monitor_data] 1776730124280,49298056,3081118,3081118,46303232,Phase 3.5
[monitor_data] 1776730124718,49359496,3079550,3079550,46303232,Phase 3.5
[monitor_data] 1776730125152,49416840,3065541,3065541,46303232,Phase 3.5
[monitor_data] 1776730125595,49416840,3042147,3042147,46303232,Phase 3.5
[monitor_data] 1776730126046,49416840,3014652,3014652,46303232,Phase 3.5
[monitor_data] 1776730126498,49416840,2986775,2986775,46303232,Phase 3.5
[monitor_data] 1776730126930,49416840,2984631,2984631,45910016,Phase 3.5
[monitor_data] 1776730127399,48849532,2971395,2971395,45910016,Phase 3.5
[monitor_data] 1776730127848,48849540,2971395,2971395,45910016,Phase 3.5
[monitor_data] 1776730128316,48851024,2985213,2985213,45910016,Phase 3.5
[monitor_data] 1776730128754,48860800,2992054,2992054,45910016,Phase 3.5
[monitor_data] 1776730129219,48868256,2999963,2999963,45910016,Phase 3.5
[monitor_data] 1776730129674,48876284,3008557,3008557,45910016,Phase 3.5
[monitor_data] 1776730130130,48884608,3017661,3017661,45910016,Phase 3.5
[monitor_data] 1776730130585,48892920,3026158,3026158,45910016,Phase 3.5
[monitor_data] 1776730131012,48900600,3034451,3034451,45910016,Phase 3.5
[monitor_data] 1776730131447,48908360,3042614,3042614,45910016,Phase 3.5
[monitor_data] 1776730131883,48916168,3051159,3051159,45910016,Phase 3.5
[monitor_data] 1776730132328,48922520,3040257,3040257,45910016,Phase 3.5
[monitor_data] 1776730132741,48922520,3019989,3019989,45910016,Phase 3.5
[monitor_data] 1776730133181,48922520,3003877,3003877,45912064,Phase 4
[monitor_data] 1776730133598,48922528,2995829,2995829,45912064,Phase 4
[monitor_data] 1776730134044,48922528,3271622,3271622,45912064,Phase 4
[monitor_data] 1776730134474,48994124,3286098,3286098,45912064,Phase 4
[monitor_data] 1776730134893,48994132,3301461,3301461,45912064,Phase 4
[monitor_data] 1776730135349,48994132,3313633,3313633,45912064,Phase 4
[monitor_data] 1776730135796,48994132,3320623,3320623,45912064,Phase 4
[monitor_data] 1776730136262,48994132,3328153,3328153,45912064,Phase 4
[monitor_data] 1776730136716,48994132,3728764,3728764,45912064,Phase 4
[monitor_data] 1776730137158,49336012,3718911,3718911,45912064,Phase 4
[monitor_data] 1776730137577,49338372,3715464,3715464,45912064,Phase 4
[monitor_data] 1776730138021,49386612,3731464,3731464,45912064,Phase 4
[monitor_data] 1776730138465,49419440,3746586,3746586,45912064,Phase 4
[monitor_data] 1776730138888,49481576,3758418,3758418,45912064,Phase 4
