[monitor_start] Monitoring PID 1719766 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776709483592,15316,15611,15611,65536,
[monitor_data] 1776709498155,94284,16665,16665,59392,
[monitor_data] 1776709498705,104852,17643,17643,57344,
[monitor_data] 1776709499249,105404,17872,17872,520192,
[monitor_data] 1776709499698,543688,18971,18971,1034240,Phase 1
[monitor_data] 1776709500128,1121252,43685,43685,1038336,Phase 1
[monitor_data] 1776709500579,1145812,43395,43395,1230848,Phase 1
[monitor_data] 1776709501010,1341380,49349,49349,1189888,Phase 1
[monitor_data] 1776709501434,1348960,48801,48801,1189888,Phase 1
[monitor_data] 1776709501887,1355216,53372,53372,1849344,Phase 1
[monitor_data] 1776709502346,2004836,87746,87746,2633728,Phase 1
[monitor_data] 1776709502789,2819208,80374,80374,3438592,Phase 1
[monitor_data] 1776709503234,3621396,80438,80438,4225024,Phase 1
[monitor_data] 1776709503679,4470504,170163,170163,4988928,Phase 1
[monitor_data] 1776709504124,5259668,150617,150617,5777408,Phase 1
[monitor_data] 1776709504567,6046568,166589,166589,6582272,Phase 1
[monitor_data] 1776709505014,6852352,166459,166459,7383040,Phase 1
[monitor_data] 1776709505459,7749612,289974,289974,8085504,Phase 1
[monitor_data] 1776709505874,8483924,322257,322257,8828928,Phase 1
[monitor_data] 1776709506312,9260128,330779,330779,9594880,Phase 1
[monitor_data] 1776709506743,10030552,308193,308193,10356736,Phase 1
[monitor_data] 1776709507168,10790692,278117,278117,11106304,Phase 1
[monitor_data] 1776709507591,11513356,332000,332000,11884544,Phase 1
[monitor_data] 1776709508025,12320124,332114,332114,12685312,Phase 1
[monitor_data] 1776709508466,13119616,331528,331528,13449216,Phase 1
[monitor_data] 1776709508891,13886884,331269,331269,14194688,Phase 1
[monitor_data] 1776709509311,14826628,560927,560927,14946304,Phase 1
[monitor_data] 1776709509762,15612032,594128,594128,15679488,Phase 1
[monitor_data] 1776709510201,16378792,625694,625694,16418816,Phase 1
[monitor_data] 1776709510643,17150540,659029,659029,17215488,Phase 1
[monitor_data] 1776709511111,17984668,664340,664340,18024448,Phase 1
[monitor_data] 1776709511559,18793304,639836,639836,18798592,Phase 1
[monitor_data] 1776709511991,19568548,615916,615916,19603456,Phase 1
[monitor_data] 1776709512439,20350648,591048,591048,20428800,Phase 1
[monitor_data] 1776709512897,21172652,566217,566217,21239808,Phase 1
[monitor_data] 1776709513352,21949980,590532,590532,22022144,Phase 1
[monitor_data] 1776709513789,22702356,649624,649624,22784000,Phase 1
[monitor_data] 1776709514220,23525632,651656,651656,23605248,Phase 1
[monitor_data] 1776709514679,24347704,651065,651065,24403968,Phase 1
[monitor_data] 1776709515125,25147688,651701,651701,25202688,Phase 1
[monitor_data] 1776709515568,25944328,650448,650448,26001408,Phase 1
[monitor_data] 1776709516016,26744304,649557,649557,26845184,Phase 1
[monitor_data] 1776709516487,27586536,1052616,1052616,27594752,Phase 1
[monitor_data] 1776709516929,28754528,1085705,1085705,28379136,Phase 1
[monitor_data] 1776709517389,29572984,1119200,1119200,29124608,Phase 1
[monitor_data] 1776709517827,30353588,1152118,1152118,29855744,Phase 1
[monitor_data] 1776709518259,31116760,1185258,1185258,30613504,Phase 1
[monitor_data] 1776709518700,31909424,1219258,1219258,31379456,Phase 1
[monitor_data] 1776709519145,32708840,1254850,1254850,32182272,Phase 1
[monitor_data] 1776709519614,33549400,1288369,1288369,32923648,Phase 1
[monitor_data] 1776709520048,34322812,1322250,1322250,33724416,Phase 1
[monitor_data] 1776709520501,35141128,1300242,1300242,34482176,Phase 1
[monitor_data] 1776709520920,35900448,1278328,1278328,35287040,Phase 1
[monitor_data] 1776709521363,36704652,1256740,1256740,36124672,Phase 1
[monitor_data] 1776709521825,37543740,1234485,1234485,36904960,Phase 1
[monitor_data] 1776709522257,38322608,1213324,1213324,37724160,Phase 1
[monitor_data] 1776709522711,39141544,1191915,1191915,38529024,Phase 1
[monitor_data] 1776709523157,39947508,1164409,1164409,39362560,Phase 1
[monitor_data] 1776709523618,40778060,1135236,1135236,40206336,Phase 1
[monitor_data] 1776709524086,41621520,1105650,1105650,41050112,Phase 1
[monitor_data] 1776709524554,42468824,1076558,1076558,41492480,Phase 1
[monitor_data] 1776709524998,42873824,1166662,1166662,42031104,Phase 1
[monitor_data] 1776709525436,43451484,1166535,1166535,42823680,Phase 1
[monitor_data] 1776709525874,44241532,1272233,1272233,43599872,Phase 1
[monitor_data] 1776709526308,45121176,1272296,1272296,44431360,Phase 1
[monitor_data] 1776709526769,45954740,1272364,1272364,45252608,Phase 1
[monitor_data] 1776709527224,46778580,1272431,1272431,46094336,Phase 2
[monitor_data] 1776709527688,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709528139,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709528577,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709529029,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709529503,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709529938,47601104,1272465,1272465,46110720,Phase 2
[monitor_data] 1776709530396,47601104,1272463,1272463,46307328,Phase 2
[monitor_data] 1776709530853,47796420,1272051,1272051,46303232,Phase 2
[monitor_data] 1776709531316,47797932,1271667,1271667,46303232,Phase 3.1
