[monitor_start] Monitoring PID 512603 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776713532413,15316,16766,16766,63488,
[monitor_data] 1776713547005,104524,17849,17849,65536,
[monitor_data] 1776713547519,109768,19400,19400,507904,
[monitor_data] 1776713547982,574988,19501,19501,1036288,Phase 1
[monitor_data] 1776713548409,1125644,19009,19009,1036288,Phase 1
[monitor_data] 1776713548847,1155620,49367,49367,1196032,Phase 1
[monitor_data] 1776713549271,1352012,48049,48049,1196032,Phase 1
[monitor_data] 1776713549702,1352104,48304,48304,1187840,Phase 1
[monitor_data] 1776713550142,1352192,57888,57888,1779712,Phase 1
[monitor_data] 1776713550566,1936492,56706,56706,2545664,Phase 1
[monitor_data] 1776713550984,2702336,109838,109838,3293184,Phase 1
[monitor_data] 1776713551416,3503512,100795,100795,4106240,Phase 1
[monitor_data] 1776713551868,4318892,100573,100573,4890624,Phase 1
[monitor_data] 1776713552300,5162004,189804,189804,5597184,Phase 1
[monitor_data] 1776713552718,5903716,208705,208705,6346752,Phase 1
[monitor_data] 1776713553145,6664720,177416,177416,7100416,Phase 1
[monitor_data] 1776713553567,7409140,211583,211583,7884800,Phase 1
[monitor_data] 1776713554001,8197628,211088,211088,8640512,Phase 1
[monitor_data] 1776713554414,8954700,342571,342571,9390080,Phase 1
[monitor_data] 1776713554849,9842332,374802,374802,10133504,Phase 1
[monitor_data] 1776713555286,10619736,405900,405900,10897408,Phase 1
[monitor_data] 1776713555730,11407040,400176,400176,11710464,Phase 1
[monitor_data] 1776713556187,12221812,369012,369012,12548096,Phase 1
[monitor_data] 1776713556651,13058580,366868,366868,13369344,Phase 1
[monitor_data] 1776713557107,13879532,409438,409438,14180352,Phase 1
[monitor_data] 1776713557561,14707368,415649,415649,15009792,Phase 1
[monitor_data] 1776713558022,15541144,415713,415713,15812608,Phase 1
[monitor_data] 1776713558474,16344464,415493,415493,16662528,Phase 1
[monitor_data] 1776713558941,17195008,669853,669853,17440768,Phase 1
[monitor_data] 1776713559400,18225604,704931,704931,18214912,Phase 1
[monitor_data] 1776713559854,19034148,738795,738795,18968576,Phase 1
[monitor_data] 1776713560307,19820244,772223,772223,19742720,Phase 1
[monitor_data] 1776713560777,20626048,802688,802688,20523008,Phase 1
[monitor_data] 1776713561242,21435428,796811,796811,21362688,Phase 1
[monitor_data] 1776713561705,22274036,768869,768869,22151168,Phase 1
[monitor_data] 1776713562141,23062616,741764,741764,23021568,Phase 1
[monitor_data] 1776713562622,23933212,707001,707001,23863296,Phase 1
[monitor_data] 1776713563085,24736184,673897,673897,24698880,Phase 1
[monitor_data] 1776713563546,25516300,720694,720694,25530368,Phase 1
[monitor_data] 1776713564010,26406612,793938,793938,26349568,Phase 1
[monitor_data] 1776713564464,27230804,793078,793078,27154432,Phase 1
[monitor_data] 1776713564910,28037220,792435,792435,27987968,Phase 1
[monitor_data] 1776713565372,28867804,793682,793682,28764160,Phase 1
[monitor_data] 1776713565802,29645044,792432,792432,29546496,Phase 1
[monitor_data] 1776713566235,30427972,783614,783614,30367744,Phase 1
[monitor_data] 1776713566690,31248756,783361,783361,31184896,Phase 1
