[monitor_start] Monitoring PID 2945422 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776700356013,15324,15701,15701,57344,
[monitor_data] 1776700371925,111924,16660,16660,73728,
[monitor_data] 1776700372333,137044,18332,18332,1060864,Phase 1
[monitor_data] 1776700372728,1022672,18075,18075,1003520,Phase 1
[monitor_data] 1776700373131,1133752,18847,18847,1003520,Phase 1
[monitor_data] 1776700373556,1164148,48615,48615,1191936,Phase 1
[monitor_data] 1776700373967,1360824,48616,48616,1189888,Phase 1
[monitor_data] 1776700374382,1361084,47526,47526,1263616,Phase 1
[monitor_data] 1776700374795,1411148,59250,59250,1996800,Phase 1
[monitor_data] 1776700375207,2158432,58952,58952,2719744,Phase 1
[monitor_data] 1776700375601,2905320,114523,114523,3440640,Phase 1
[monitor_data] 1776700376014,3660276,107673,107673,4165632,Phase 1
[monitor_data] 1776700376415,4386820,107522,107522,4882432,Phase 1
[monitor_data] 1776700376812,5105396,162726,162726,5599232,Phase 1
[monitor_data] 1776700377218,5897684,214087,214087,6307840,Phase 1
[monitor_data] 1776700377631,6636472,232272,232272,7043072,Phase 1
[monitor_data] 1776700378044,7383804,209144,209144,7778304,Phase 1
[monitor_data] 1776700378445,8117972,225013,225013,8540160,Phase 1
[monitor_data] 1776700378863,8885008,231510,231510,9256960,Phase 1
[monitor_data] 1776700379260,9601932,231235,231235,10029056,Phase 1
[monitor_data] 1776700379682,10377660,389010,389010,10721280,Phase 1
[monitor_data] 1776700380082,11225332,416397,416397,11425792,Phase 1
[monitor_data] 1776700380495,11960308,444872,444872,12183552,Phase 1
[monitor_data] 1776700380934,12745384,472559,472559,12914688,Phase 1
[monitor_data] 1776700381354,13498888,472293,472293,13674496,Phase 1
[monitor_data] 1776700381771,14259192,452058,452058,14413824,Phase 1
[monitor_data] 1776700382175,14996752,431291,431291,15183872,Phase 1
[monitor_data] 1776700382597,15767140,407242,407242,15929344,Phase 1
[monitor_data] 1776700383006,16484592,423157,423157,16642048,Phase 1
[monitor_data] 1776700383398,17199692,467066,467066,17356800,Phase 1
[monitor_data] 1776700383806,17962420,470197,470197,18173952,Phase 1
