[monitor_start] Monitoring PID 1402548 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776749379501,13280,8304,8304,65536,
[monitor_data] 1776749386436,92348,8400,8400,79872,
[monitor_data] 1776749386899,106908,8405,8405,114688,
[monitor_data] 1776749387357,154232,8677,8677,1294336,
[monitor_data] 1776749387763,1107976,8677,8677,1882112,Phase 2
[monitor_data] 1776749388181,1916080,8678,8678,1882112,Phase 2
[monitor_data] 1776749388588,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749389011,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749389428,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749389860,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749390283,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749390706,1916084,8678,8678,1882112,Phase 2
[monitor_data] 1776749391190,1916084,8685,8685,2187264,Phase 2
[monitor_data] 1776749391720,2242480,8727,8727,2691072,Phase 2
[monitor_data] 1776749392234,2743952,8764,8764,3104768,Phase 2
[monitor_data] 1776749392656,3158188,8798,8798,3475456,Phase 2
[monitor_data] 1776749393094,3570488,57474,57474,3745792,Phase 2
[monitor_data] 1776749393510,3841776,57492,57492,4036608,Phase 2
[monitor_data] 1776749393953,4132476,57516,57516,4319232,Phase 2
[monitor_data] 1776749394383,4414020,57537,57537,4612096,Phase 2
[monitor_data] 1776749394831,4706176,57560,57560,4890624,Phase 2
[monitor_data] 1776749395261,4987052,57584,57584,5191680,Phase 2
[monitor_data] 1776749395721,5287140,57608,57608,5398528,Phase 3
[monitor_data] 1776749396180,5480412,57613,57613,5398528,Phase 5
[monitor_data] 1776749396614,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749397041,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749397472,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749397911,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749398329,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749398791,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749399238,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749399695,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749400147,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749400597,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749401046,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749401503,5480416,57613,57613,5398528,Phase 5
[monitor_data] 1776749401938,5480416,57609,57609,5398528,Phase 5
[monitor_data] 1776749402371,5480416,120803,120803,5285888,Phase 5
[monitor_data] 1776749402805,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749403242,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749403672,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749404109,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749404533,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749404960,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749405401,5551168,120811,120811,5285888,Phase 5
[monitor_data] 1776749405853,5551168,120806,120806,5285888,Phase 5
[monitor_data] 1776749406274,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749406691,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749407101,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749407509,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749407962,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749408424,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749408853,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749409292,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749409730,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749410162,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749410604,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749411036,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749411447,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749411878,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749412323,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749412802,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749413227,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749413669,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749414096,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749414519,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749414948,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749415386,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749415804,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749416225,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749416650,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749417043,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749417450,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749417890,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749418318,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749418749,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749419156,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749419579,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749419993,5551168,120802,120802,5285888,Phase 5
[monitor_data] 1776749420427,5551168,120807,120807,5285888,Phase 5
[monitor_data] 1776749420846,5551168,120803,120803,5285888,Phase 5
[monitor_data] 1776749421272,5551168,120802,120802,5285888,Phase 5
