[monitor_start] Monitoring PID 3575876 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776737656336,13256,8371,8371,67584,
[monitor_data] 1776737663311,94132,8401,8401,77824,
[monitor_data] 1776737663827,104388,8405,8405,94208,
[monitor_data] 1776737664330,127992,8676,8676,1292288,
[monitor_data] 1776737664779,880268,8676,8676,1880064,Phase 2
[monitor_data] 1776737665210,1915712,8677,8677,1880064,Phase 2
[monitor_data] 1776737665651,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737666096,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737666527,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737666979,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737667401,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737667821,1915724,8677,8677,1880064,Phase 2
[monitor_data] 1776737668231,1915724,8677,8677,1918976,Phase 2
[monitor_data] 1776737668659,1971476,8701,8701,2312192,Phase 2
[monitor_data] 1776737669073,2365284,8732,8732,2721792,Phase 2
[monitor_data] 1776737669501,2772712,8765,8765,3117056,Phase 2
[monitor_data] 1776737669920,3169160,8796,8796,3497984,Phase 2
[monitor_data] 1776737670332,3597140,57532,57532,3874816,Phase 2
[monitor_data] 1776737670754,3973076,57564,57564,4255744,Phase 2
[monitor_data] 1776737671182,4354920,57594,57594,4628480,Phase 2
[monitor_data] 1776737671600,4727516,57625,57625,5033984,Phase 2
[monitor_data] 1776737672057,5132676,57656,57656,5410816,Phase 2
[monitor_data] 1776737672486,5510860,57688,57688,5834752,Phase 2
[monitor_data] 1776737672964,5934244,57720,57720,6211584,Phase 2
[monitor_data] 1776737673387,6309808,57751,57751,6604800,Phase 2
[monitor_data] 1776737673829,6704068,57782,57782,6995968,Phase 2
[monitor_data] 1776737674267,7095324,57813,57813,7374848,Phase 2
[monitor_data] 1776737674692,7474644,57844,57844,7792640,Phase 2
[monitor_data] 1776737675159,7892868,57879,57879,8208384,Phase 2
[monitor_data] 1776737675622,8307208,57911,57911,8609792,Phase 2
[monitor_data] 1776737676070,8708260,57943,57943,9021440,Phase 2
[monitor_data] 1776737676530,9120328,57976,57976,9428992,Phase 2
[monitor_data] 1776737676987,9529088,58010,58010,9838592,Phase 2
[monitor_data] 1776737677442,9937056,58041,58041,10233856,Phase 2
[monitor_data] 1776737677883,10331044,58073,58073,10625024,Phase 2
[monitor_data] 1776737678321,10722468,58104,58104,10932224,Phase 2
[monitor_data] 1776737678776,11305820,293546,293546,11323392,Phase 2
[monitor_data] 1776737679222,11695652,293578,293578,11724800,Phase 2
[monitor_data] 1776737679680,12097104,293608,293608,12107776,Phase 2
[monitor_data] 1776737680119,12480856,293640,293640,12322816,Phase 3
[monitor_data] 1776737680550,12678152,293646,293646,12322816,Phase 5
