[monitor_start] Monitoring PID 2992392 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776744475716,13284,8198,8198,59392,
[monitor_data] 1776744482640,83620,8397,8397,73728,
[monitor_data] 1776744483136,101388,8404,8404,90112,
[monitor_data] 1776744483634,122136,8674,8674,1292288,
[monitor_data] 1776744484078,800764,8674,8674,1880064,Phase 2
[monitor_data] 1776744484518,1917144,8675,8675,1880064,Phase 2
[monitor_data] 1776744485011,1917164,8675,8675,1880064,Phase 2
[monitor_data] 1776744485517,1917164,8675,8675,1880064,Phase 2
[monitor_data] 1776744486028,1917164,8675,8675,1880064,Phase 2
[monitor_data] 1776744486454,1917164,8675,8675,1880064,Phase 2
[monitor_data] 1776744486898,1917164,8675,8675,1880064,Phase 2
[monitor_data] 1776744487349,1917164,8675,8675,1890304,Phase 2
[monitor_data] 1776744487798,1945464,8698,8698,2314240,Phase 2
[monitor_data] 1776744488245,2369556,8732,8732,2750464,Phase 2
[monitor_data] 1776744488705,2805484,8766,8766,3153920,Phase 2
[monitor_data] 1776744489130,3208704,11288,11288,3559424,Phase 2
[monitor_data] 1776744489568,3658732,57601,57601,3971072,Phase 2
[monitor_data] 1776744490027,4071196,57634,57634,4388864,Phase 2
[monitor_data] 1776744490491,4490920,57668,57668,4792320,Phase 2
[monitor_data] 1776744490937,4894000,57701,57701,5201920,Phase 2
[monitor_data] 1776744491390,5302684,57732,57732,5609472,Phase 2
[monitor_data] 1776744491842,5709132,57765,57765,6017024,Phase 2
[monitor_data] 1776744492296,6117752,57799,57799,6455296,Phase 2
[monitor_data] 1776744492782,6555668,57832,57832,6862848,Phase 2
[monitor_data] 1776744493239,6965592,57865,57865,7249920,Phase 2
[monitor_data] 1776744493664,7349456,57897,57897,7649280,Phase 2
[monitor_data] 1776744494111,7750488,57928,57928,8056832,Phase 2
[monitor_data] 1776744494564,8158320,57963,57963,8472576,Phase 2
[monitor_data] 1776744495026,8575152,57996,57996,8884224,Phase 2
[monitor_data] 1776744495479,8984108,58027,58027,9265152,Phase 2
[monitor_data] 1776744495911,9365332,58057,58057,9658368,Phase 2
[monitor_data] 1776744496351,9758668,58090,58090,10061824,Phase 2
