[monitor_start] Monitoring PID 2760729 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776751939324,13256,8373,8373,67584,
[monitor_data] 1776751946229,94768,8407,8407,81920,
[monitor_data] 1776751946646,108380,8510,8510,1294336,
[monitor_data] 1776751947079,292376,8677,8677,1882112,Phase 2
[monitor_data] 1776751947525,1418156,8677,8677,1882112,Phase 2
[monitor_data] 1776751947950,1914560,8677,8677,1882112,Phase 2
[monitor_data] 1776751948395,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751948810,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751949211,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751949624,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751950027,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751950465,1914576,8677,8677,1882112,Phase 2
[monitor_data] 1776751950875,1914576,8690,8690,2172928,Phase 2
[monitor_data] 1776751951294,2224124,8724,8724,2607104,Phase 2
[monitor_data] 1776751951747,2659284,8757,8757,3026944,Phase 2
[monitor_data] 1776751952184,3077716,8791,8791,3430400,Phase 2
[monitor_data] 1776751952613,3528360,57464,57464,3815424,Phase 2
[monitor_data] 1776751953040,3911424,57495,57495,4214784,Phase 2
[monitor_data] 1776751953482,4310768,57528,57528,4673536,Phase 2
[monitor_data] 1776751953992,4772560,57568,57568,5173248,Phase 2
[monitor_data] 1776751954545,5272308,57607,57607,5654528,Phase 2
[monitor_data] 1776751955078,5753228,57642,57642,6037504,Phase 2
[monitor_data] 1776751955499,6133764,57673,57673,6424576,Phase 2
[monitor_data] 1776751955935,6522384,57703,57703,6823936,Phase 2
[monitor_data] 1776751956385,6920488,57736,57736,7219200,Phase 2
[monitor_data] 1776751956827,7315184,57768,57768,7604224,Phase 2
[monitor_data] 1776751957256,7701536,57799,57799,8003584,Phase 2
[monitor_data] 1776751957701,8100080,57830,57830,8378368,Phase 2
[monitor_data] 1776751958121,8475100,57861,57861,8769536,Phase 2
[monitor_data] 1776751958554,8865908,57891,57891,9150464,Phase 2
[monitor_data] 1776751958977,9247704,57922,57922,9525248,Phase 2
[monitor_data] 1776751959392,9622284,57952,57952,9910272,Phase 2
[monitor_data] 1776751959821,10007868,57982,57982,10280960,Phase 2
[monitor_data] 1776751960231,10377652,58014,58014,10674176,Phase 2
[monitor_data] 1776751960668,10771128,58045,58045,11059200,Phase 2
[monitor_data] 1776751961097,11158092,286222,286222,11337728,Phase 2
[monitor_data] 1776751961511,11716708,303913,303913,11704320,Phase 2
[monitor_data] 1776751961933,12085504,303943,303943,12101632,Phase 2
[monitor_data] 1776751962384,12479756,303976,303976,12320768,Phase 3
[monitor_data] 1776751962828,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751963277,12684460,303982,303982,12320768,Phase 5
[monitor_data] 1776751963729,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751964170,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751964600,12684460,303978,303978,12320768,Phase 5
[monitor_data] 1776751965041,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751965456,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751965881,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751966302,12684460,303978,303978,12320768,Phase 5
[monitor_data] 1776751966725,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751967154,12684460,303978,303978,12320768,Phase 5
[monitor_data] 1776751967579,12684460,303982,303982,12320768,Phase 5
[monitor_data] 1776751968014,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751968441,12684460,303978,303978,12320768,Phase 5
[monitor_data] 1776751968882,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751969338,12684460,303974,303974,12320768,Phase 5
[monitor_data] 1776751969782,12684460,303982,303982,12320768,Phase 5
[monitor_data] 1776751970224,12684460,303981,303981,12320768,Phase 5
[monitor_data] 1776751970679,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751971154,12684460,303981,303981,12320768,Phase 5
[monitor_data] 1776751971596,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751972044,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751972468,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751972908,12684460,303978,303978,12320768,Phase 5
[monitor_data] 1776751973366,12684460,303981,303981,12320768,Phase 5
[monitor_data] 1776751973881,12684460,303982,303982,12320768,Phase 5
[monitor_data] 1776751974305,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751974731,12684460,303982,303982,12320768,Phase 5
[monitor_data] 1776751975165,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751975583,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751976016,12684460,303981,303981,12320768,Phase 5
[monitor_data] 1776751976459,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751976900,12684460,303981,303981,12320768,Phase 5
[monitor_data] 1776751977334,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751977775,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751978212,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751978646,12684460,303977,303977,12320768,Phase 5
[monitor_data] 1776751979085,12785876,404503,404503,12320768,Phase 5
[monitor_data] 1776751979522,12787404,404375,404375,12320768,Phase 5
[monitor_data] 1776751979958,12787404,404375,404375,12320768,Phase 5
[monitor_data] 1776751980392,12787404,404375,404375,12320768,Phase 5
[monitor_data] 1776751980819,12787404,404375,404375,12320768,Phase 5
[monitor_data] 1776751981258,12787404,404375,404375,12320768,Phase 5
[monitor_data] 1776751981700,12787424,442449,442449,12320768,Phase 5
[monitor_data] 1776751982141,12827240,445811,445811,12320768,Phase 5
[monitor_data] 1776751982576,12830828,449459,449459,12320768,Phase 5
[monitor_data] 1776751983020,12834516,453022,453022,12320768,Phase 5
[monitor_data] 1776751983456,12838144,456598,456598,12320768,Phase 5
[monitor_data] 1776751983896,12841816,460263,460263,12320768,Phase 5
[monitor_data] 1776751984346,12845564,463762,463762,12320768,Phase 5
[monitor_data] 1776751984758,12849004,467398,467398,12320768,Phase 5
[monitor_data] 1776751985214,12852808,470938,470938,12320768,Phase 5
[monitor_data] 1776751985636,12856264,474425,474425,12320768,Phase 5
[monitor_data] 1776751986062,12859780,477799,477799,12320768,Phase 5
[monitor_data] 1776751986513,12863540,481717,481717,12320768,Phase 5
[monitor_data] 1776751986976,12867392,485268,485268,12320768,Phase 5
[monitor_data] 1776751987378,12870728,488622,488622,12320768,Phase 5
[monitor_data] 1776751987811,12874312,492057,492057,12320768,Phase 5
[monitor_data] 1776751988246,12877856,495641,495641,12320768,Phase 5
[monitor_data] 1776751988668,12881296,499104,499104,12320768,Phase 5
[monitor_data] 1776751989123,12885052,502780,502780,12320768,Phase 5
[monitor_data] 1776751989560,12888668,506356,506356,12320768,Phase 5
[monitor_data] 1776751990000,12892300,509883,509883,12320768,Phase 5
[monitor_data] 1776751990436,12895912,513403,513403,12320768,Phase 5
[monitor_data] 1776751990848,12899312,516684,516684,12320768,Phase 5
