[monitor_start] Monitoring PID 4006123 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776732578796,13296,8398,8398,71680,
[monitor_data] 1776732586315,99204,8401,8401,81920,
[monitor_data] 1776732586841,110052,8533,8533,1292288,
[monitor_data] 1776732587317,404112,8676,8676,1880064,Phase 2
[monitor_data] 1776732587759,1605668,8676,8676,1880064,Phase 2
[monitor_data] 1776732588203,1915580,8676,8676,1880064,Phase 2
[monitor_data] 1776732588667,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732589082,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732589514,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732589934,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732590350,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732590762,1915592,8676,8676,1880064,Phase 2
[monitor_data] 1776732591163,1919316,8697,8697,2301952,Phase 2
[monitor_data] 1776732591620,2357196,8733,8733,2742272,Phase 2
[monitor_data] 1776732592077,2797824,8768,8768,3180544,Phase 2
[monitor_data] 1776732592530,3234860,57573,57573,3581952,Phase 2
[monitor_data] 1776732592969,3682416,57605,57605,3973120,Phase 2
[monitor_data] 1776732593401,4074816,57634,57634,4366336,Phase 2
[monitor_data] 1776732593836,4468152,57666,57666,4751360,Phase 2
[monitor_data] 1776732594261,4852288,57697,57697,5130240,Phase 2
[monitor_data] 1776732594680,5230924,57727,57727,5515264,Phase 2
[monitor_data] 1776732595106,5615648,57758,57758,5904384,Phase 2
[monitor_data] 1776732595541,6005960,57788,57788,6268928,Phase 2
[monitor_data] 1776732595944,6369656,57819,57819,6651904,Phase 2
[monitor_data] 1776732596368,6752772,57850,57850,7045120,Phase 2
[monitor_data] 1776732596803,7147296,57881,57881,7438336,Phase 2
[monitor_data] 1776732597235,7539224,57913,57913,7829504,Phase 2
[monitor_data] 1776732597667,7930124,57944,57944,8224768,Phase 2
[monitor_data] 1776732598103,8325632,57976,57976,8609792,Phase 2
[monitor_data] 1776732598535,8709356,58006,58006,8988672,Phase 2
[monitor_data] 1776732598958,9089548,58037,58037,9369600,Phase 2
[monitor_data] 1776732599377,9469588,58067,58067,9738240,Phase 2
[monitor_data] 1776732599784,9838524,58096,58096,10119168,Phase 2
[monitor_data] 1776732600203,10218968,58128,58128,10512384,Phase 2
[monitor_data] 1776732600638,10613616,58158,58158,10911744,Phase 2
[monitor_data] 1776732601079,11013856,58191,58191,11208704,Phase 2
[monitor_data] 1776732601510,11589072,301481,301481,11595776,Phase 2
[monitor_data] 1776732601945,11976700,301518,301518,12003328,Phase 2
[monitor_data] 1776732602405,12385948,301551,301551,12320768,Phase 3
[monitor_data] 1776732602878,12684976,301559,301559,12320768,Phase 5
[monitor_data] 1776732603322,12684980,301559,301559,12320768,Phase 5
[monitor_data] 1776732603765,12684980,301559,301559,12320768,Phase 5
[monitor_data] 1776732604233,12684980,301563,301563,12320768,Phase 5
