[monitor_start] Monitoring PID 1544694 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1776991293151,21200,0,0,69632,
[monitor_data] 1776991318525,107480,25667,25667,137216,Phase 1
[monitor_data] 1776991318878,213036,25893,25893,825344,Phase 1
[monitor_data] 1776991319225,918188,25937,25937,1034240,Phase 2
[monitor_data] 1776991319586,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991319950,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991320317,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991320671,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991321036,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991321385,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991321752,1088760,25937,25937,1034240,Phase 2
[monitor_data] 1776991322113,1088760,25937,25937,1034240,Phase 3.1
[monitor_data] 1776991322475,1122808,86006,86006,954368,Phase 3.1
[monitor_data] 1776991322818,1185076,169796,169796,794624,Phase 3.2
[monitor_data] 1776991323181,1298724,159814,159814,739328,Phase 3.2
[monitor_data] 1776991323537,1302488,152874,152874,624640,Phase 3.3
[monitor_data] 1776991323904,1304384,123408,123408,460800,Phase 3.4
[monitor_data] 1776991324279,1265000,92754,92754,133120,Phase 4
[monitor_data] 1776991324621,1272992,88144,88144,133120,Phase 4
[monitor_data] 1776991324979,1272992,88146,88146,133120,Phase 4
[monitor_data] 1776991325328,1272992,88146,88146,133120,Phase 4
[monitor_data] 1776991325677,1272992,88146,88146,133120,Phase 4
[monitor_data] 1776991326009,1272992,88146,88146,133120,Phase 4
[monitor_data] 1776991326366,1272992,88146,88146,133120,Phase 4
[monitor_data] 1776991326725,1272992,0,0,0,Phase 4
[monitor_data] 1776991327078,,0,0,0,Phase 4
[monitor_data] 1776991327430,,0,0,0,Phase 4
[monitor_data] 1776991327789,,0,0,0,Phase 4
[monitor_data] 1776991328124,,0,0,0,Phase 4
[monitor_data] 1776991328465,,0,0,0,Phase 4
[monitor_data] 1776991328816,,0,0,0,Phase 4
[monitor_data] 1776991329152,,0,0,0,Phase 4
[monitor_data] 1776991329510,,0,0,0,Phase 4
[monitor_data] 1776991329838,,0,0,0,Phase 4
[monitor_data] 1776991330209,,0,0,0,Phase 4
[monitor_data] 1776991330557,,0,0,0,Phase 4
[monitor_data] 1776991330908,,0,0,0,Phase 4
[monitor_data] 1776991331250,,0,0,0,Phase 4
[monitor_data] 1776991331594,,0,0,0,Phase 4
[monitor_data] 1776991331938,,0,0,0,Phase 4
[monitor_data] 1776991332283,,0,0,0,Phase 4
[monitor_data] 1776991332611,,0,0,0,Phase 4
[monitor_data] 1776991332954,,0,0,0,Phase 4
[monitor_data] 1776991333292,,0,0,0,Phase 4
[monitor_data] 1776991333626,,0,0,0,Phase 4
[monitor_data] 1776991333954,,0,0,0,Phase 4
[monitor_data] 1776991334300,,0,0,0,Phase 4
[monitor_data] 1776991334636,,0,0,0,Phase 4
[monitor_data] 1776991335008,,0,0,0,Phase 4
[monitor_data] 1776991335354,,0,0,0,Phase 4
[monitor_data] 1776991335703,,0,0,0,Phase 4
[monitor_data] 1776991336064,,0,0,0,Phase 4
[monitor_data] 1776991336411,,0,0,0,Phase 4
[monitor_data] 1776991336763,,0,0,0,Phase 4
[monitor_data] 1776991337106,,0,0,0,Phase 4
[monitor_data] 1776991337468,,0,0,0,Phase 4
[monitor_data] 1776991337839,,0,0,0,Phase 4
[monitor_data] 1776991338201,,0,0,0,Phase 4
[monitor_data] 1776991338565,,0,0,0,Phase 4
[monitor_data] 1776991338898,,0,0,0,Phase 4
[monitor_data] 1776991339250,,0,0,0,Phase 4
[monitor_data] 1776991339584,,0,0,0,Phase 4
[monitor_data] 1776991339914,,0,0,0,Phase 4
[monitor_data] 1776991340252,,0,0,0,Phase 4
[monitor_data] 1776991340585,,0,0,0,Phase 4
[monitor_data] 1776991340917,,0,0,0,Phase 4
[monitor_data] 1776991341269,,0,0,0,Phase 4
[monitor_data] 1776991341600,,0,0,0,Phase 4
[monitor_data] 1776991341925,,0,0,0,Phase 4
[monitor_data] 1776991342264,,0,0,0,Phase 4
[monitor_data] 1776991342593,,0,0,0,Phase 4
[monitor_data] 1776991342928,,0,0,0,Phase 4
[monitor_end] Process 1544694 terminated
