[monitor_start] Monitoring PID 2348237 at 0.0001s intervals
[monitor_header] timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase
[monitor_data] 1777008409969,21212,0,0,237568,Phase 2
[monitor_data] 1777008434420,278328,25849,25849,499712,Phase 2
[monitor_data] 1777008434791,558664,25877,25877,864256,Phase 2
[monitor_data] 1777008435150,923088,25897,25897,940032,Phase 3
[monitor_data] 1777008435509,981736,25897,25897,940032,Phase 5
[monitor_data] 1777008435882,1005708,50291,50291,940032,Phase 5
[monitor_data] 1777008436263,1005708,50286,50286,940032,Phase 5
[monitor_data] 1777008436622,1005708,50291,50291,940032,Phase 5
[monitor_data] 1777008436982,1005708,50290,50290,790528,Phase 5
[monitor_data] 1777008437347,1036212,74443,74443,790528,Phase 5
[monitor_data] 1777008437694,1170236,271537,271537,790528,Phase 5
[monitor_data] 1777008438076,1330968,466645,466645,790528,Phase 5
[monitor_data] 1777008438424,1470272,663350,663350,792576,Phase 6
[monitor_data] 1777008438784,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008439143,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008439516,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008439859,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008440223,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008440589,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008440960,1095424,72770,72770,792576,Phase 6
[monitor_data] 1777008441318,1095424,72770,72770,0,Phase 6
[monitor_data] 1777008441682,,0,0,0,Phase 6
[monitor_data] 1777008442017,,0,0,0,Phase 6
[monitor_data] 1777008442352,,0,0,0,Phase 6
[monitor_data] 1777008442685,,0,0,0,Phase 6
[monitor_data] 1777008443050,,0,0,0,Phase 6
[monitor_data] 1777008443389,,0,0,0,Phase 6
[monitor_data] 1777008443721,,0,0,0,Phase 6
[monitor_data] 1777008444058,,0,0,0,Phase 6
[monitor_data] 1777008444405,,0,0,0,Phase 6
[monitor_data] 1777008444744,,0,0,0,Phase 6
[monitor_data] 1777008445087,,0,0,0,Phase 6
[monitor_data] 1777008445419,,0,0,0,Phase 6
[monitor_data] 1777008445753,,0,0,0,Phase 6
[monitor_data] 1777008446096,,0,0,0,Phase 6
[monitor_data] 1777008446478,,0,0,0,Phase 6
[monitor_data] 1777008446811,,0,0,0,Phase 6
[monitor_data] 1777008447162,,0,0,0,Phase 6
[monitor_data] 1777008447516,,0,0,0,Phase 6
[monitor_data] 1777008447879,,0,0,0,Phase 6
[monitor_data] 1777008448233,,0,0,0,Phase 6
[monitor_data] 1777008448583,,0,0,0,Phase 6
[monitor_data] 1777008448951,,0,0,0,Phase 6
[monitor_data] 1777008449313,,0,0,0,Phase 6
[monitor_data] 1777008449643,,0,0,0,Phase 6
[monitor_data] 1777008449980,,0,0,0,Phase 6
[monitor_data] 1777008450328,,0,0,0,Phase 6
[monitor_data] 1777008450667,,0,0,0,Phase 6
[monitor_data] 1777008451030,,0,0,0,Phase 6
[monitor_data] 1777008451384,,0,0,0,Phase 6
[monitor_data] 1777008451726,,0,0,0,Phase 6
[monitor_data] 1777008452074,,0,0,0,Phase 6
[monitor_data] 1777008452419,,0,0,0,Phase 6
[monitor_data] 1777008452779,,0,0,0,Phase 6
[monitor_data] 1777008453124,,0,0,0,Phase 6
[monitor_data] 1777008453461,,0,0,0,Phase 6
[monitor_data] 1777008453784,,0,0,0,Phase 6
[monitor_data] 1777008454122,,0,0,0,Phase 6
[monitor_data] 1777008454475,,0,0,0,Phase 6
[monitor_data] 1777008454818,,0,0,0,Phase 6
[monitor_data] 1777008455162,,0,0,0,Phase 6
[monitor_data] 1777008455517,,0,0,0,Phase 6
[monitor_data] 1777008455850,,0,0,0,Phase 6
[monitor_data] 1777008456186,,0,0,0,Phase 6
[monitor_data] 1777008456523,,0,0,0,Phase 6
[monitor_end] Process 2348237 terminated
