variant        benchmark                                                                         score unit
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.cleanup    7505.081533 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.lookup  526924.773878 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.mixed    4581.678258 ops/s
all            org.openjdk.bench.weakvaluehashmap.NoQueueWeakValueHashMapBenchmark.replace 1338139.747982 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.cleanup    7068.884692 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.lookup  534258.386955 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.mixed     5001.063929 ops/s
none           org.openjdk.bench.weakvaluehashmap.QueueWeakValueHashMapBenchmark.replace 1381267.546926 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.cleanup    6574.363580 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.lookup  631780.285221 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.mixed     5314.775559 ops/s
weak_fields    org.openjdk.bench.weakvaluehashmap.WeakFieldValueHashMapBenchmark.replace 1787051.012692 ops/s
