run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
local-20260529-160736,local-20260529-160736-multi,multi,none,Contention: Mark Segment Reset Contention,ops/s,1,5.0,27.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Contention: Mark SeqNum Reset Contention,ops/s,1,1.0,6.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: Allocation Stall,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: Allocation Stall,ops/s,2,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: JNI Critical Stall,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: JNI Critical Stall,ops/s,2,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: Relocation Stall,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Critical: Relocation Stall,ops/s,2,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Major Collection: Major Collection,ms,1,138.74,247.171,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Allocation Rate,MB/s,1,100.0,564.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Defragment,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Mapped Cache Harvest,MB/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Out Of Memory,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Uncommit,MB/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Undo Object Allocation Failed,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Undo Object Allocation Succeeded,ops/s,1,0.0,3.0,run_multi_none_run10_local-20260529-160736-multi.log
local-20260529-160736,local-20260529-160736-multi,multi,none,Memory: Undo Page Allocation,ops/s,1,0.0,0.0,run_multi_none_run10_local-20260529-160736-multi.log
