run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065416968,17244,2547,2547,126976,,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065417640,163220,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065418122,625436,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065418590,625436,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065419063,625436,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065419530,625436,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065420001,625436,2961,2961,579584,Phase 2,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065420480,625436,2961,2961,491520,Phase 3.1,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065420965,678536,71906,71906,243712,Phase 3.4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065421472,740572,22433,22433,81920,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065421952,732752,22433,22433,81920,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065422419,732752,22433,22433,81920,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065422897,732752,22433,22433,81920,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065423377,732752,22433,22433,0,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065423835,,0,0,0,Phase 4,monitor_multi_none_run10_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065591606,17256,2550,2550,122880,,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065592286,157552,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065592774,633372,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065593239,633372,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065593719,633372,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065594195,633372,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065594662,633372,2969,2969,577536,Phase 2,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065595141,633372,2969,2969,573440,Phase 3.1,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065595617,670868,76613,76613,247808,Phase 3.4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065596125,749940,21911,21911,81920,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065596608,731476,21911,21911,81920,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065597086,731476,21911,21911,81920,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065597551,731476,21911,21911,81920,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065598020,731476,21911,21911,0,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
local-20260529-160736,local-20260529-160736-multi,multi,none,1780065598485,,0,0,0,Phase 4,monitor_multi_none_run11_local-20260529-160736-multi.csv
