run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark Segment Reset Contention,ops/s,1,4.0,39.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark SeqNum Reset Contention,ops/s,1,1.0,9.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,2,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,2,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,2,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Major Collection: Major Collection,ms,1,529.212,1114.562,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Allocation Rate,MB/s,1,116.0,712.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Defragment,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Mapped Cache Harvest,MB/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Out Of Memory,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Uncommit,MB/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Object Allocation Failed,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Object Allocation Succeeded,ops/s,1,0.0,1.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Page Allocation,ops/s,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Minor Collection: Minor Collection,ms,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Generation: Old Generation,ms,1,404.652,534.124,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Pause: Pause Mark End,ms,1,0.013,0.014,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Pause: Pause Relocate Start,ms,1,0.01,0.013,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark,ms,1,285.41,369.557,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark Continue,ms,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Mark Free,ms,1,0.005,0.008,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Process Non-Strong,ms,1,20.421,29.404,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Relocate,ms,1,91.623,135.038,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Remap Roots,ms,1,3.397,4.632,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Old Phase: Concurrent Reset Relocation Set,ms,1,0.03,0.044,run_multi_none_run100_slurm-5076215-multi.log
