run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
slurm-5076215,slurm-5076215-multi,multi,none,1777002123547,21124,0,0,83968,,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002148892,118576,25770,25770,290816,Phase 1,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002149251,380556,25914,25914,1019904,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002149591,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002149946,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002150307,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002150645,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002150996,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002151342,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002151680,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002152028,1086192,25943,25943,1034240,Phase 2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002152364,1086192,25943,25943,1034240,Phase 3.1,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002152726,1120244,56547,56547,1028096,Phase 3.1,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002153083,1152096,85060,85060,954368,Phase 3.1,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002153456,1183348,165965,165965,788480,Phase 3.2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002153803,1268168,167004,167004,749568,Phase 3.2,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002154168,1265712,152711,152711,626688,Phase 3.3,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002154511,1265756,115339,115339,458752,Phase 3.4,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002154871,1246940,91184,91184,299008,Phase 3.5,monitor_multi_none_run100_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1777002155217,1225356,60456,60456,129024,Phase 4,monitor_multi_none_run100_slurm-5076215-multi.csv
